week_start	sub-TR11/sub-TR11_ecephys.nwb	sub-TR12-512ch/sub-TR12-512ch_ecephys.nwb	sub-TR13/sub-TR13_ecephys.nwb	sub-TR14-512ch/sub-TR14-512ch_ecephys.nwb	sub-TR15-512ch/sub-TR15-512ch_ecephys.nwb	sub-TR17/sub-TR17_ecephys.nwb	sub-TR19/sub-TR19_ecephys.nwb	sub-TR8/sub-TR8_ecephys.nwb
2023-11-06	0	0	0	0	596117374190	0	0	0
2023-11-13	475275824673	528735540164	624150362026	552050258505	195755790	0	0	475523354214
2023-11-20	28875512	0	0	0	0	0	0	0
2023-11-27	13892184	0	0	0	0	0	0	0
2023-12-04	42278440	0	0	0	0	0	0	0
2023-12-11	137112	0	0	0	0	0	0	0
2024-01-01	195839872	0	0	0	0	0	0	0
2024-01-22	699236651425	749260061740	24769312	23920508	47081724	0	0	20651371
2024-02-05	0	26805536	0	0	0	0	0	0
2024-03-04	73400320	497105516	0	0	0	0	0	0
2024-03-11	7263812	680956360	7693752	7857872	7009356	0	0	3785837
2024-03-18	21913476	234013228	17226216	36590068	39920600	0	0	22818486
2024-03-25	15755724	248929728	7816492	20096504	27408572	0	0	21486423
2024-04-01	10596444	329439268	7750984	9000124	2048000	0	0	2751336
2024-04-08	0	502373960	0	0	0	0	0	0
2024-04-15	17305600	964363420	21242956	28865724	26612924	0	0	4651068
2024-04-22	0	443950316	0	0	0	0	0	0
2024-04-29	0	698235048	0	0	0	0	0	0
2024-05-06	0	708178112	0	0	0	0	0	0
2024-05-13	0	371232696	0	0	0	0	0	0
2024-05-20	0	503005352	0	0	0	0	0	0
2024-05-27	0	1217654472	0	0	0	0	0	0
2024-06-03	0	549634644	0	0	0	0	0	0
2024-06-10	0	206070724	0	0	0	0	0	0
2024-07-08	2769437667	6419784	32306532	35189444	37418228	0	0	20565161
2024-07-22	11463900	0	0	0	0	0	0	0
2024-08-26	26865000	0	10743312	23844912	8712564	0	0	15066840
2024-09-02	1251334992008	1497238730883	0	0	0	0	0	0
2024-09-09	0	0	858653635058	889040041032	832528176349	0	0	635879273639
2024-09-16	6419784	7009356	0	27262976	11138432	0	0	13752329
2024-10-21	0	40902884	41943040	39409913	20971520	0	0	0
2024-10-28	0	524064	4978608	10153740	0	0	0	0
2025-02-03	37536084	43235280	15590904	30657744	12774060	0	0	46641696
2025-02-10	0	0	0	0	0	0	0	54764688
2025-03-10	0	4127004	0	0	0	0	0	0
2025-03-31	2299106132	2076092571	0	2050146228	2084941224	0	0	2519412852
2025-04-07	272830331	0	0	0	0	668322580866	642500737852	0
2025-04-14	21396577	0	0	0	0	0	0	0
2025-04-21	11619493	0	0	0	0	0	0	0
2025-05-12	62451524	52948384	73919904	52428800	62914560	0	0	62779064
2025-06-23	4568572	5005108	5119391	2266998	3300526	3287013	3915709	3428887
2025-07-14	2008855	3498409	4267942	3413085	4411456	3287013	3217699	4411946
2025-07-28	20971520	15459888	0	0	20971520	15983952	17818176	310403727138
2025-08-04	0	722155779349	12619518980	0	0	0	0	383048451986
2025-08-11	0	0	896957955371	0	164489817448	4340622211992	0	606402739951
2025-08-18	439772774400	6616308	0	0	593054878982	0	619165262152	0
2025-08-25	0	0	0	0	0	586815451593	0	459342731273
2025-09-01	0	0	1011226497147	0	551426411782	645346099200	0	0
2025-09-08	0	11070852	0	603839346841	0	0	0	0
2025-09-29	10277180	22010688	0	0	0	0	0	0
2025-10-06	30987356	0	0	0	0	0	0	0
2025-12-15	15590904	0	9957216	26727264	5895720	9891708	0	4127004
2025-12-22	1181786003853	0	894709842642	844101146873	868725509382	969329781669	951878426952	688718731273
2026-01-05	0	531804192768	0	0	0	0	0	0
2026-01-12	11169478138	0	0	0	0	0	0	7852592356
2026-01-19	0	0	0	0	0	0	646342254920	0
2026-01-26	0	0	611944759296	0	534175239430	575748877221	0	0
2026-02-02	0	0	0	529673050361	0	0	0	400821704713
2026-02-16	614400	12676148	18342940	18998020	17253432	18145716	692552	11493178
2026-02-23	4770020	10404408	4639004	7608604	1126400	0	0	0
2026-03-02	0	0	4651068	0	2150400	4258020	1511752	6013109
2026-03-16	8385024	5764704	0	0	0	0	0	0
2026-03-23	0	0	0	0	307200	0	0	409600
2026-04-13	0	7860960	0	0	0	0	0	0
