week_start	sub-20220327-h2/sub-20220327-h2_ses-20220327_ophys.nwb	sub-20220327-h4/sub-20220327-h4_ses-20220327_ophys.nwb	sub-20220329-m10/sub-20220329-m10_ses-20220329_ophys.nwb	sub-20220329-m6/sub-20220329-m6_ses-20220329_ophys.nwb	sub-20220329-m7/sub-20220329-m7_ses-20220329_ophys.nwb	sub-20220329-m8/sub-20220329-m8_ses-20220329_ophys.nwb	sub-20220329-m9/sub-20220329-m9_ses-20220329_ophys.nwb	sub-20220403-h2/sub-20220403-h2_ses-20220403_ophys.nwb	sub-20220403-h3/sub-20220403-h3_ses-20220403_ophys.nwb	sub-20220403-m1/sub-20220403-m1_ses-20220403_ophys.nwb	sub-20220403-m3/sub-20220403-m3_ses-20220403_ophys.nwb	sub-20220427-h11/sub-20220427-h11_ses-20220427_ophys.nwb	sub-20220427-h2/sub-20220427-h2_ses-20220427_ophys.nwb	sub-20220427-h3/sub-20220427-h3_ses-20220427_ophys.nwb	sub-20220427-h4/sub-20220427-h4_ses-20220427_ophys.nwb	sub-20220427-h5/sub-20220427-h5_ses-20220427_ophys.nwb	sub-20220427-h6/sub-20220427-h6_ses-20220427_ophys.nwb	sub-20220427-h7/sub-20220427-h7_ses-20220427_ophys.nwb	sub-20220427-h8/sub-20220427-h8_ses-20220427_ophys.nwb	sub-20220427-h9/sub-20220427-h9_ses-20220427_ophys.nwb	sub-20220428-m1/sub-20220428-m1_ses-20220428_ophys.nwb	sub-20220428-m2/sub-20220428-m2_ses-20220428_ophys.nwb	sub-20220428-m3/sub-20220428-m3_ses-20220428_ophys.nwb	sub-20220428-m4/sub-20220428-m4_ses-20220428_ophys.nwb	sub-20220428-m5/sub-20220428-m5_ses-20220428_ophys.nwb	sub-20220428-m6/sub-20220428-m6_ses-20220428_ophys.nwb	sub-20220630-h2/sub-20220630-h2_ses-20220630_ophys.nwb	sub-20220630-h3/sub-20220630-h3_ses-20220630_ophys.nwb	sub-20220630-h4/sub-20220630-h4_ses-20220630_ophys.nwb	sub-20220630-h5/sub-20220630-h5_ses-20220630_ophys.nwb	sub-20220630-h6/sub-20220630-h6_ses-20220630_ophys.nwb	sub-20220630-h7/sub-20220630-h7_ses-20220630_ophys.nwb	sub-20220630-h8/sub-20220630-h8_ses-20220630_ophys.nwb	sub-20220701-m1/sub-20220701-m1_ses-20220701_ophys.nwb	sub-20220701-m2/sub-20220701-m2_ses-20220701_ophys.nwb	sub-20220701-m3/sub-20220701-m3_ses-20220701_ophys.nwb	sub-20220701-m4/sub-20220701-m4_ses-20220701_ophys.nwb	sub-20220701-m5/sub-20220701-m5_ses-20220701_ophys.nwb	sub-20220701-m6/sub-20220701-m6_ses-20220701_ophys.nwb	sub-20221006-h1/sub-20221006-h1_ses-20221006_ophys.nwb	sub-20221006-h2/sub-20221006-h2_ses-20221006_ophys.nwb	sub-20221014-m1/sub-20221014-m1_ses-20221014_ophys.nwb	sub-20221014-m2/sub-20221014-m2_ses-20221014_ophys.nwb	sub-20221014-m3/sub-20221014-m3_ses-20221014_ophys.nwb	sub-20221014-m4/sub-20221014-m4_ses-20221014_ophys.nwb	sub-20221014-m5/sub-20221014-m5_ses-20221014_ophys.nwb	sub-20221014-m6/sub-20221014-m6_ses-20221014_ophys.nwb
2024-05-06	1098907648	1137103047	1444242923	1585446912	1384484774	1736441856	1241513984	1141671549	806196297	890410103	770454028	352321536	1157627904	1071874946	793977059	788529152	369098752	318767104	293601280	385875968	310378496	1006632960	809392041	1155735474	1015021568	738197504	768733676	780140544	892942939	897581056	722268820	645161970	973078528	910383943	922746880	587202560	1149239296	1317011456	1220772500	1243759774	754974720	897581056	476915278	1262779003	1283457024	822083584	790891240
2024-05-20	1771478481	1439092935	4851420118	2661224103	2827325350	0	0	1913423485	1645057097	1318229111	0	0	1891246645	0	0	0	0	1598047911	0	1850266583	0	1987022214	1371428777	0	1673754380	0	1265170678	0	2960290998	0	1200419476	1232364530	1368159849	0	1322698760	3901778974	1915522020	0	0	0	1863420190	1846679932	1525491278	1791261307	0	0	0
2024-06-17	0	0	0	0	2827325350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-16	37667100	1493857623	2425710059	0	2827325350	0	0	0	1645057097	0	1307324940	1762578328	0	0	1607672035	0	0	1598047911	1490649814	1850266583	0	0	1371428777	0	0	1885218597	1265170678	1323211471	1480145499	1488683301	0	0	1368159849	1296259911	0	1950889487	0	1881214188	0	1758536271	0	1846679932	0	1791261307	1824753941	0	0
2025-01-13	1771478481	4317278805	2425710059	7983672309	8481976050	2539724571	4918906838	3826846970	3290114194	1318229111	2614649880	5287734984	1891246645	2103673730	4823016105	1608125496	1917605786	4794143733	5962599256	5550799749	2569735646	9935111070	1371428777	5681798934	5021263140	0	2530341356	1323211471	1480145499	4466049903	3601258428	3697093590	5472639396	1296259911	1322698760	3901778974	5746566060	3762428376	1738654026	5275608813	3726840380	3693359864	4576473834	3582522614	1824753941	3954646624	5946220728
2025-06-23	159132838	38336684	139969498	109975006	148475814	110301075	36718571	112162745	96282770	72753674	101213152	98226072	107953374	48957188	43653631	70779208	70010954	112015331	104823654	97700967	31033071	200310466	140070941	48371918	130410012	4847592	108849928	35584228	93072335	119503229	140172868	106412320	106817006	113699332	34666500	63976975	164172032	140707116	141653196	195258093	76872684	150684848	90777166	73131514	113248870	130224112	143197796
2025-07-21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1048576000	865437423	0	0	0	0	0	0	838860800	0	0	0	0	0	0	0	1059599887	0	0	0	0	0	0	0	0	0	1033604912	0
2025-07-28	9045640	0	0	0	2165664486	0	0	0	681574400	0	0	0	842670645	0	0	769264696	1550604186	968902311	891289600	0	0	0	0	0	0	0	1153433600	0	0	1121681701	0	0	0	996147200	0	0	0	1304497388	0	0	0	1007819132	0	0	0	0	0
2025-08-04	9045640	0	0	0	0	0	1201162219	2385282685	0	0	0	0	0	0	0	0	0	0	0	0	0	734003200	996147200	0	0	0	0	0	0	0	0	550790130	0	0	745981960	0	0	0	0	0	786432000	0	0	0	1153433600	0	0
2025-08-11	836805721	0	1258291200	0	0	1468006400	0	0	0	0	524288000	0	0	1002668930	524288000	0	0	0	0	0	0	0	0	0	314572800	1046357797	0	0	693713499	0	0	0	0	0	0	0	0	0	0	0	0	0	471859200	1057258107	0	0	0
