region	bytes_sent
unknown	9489537754
GitHub	62819384
HK/Hong Kong	29793409
IL/Haifa	29793408
GCP/us-west1	78367480
CN/Beijing	31346992
VPN	36222456
CN/Shanghai	47020488
TW/Taiwan	94040976
CN/Zhejiang	31346992
US/California	62693984
AWS/us-east-2	245727052
GCP/us-east1	31346992
HK/Sham Shui Po District	31346992
US/Indiana	31346992
GCP/europe-west4	31346992
GCP/asia-east1	31346992
NL/North Holland	1553584
AWS/us-east-1	37187024
IN/West Bengal	15673496
GCP/us-central1	29793408
US/New York	15673496
DE/Baden-Wurttemberg	29793408
CH/Geneva	15673496
NL/Gelderland	15673496
US/Virginia	272785252
JP/Tokyo	1980768
US/Georgia	45071811
