week_start	sub-Haydn/sub-Haydn_desc-test_ecephys.nwb	sub-Haydn/sub-Haydn_desc-train_ecephys.nwb
2021-11-01	1553584	0
2021-11-08	4660752	70599560
2021-11-15	1553584	14119912
2021-11-22	1553584	28239824
2021-11-29	9321504	42359736
2021-12-06	6214336	56479648
2021-12-13	3107168	28239824
2021-12-20	1553584	26795436
2021-12-27	4660752	28239824
2022-01-10	1553584	28239824
2022-01-17	1553584	14119912
2022-01-24	3107168	28239824
2022-01-31	1553584	28239824
2022-02-07	7767920	84719472
2022-02-21	3107168	28239824
2022-02-28	1553584	56479648
2022-03-07	1553584	0
2022-03-14	1553584	0
2022-03-21	7767920	127079208
2022-03-28	12428672	141199120
2022-04-11	42936	146632
2022-04-18	1553584	42359736
2022-05-16	3158744	56479648
2022-06-06	4660752	14119912
2022-06-13	3107168	14119912
2022-06-20	0	14119912
2022-07-25	1553584	0
2022-08-01	29518096	56479648
2022-08-08	17089424	0
2022-08-15	9321504	0
2022-08-22	3107168	0
2022-08-29	0	70599560
2022-09-05	0	98839384
2022-10-17	1553584	9413275
2022-10-31	0	14119912
2022-11-14	1553584	42359736
2022-11-21	1553584	42359736
2022-11-28	6214336	70599560
2022-12-05	6214336	28239824
2022-12-12	1553584	92096674
2023-01-02	0	143729394
2023-01-09	1553584	28239824
2023-01-16	1553584	0
2023-01-23	1553584	14119912
2023-01-30	1553584	14119912
2023-02-06	0	79734001
2023-02-13	0	14119912
2023-02-20	1553584	0
2023-02-27	0	28239824
2023-03-13	0	14119912
2023-03-20	0	28239824
2023-04-03	1553584	1090710236
2023-04-10	0	293189586
2023-04-17	0	731410769
2023-04-24	0	1392471118
2023-05-01	1553584	1524766217
2023-05-08	0	1224546352
2023-05-15	4660752	780218908
2023-05-22	3989416	1220130376
2023-05-29	664048	1187449169
2023-06-05	5393240	845652709
2023-06-12	2210664	814843713
2023-06-19	7027608	0
2023-06-26	14491568	1257781210
2023-07-03	2139960	921274476
2023-07-10	758304	1021006828
2023-07-17	2121848	1093493083
2023-07-24	841680	1526003470
2023-07-31	615216	149500596
2023-08-07	2310616	1385445020
2023-08-14	953024	1363839940
2023-08-21	559416	1209002076
2023-08-28	715656	1412162612
2023-09-04	679744	893590432
2023-09-11	510352	457911600
2023-09-18	720088	1613898664
2023-09-25	3844568	970440516
2023-10-02	242512	1143450064
2023-10-09	0	1183201272
2023-10-16	210768	683345968
2023-10-23	1553584	354897396
2023-10-30	0	1035723188
2023-11-06	1553584	1179946124
2023-11-13	137648	347663720
2023-11-20	1980768	0
2023-12-04	6580072	22996944
2023-12-11	1731568	0
2023-12-18	0	28239824
2024-01-01	0	14119912
2024-01-15	3107168	66398296
2024-01-22	427184	14252640
2024-02-05	0	35024572
2024-02-12	0	14119912
2024-03-04	3107168	567723432
2024-03-11	1961960	1230222320
2024-03-18	0	362475612
2024-03-25	49015472	378135988
2024-04-01	18643008	245389224
2024-04-08	52821856	656684792
2024-04-15	139822560	431382896
2024-04-22	107197296	834484912
2024-04-29	124286720	664863092
2024-05-06	136715392	605328708
2024-05-13	65250528	238953800
2024-05-20	73018448	741697012
2024-05-27	100983280	762524992
2024-06-03	88554288	724561992
2024-06-10	27964512	223772700
2024-06-17	0	14119912
2024-07-01	1553584	14119912
2024-07-08	3612176	159847852
2024-07-15	1553584	14119912
2024-07-22	4660752	39986252
2024-07-29	1553584	59191723
2024-08-05	1553584	14119912
2024-08-19	1553584	0
2024-08-26	6214336	19311924
2024-09-02	0	14119912
2024-09-09	6214336	0
2024-09-16	6214336	17754064
2024-09-23	7767920	70599560
2024-10-07	1553584	14119912
2024-10-14	3107168	0
2024-10-21	0	5508212
2024-10-28	0	28239824
2024-11-04	1553584	5840032
2024-11-11	4660752	10220056
2024-11-18	0	32354392
2024-12-02	3107168	42359736
2024-12-09	1553584	0
2024-12-23	3107168	28239824
2025-01-06	0	1245176
2025-01-20	1553584	14119912
2025-01-27	1553584	0
2025-02-03	1553584	28239824
2025-02-24	1605152	0
2025-03-03	0	18560
2025-03-10	1553584	0
2025-03-24	1553584	28239824
2025-03-31	1553584	28239824
2025-04-07	0	28239824
2025-05-05	1553584	28239824
2025-05-12	4660752	28239824
2025-05-19	0	28239824
2025-06-02	1553584	28239824
2025-06-09	0	28239824
2025-06-16	3107168	14119912
2025-06-23	1553584	14119912
2025-06-30	3107168	42359736
2025-07-07	1553584	0
2025-07-14	2013928	0
2025-07-21	1553584	0
2025-08-04	3107168	28239824
2025-08-11	1553584	0
2025-08-18	0	422980872
2025-08-25	0	28653628
2025-09-01	1563064	34411676
2025-09-08	74572032	367117712
2025-09-15	20079712	145540328
2025-09-22	38023504	162219276
2025-09-29	4660752	14119912
2025-10-06	30178256	39621580
2025-10-13	17826912	51763540
2025-10-20	6641520	5248720
2025-10-27	25322800	129745124
2025-11-03	15146928	28693104
2025-11-10	7923072	50122712
2025-11-17	6369488	23872768
2025-11-24	5515120	36393980
2025-12-01	9049472	15342012
2025-12-08	10175872	58977244
2025-12-15	5942304	32713760
2025-12-22	3107168	14119912
2025-12-29	1980768	14620624
2026-01-05	12583824	15040392
2026-01-12	3107168	45993888
2026-01-19	3961536	54775644
2026-01-26	5087936	6117416
2026-02-02	265388752	1706649396
2026-02-09	1980768	9930364
2026-02-16	3739152	8102116
2026-02-23	6641520	56368504
2026-03-02	3107168	0
2026-03-09	1553584	14119912
2026-03-16	2416316	14620624
2026-03-23	1553584	0
2026-03-30	3107168	204800
