week_start	derivatives/templatecreator/average_template_10.nii.gz	derivatives/templatecreator/average_template_100.nii.gz	derivatives/templatecreator/average_template_25.nii.gz	derivatives/templatecreator/average_template_50.nii.gz
2021-04-19	309006048	0	7832986	0
2021-06-07	37230204	0	0	0
2021-08-16	0	0	0	80191305
2021-08-23	0	0	0	5346087
2022-02-07	0	0	32998810	5346087
2022-02-21	342560480	0	0	32076522
2022-02-28	0	749421	182679587	69499131
2022-04-18	0	0	0	5346087
2022-07-11	83886080	0	0	0
2022-08-01	0	749421	16221594	0
2022-08-08	342560480	0	0	5346087
2022-08-22	0	749421	65997620	5346087
2022-10-10	342560480	0	0	0
2023-01-02	0	0	0	5346087
2023-02-20	0	0	16777216	0
2023-04-10	0	749421	0	0
2023-06-05	0	0	0	5346087
2023-10-16	0	0	7832986	0
2023-10-30	0	0	0	5346087
2023-12-11	0	0	0	26730435
2024-01-08	0	0	12343704	0
2024-07-22	0	1498842	68569914	10692174
2024-08-26	0	0	44745238	0
2024-09-02	0	1498842	32998810	0
2024-10-21	2190012	0	0	0
2024-12-02	0	0	16221594	0
2025-01-20	0	0	0	5346087
2025-03-17	0	0	0	10692174
2025-07-28	104857600	0	0	5346087
2025-08-04	0	749421	0	0
2025-09-29	0	1498842	0	0
2025-11-17	31058352	0	0	0
2025-12-15	691425540	1498842	51979162	5346087
2026-01-05	0	0	0	5346087
2026-01-12	685120960	749421	43484570	0
2026-01-26	141557760	0	0	0
2026-03-16	0	749421	0	0
