week_start	sub-PK-109/sub-PK-109_ses-20240717T150830_slice-2024-07-17-0001_cell-2024-07-17-0001_icephys.nwb	sub-PK-109/sub-PK-109_ses-20240717T155714_slice-2024-07-17-0003_cell-2024-07-17-0003_icephys.nwb	sub-PK-109/sub-PK-109_ses-20240717T164239_slice-2024-07-17-0005_cell-2024-07-17-0005_icephys.nwb	sub-PK-109/sub-PK-109_ses-20240717T180719_slice-2024-07-17-0009_cell-2024-07-17-0009_icephys.nwb	sub-PK-109/sub-PK-109_ses-20240717T184616_slice-2024-07-17-0011_cell-2024-07-17-0011_icephys.nwb	sub-PK-110/sub-PK-110_ses-20240723T143352_slice-2024-07-23-0003_cell-2024-07-23-0003_icephys.nwb	sub-PK-110/sub-PK-110_ses-20240723T160020_slice-2024-07-23-0006_cell-2024-07-23-0006_icephys.nwb	sub-PK-110/sub-PK-110_ses-20240723T173444_slice-2024-07-23-0010_cell-2024-07-23-0010_icephys.nwb	sub-PK-110/sub-PK-110_ses-20240723T185020_slice-2024-07-23-0014_cell-2024-07-23-0014_icephys.nwb	sub-PK-110/sub-PK-110_ses-20240723T195515_slice-2024-07-23-0017_cell-2024-07-23-0017_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T151405_slice-2024-07-24-0002_cell-2024-07-24-0002_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T170926_slice-2024-07-24-0006_cell-2024-07-24-0006_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T174632_slice-2024-07-24-0008_cell-2024-07-24-0008_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T183816_slice-2024-07-24-0011_cell-2024-07-24-0011_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T194247_slice-2024-07-24-0015_cell-2024-07-24-0015_icephys.nwb	sub-PK-113/sub-PK-113_ses-20240724T203017_slice-2024-07-24-0018_cell-2024-07-24-0018_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T134337_slice-2024-07-26-0001_cell-2024-07-26-0001_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T143540_slice-2024-07-26-0003_cell-2024-07-26-0003_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T151329_slice-2024-07-26-0005_cell-2024-07-26-0005_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T174521_slice-2024-07-26-0008_cell-2024-07-26-0008_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T190225_slice-2024-07-26-0010_cell-2024-07-26-0010_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T194113_slice-2024-07-26-0012_cell-2024-07-26-0012_icephys.nwb	sub-PK-114/sub-PK-114_ses-20240726T201907_slice-2024-07-26-0014_cell-2024-07-26-0014_icephys.nwb	sub-PK-115/sub-PK-115_ses-20240731T162311_slice-2024-07-31-0001_cell-2024-07-31-0001_icephys.nwb	sub-PK-115/sub-PK-115_ses-20240731T181337_slice-2024-07-31-0003_cell-2024-07-31-0003_icephys.nwb	sub-PK-115/sub-PK-115_ses-20240731T201228_slice-2024-07-31-0009_cell-2024-07-31-0009_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T160824_slice-2024-08-07-0005_cell-2024-08-07-0005_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T170619_slice-2024-08-07-0008_cell-2024-08-07-0008_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T174746_slice-2024-08-07-0010_cell-2024-08-07-0010_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T183410_slice-2024-08-07-0012_cell-2024-08-07-0012_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T193551_slice-2024-08-07-0014_cell-2024-08-07-0014_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T201812_slice-2024-08-07-0016_cell-2024-08-07-0016_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T213508_slice-2024-08-07-0022_cell-2024-08-07-0022_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T221140_slice-2024-08-07-0024_cell-2024-08-07-0024_icephys.nwb	sub-PK-116/sub-PK-116_ses-20240807T224803_slice-2024-08-07-0026_cell-2024-08-07-0026_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T141101_slice-2024-08-02-0001_cell-2024-08-02-0001_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T153835_slice-2024-08-02-0005_cell-2024-08-02-0005_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T164430_slice-2024-08-02-0009_cell-2024-08-02-0009_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T190802_slice-2024-08-02-0015_cell-2024-08-02-0015_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T200300_slice-2024-08-02-0017_cell-2024-08-02-0017_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T204308_slice-2024-08-02-0019_cell-2024-08-02-0019_icephys.nwb	sub-PK-119/sub-PK-119_ses-20240802T212527_slice-2024-08-02-0021_cell-2024-08-02-0021_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T142311_slice-2024-08-06-0003_cell-2024-08-06-0003_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T151712_slice-2024-08-06-0005_cell-2024-08-06-0005_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T160408_slice-2024-08-06-0007_cell-2024-08-06-0007_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T164437_slice-2024-08-06-0009_cell-2024-08-06-0009_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T183401_slice-2024-08-06-0014_cell-2024-08-06-0014_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T192133_slice-2024-08-06-0016_cell-2024-08-06-0016_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T200134_slice-2024-08-06-0018_cell-2024-08-06-0018_icephys.nwb	sub-PK-120/sub-PK-120_ses-20240806T204124_slice-2024-08-06-0021_cell-2024-08-06-0021_icephys.nwb
2025-03-10	86059945	39870827	81298606	81375504	33419832	65021884	76368248	30542172	49727581	20838712	54146052	61831706	53360030	36845007	25825295	27433657	63077285	12710567	73040008	30742317	58651788	12515612	16042997	12515612	50009226	70189382	67576476	65287141	54711769	62250839	56968450	35901821	73352060	57871984	72475676	19437572	51203881	61162912	21362776	60207781	4127004	37550420	25605011	26398460	26885436	22243237	9092810	69394394	25994909	25165824
2025-03-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39562415	1048576	0	31028645	38516710	0	2161764	0
2025-04-28	164968304	0	44188247	0	7467912	79968404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-05	1705271272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-12	515168788	0	0	4061496	0	136765434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-19	123909	0	0	1530228444	3481600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-05-26	233222116	130957517	197391508	1193973548	208633725	45544806	11008144	80994930	37622137	29648840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-09	105363408	86734050	50904567	456399552	126878527	47568678	0	26386902	14001541	37840840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-06-16	41242076	39808903	44188247	136137364	38369705	39984202	40085536	23594186	32163933	31492040	32646414	31686994	28384903	30294207	35658663	32746973	31232837	29487783	33113588	34545365	30932464	33361436	33675401	30873166	32183434	31589901	33628828	37762021	33021117	32306347	32123307	31647385	32485254	31368708	33420658	32087784	29775429	39734404	30546720	34124453	32019844	35822886	33993619	34787068	30528058	30635429	34258634	32274997	34383517	30465076
2025-06-30	0	0	0	62511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-14	44533	0	0	37646064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	0	0	0	4585560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33628828	37762021	0	0	0	0	32485254	0	0	0	0	0	0	34124453	0	0	0	0	0	0	68517268	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30873166	0	31589901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34787068	0	0	0	0	0	0
2025-08-11	0	0	44188247	0	0	0	0	0	0	0	0	0	28384903	0	0	0	0	0	33113588	0	0	0	0	0	32183434	0	0	0	0	0	0	0	0	31368708	0	32087784	0	0	0	0	32019844	35822886	33993619	0	0	0	0	0	0	0
2025-08-18	0	39808903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33021117	32306347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	0	0	32163933	0	0	0	0	0	0	0	0	29487783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34787068	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32746973	31232837	0	0	0	0	0	33675401	0	0	31589901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	31492040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39734404	0	0	0	0	0	0	0	0	0	0	34383517	30465076
2025-09-15	0	0	0	54560988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	207934780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	41242076	39808903	44188247	40296384	38369705	39984202	40085536	23594186	32163933	31492040	32646414	31686994	28384903	30294207	35658663	32746973	31232837	29487783	33113588	34545365	30932464	33361436	33675401	30873166	32183434	31589901	33628828	37762021	33021117	32306347	32123307	31647385	32485254	31368708	33420658	32087784	29775429	39734404	30546720	34124453	32019844	35822886	33993619	34787068	30528058	30635429	34258634	32274997	34383517	30465076
2025-12-15	10088232	61099003	21093576	12577536	49637081	21879672	52466548	18473256	49523553	50096312	52953894	47670946	34477147	43854363	43912671	0	16311492	6616308	10153740	10219248	67037820	44366780	4323528	30873166	57934798	16704540	50660908	41889025	81303358	32306347	35525243	39966901	18145716	12970584	47504878	0	6288768	0	7860960	15852936	42370108	15590904	22862292	53849896	41271370	61329646	17490636	42625261	51546613	39505180
2025-12-22	0	0	23216727	0	0	0	0	0	0	0	0	15958354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
