week_start	pons8-yo_16xdownsampled.nwb
2021-04-19	401376696
2022-02-14	1171811296
2022-04-11	105912
2022-07-11	351835717
2022-07-18	1757778216
2022-08-01	6445186792
2022-08-08	8202965008
2022-08-15	4344552052
2022-08-22	585926072
2022-08-29	5273334648
2022-09-05	2343704288
2022-12-12	13836425
2023-01-02	11380957
2023-02-06	27872880
2023-04-03	500898808
2023-04-10	171380809
2023-04-17	348369017
2023-04-24	302047883
2023-05-01	593673749
2023-05-08	565471918
2023-05-15	653066715
2023-05-22	497305704
2023-05-29	443133783
2023-06-05	556647115
2023-06-12	558405182
2023-06-19	18851160
2023-06-26	529734194
2023-07-03	449162815
2023-07-10	457466848
2023-07-17	551265319
2023-07-24	503574958
2023-07-31	891264803
2023-08-07	494587884
2023-08-14	654566576
2023-08-21	575527052
2023-08-28	1695339240
2023-09-04	615306152
2023-09-11	437409428
2023-09-18	570883172
2023-09-25	942862012
2023-10-02	592031588
2023-10-09	645563252
2023-10-16	433224192
2023-10-23	667582512
2023-10-30	954936148
2023-11-06	586193212
2023-11-13	335491080
2023-11-20	6575744
2023-11-27	269264
2023-12-04	9584448
2023-12-11	134632
2024-01-08	54086660
2024-01-22	592698868
2024-03-04	250044228
2024-03-11	327342264
2024-03-18	153239924
2024-03-25	334916716
2024-04-01	89206844
2024-04-08	366930580
2024-04-15	292020732
2024-04-22	309245364
2024-04-29	236989228
2024-05-06	320190928
2024-05-13	267048476
2024-05-20	309365460
2024-05-27	320801832
2024-06-03	233507516
2024-06-10	43736816
2024-07-08	296376
2024-08-05	585926072
2024-08-26	621880036
2024-09-02	585926072
2024-09-09	336808568
2024-10-28	9556416
2024-11-11	8295500
2024-11-18	11547336
2025-07-28	209715200
2025-09-01	166495672
2025-09-29	11086456
2025-10-06	25479252
2025-11-24	9025504
2025-12-15	585926072
2026-02-02	230686720
2026-02-16	204800
2026-03-16	929096
