week_start	sub-Temp-pref-F26-B26-5dpf-01-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-01-unsorted-nac_ses-20230614T111600_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-02-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-02-unsorted-nac_ses-20230614T114800_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-03-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-03-unsorted-nac_ses-20230614T122200_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-04-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-04-unsorted-nac_ses-20230614T131100_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-05-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-05-unsorted-nac_ses-20230614T134800_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-06-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-06-unsorted-nac_ses-20230614T142300_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-07-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-07-unsorted-nac_ses-20230614T145500_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-08-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-08-unsorted-nac_ses-20230614T153000_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-09-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-09-unsorted-nac_ses-20230614T160200_behavior.nwb	sub-Temp-pref-F26-B26-5dpf-10-unsorted-nac/sub-Temp-pref-F26-B26-5dpf-10-unsorted-nac_ses-20230614T163300_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-11-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-11-unsorted-nac_ses-20230615T104000_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-12-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-12-unsorted-nac_ses-20230615T111200_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-13-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-13-unsorted-nac_ses-20230615T114500_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-14-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-14-unsorted-nac_ses-20230615T121700_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-15-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-15-unsorted-nac_ses-20230615T130300_behavior.nwb	sub-Temp-pref-F26-B26-6dpf-16-unsorted-nac/sub-Temp-pref-F26-B26-6dpf-16-unsorted-nac_ses-20230615T134600_behavior.nwb
2025-03-10	0	6624869	2271708	0	7164533	1907495	0	6717759	0	7243209	0	0	4127004	0	2684187	4716576
2025-06-23	128597	138101	159156	149524	187045	138154	145028	196515	175569	264144	191810	180124	138131	238764	238410	217685
2025-07-14	250315	175536	53776	154213	175434	250444	175599	217584	245723	158934	201290	180124	238815	212982	280490	196603
2025-07-21	9297308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-07-28	9297308	0	0	0	0	0	0	9406499	9372402	0	0	9483231	0	0	0	9376911
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	0	0	9306823	0	0
2025-08-11	0	8396105	0	0	0	0	0	0	0	0	0	0	0	0	9368859	0
2025-08-25	0	0	0	0	9415001	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9368859	0
2025-09-29	2334108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	16231960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	9297308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	4127004	4127004	4127004	9891708	24612857	17501535	26854728	15826283	9372402	9538901	15045741	9483231	15743222	18613646	15068055	9376911
2025-12-22	0	0	0	0	0	0	0	0	0	0	0	0	0	18613646	0	0
2026-01-05	0	8396105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-12	18594616	0	27262356	0	0	9247527	9429600	0	0	0	0	0	0	9306823	0	0
2026-01-26	0	0	0	0	0	0	0	0	9372402	9538901	0	0	9388946	0	0	0
2026-02-16	18901816	0	0	7382064	7795452	307200	0	307200	8168160	9538901	0	0	0	0	0	0
2026-02-23	0	1330505	0	0	4192512	0	0	0	0	0	0	4127004	0	0	0	0
2026-03-02	4454544	0	0	0	0	1465127	0	2033699	0	1449301	0	0	1504146	0	0	6692071
2026-03-09	0	0	0	1506914	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-23	307200	589572	0	0	0	0	0	0	0	0	0	0	0	0	0	9376911
