week_start	sub-661968859/sub-661968859_ses-684856233_behavior+ophys.nwb	sub-673580710/sub-673580710_ses-693508136_behavior+ophys.nwb	sub-673580710/sub-673580710_ses-694681096_behavior+ophys.nwb	sub-673580710/sub-673580710_ses-697449744_behavior+ophys.nwb	sub-675861517/sub-675861517_ses-698363196_behavior+ophys.nwb	sub-699502603/sub-699502603_ses-723736689_behavior+ophys.nwb	sub-699590236/sub-699590236_ses-722975630_behavior+ophys.nwb	sub-710318403/sub-710318403_ses-728913582_behavior+ophys.nwb	sub-710318403/sub-710318403_ses-729486130_behavior+ophys.nwb	sub-710318403/sub-710318403_ses-730569133_behavior+ophys.nwb	sub-745634050/sub-745634050_ses-765930355_behavior+ophys.nwb	sub-745634050/sub-745634050_ses-766651427_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-773079681_behavior+ophys.nwb	sub-746910369/sub-746910369_ses-773939791_behavior+ophys.nwb	sub-746926904/sub-746926904_ses-765556204_behavior+ophys.nwb	sub-753847689/sub-753847689_ses-780001940_behavior+ophys.nwb	sub-753847689/sub-753847689_ses-781285354_behavior+ophys.nwb	sub-753847689/sub-753847689_ses-783216732_behavior+ophys.nwb	sub-753847689/sub-753847689_ses-784120603_behavior+ophys.nwb	sub-753852001/sub-753852001_ses-775627034_behavior+ophys.nwb	sub-753852001/sub-753852001_ses-776914650_behavior+ophys.nwb	sub-754469470/sub-754469470_ses-774337597_behavior+ophys.nwb	sub-754469470/sub-754469470_ses-785467612_behavior+ophys.nwb	sub-754469470/sub-754469470_ses-786137541_behavior+ophys.nwb	sub-759496697/sub-759496697_ses-789095523_behavior+ophys.nwb	sub-759496697/sub-759496697_ses-790005301_behavior+ophys.nwb	sub-759496697/sub-759496697_ses-790391521_behavior+ophys.nwb	sub-759496697/sub-759496697_ses-790916097_behavior+ophys.nwb	sub-759496697/sub-759496697_ses-793051644_behavior+ophys.nwb	sub-759679908/sub-759679908_ses-794982853_behavior+ophys.nwb	sub-759679908/sub-759679908_ses-795894618_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-789112476_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-790020860_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-790353900_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-790920747_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-791324158_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-792632685_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-794278695_behavior+ophys.nwb	sub-763958536/sub-763958536_ses-794944810_behavior+ophys.nwb	sub-765991985/sub-765991985_ses-794562341_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-791248771_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-791733321_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-792449512_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-792879437_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-794035587_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-794688639_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-795399267_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-796420836_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-798747988_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-799627315_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-800143207_behavior+ophys.nwb	sub-769367548/sub-769367548_ses-802401658_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-800164268_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-803007090_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-804893755_behavior+ophys.nwb	sub-772622312/sub-772622312_ses-806758614_behavior+ophys.nwb
2021-04-19	8388608	25165824	8388608	77709916	268435456	41943040	333158660	60307540	25165824	91192652	67108864	25165824	216506036	134217728	25165824	33554432	16777216	100961452	142904492	101421732	110584524	50331648	306273660	201326592	200414860	214019708	184549376	134217728	100663296	75497472	315678308	301989888	687865856	721420288	326309364	383222956	218103808	243269632	276824064	134217728	427255652	276824064	318767104	478150656	301989888	486539264	327155712	285212672	313105036	234881024	222029156	371599260	352495548	491437380	323891468	352738684
2021-04-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4810921	0	0	0	0	0	0	0	0	0	0	0	6868205	0	7996393	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-03	0	0	5308237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4080917	5707304	0	0	9224596	0	0	0	0	0	0	9323673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-24	8394577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-07	0	334260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-12	0	0	0	0	9854585	0	17121912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-09	282558396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-08-23	188372264	189618296	222854552	128041564	1031602824	411207480	985084424	389050536	411200376	366934680	388139848	296807856	426221236	442163740	227118836	155377676	237670452	210013356	210013356	227250852	160916172	210621228	398548348	570994164	443684492	398569084	526770436	432627940	355082660	354429492	382787172	730085700	858367612	1033431300	829625844	903316652	779873916	559985044	643028204	337766036	569861988	586465428	618984148	824163724	763321236	796425444	713580916	475916900	531208844	520167484	431744356	791029660	620931004	709541188	802042124	956718460
2021-08-30	114393501	284427444	124766440	128041564	0	411207480	492542212	194525268	26611964	0	194069924	0	426221236	0	454237672	155377676	0	210013356	210013356	0	0	210621228	0	570994164	443684492	398569084	0	432627940	355082660	354429492	765574344	0	858367612	1033431300	829625844	903316652	779873916	559985044	0	337766036	258930544	629899314	0	0	1526642472	796425444	1427161832	0	531208844	0	0	0	1241862008	1419082376	802042124	956718460
2021-09-13	94186132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-09-27	152254632	94809148	0	0	515801412	416936436	0	194525268	358001652	0	388139848	0	852442472	0	227118836	155377676	0	0	210013356	227250852	160916172	210621228	398548348	947252329	336141596	797138168	0	0	710165320	708858984	382787172	329025788	0	2066862600	1625697256	1806633304	0	0	1286056408	337766036	0	586465428	618984148	824163724	0	796425444	713580916	475916900	531208844	520167484	0	0	0	709541188	0	0
2021-10-04	188372264	189618296	222854552	256083128	1031602824	411207480	985084424	389050536	411200376	366934680	388139848	388123048	852442472	884327480	454237672	310755352	475340904	420026712	420026712	454501704	321832344	421242456	797096696	570994164	443684492	797138168	565593376	865255880	710165320	708858984	382787172	730085700	858367612	1033431300	829625844	903316652	779873916	559985044	1286056408	675532072	1139723976	1172930856	618984148	824163724	763321236	796425444	713580916	475916900	531208844	520167484	431744356	791029660	620931004	0	0	0
2021-10-11	659302924	663664036	779990932	896290948	3610609884	1439226180	3447795484	1361676876	1439201316	1311839184	1358489468	1358430668	2983548652	3095146180	1362713016	932266056	1266639160	1260080136	1260080136	1363505112	965497032	1263727368	2391290088	3425964984	2662106952	1992845420	2633852180	2595767640	1775413300	1772147460	2296723032	4380514200	5163862788	5167156500	4977755064	5419899912	3899369580	3919895308	4501197428	2026596216	3989033916	4105257996	4332889036	5769146068	5343248652	4787112628	4281485496	2855501400	2656044220	3121004904	863488712	3164118640	2483724016	1419082376	802042124	1913436920
2021-10-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68641484	210621228	398548348	570994164	443684492	398569084	526770436	432627940	355082660	354429492	382787172	730085700	858367612	1033431300	829625844	534217900	779873916	559985044	643028204	337766036	569861988	586465428	618984148	824163724	763321236	796425444	0	475916900	531208844	520167484	431744356	791029660	620931004	709541188	802042124	956718460
2022-01-31	0	0	0	0	0	0	0	0	0	0	0	194061524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-14	94186132	199857688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	60987560	100780496	116431680	111840	501806952	206187640	322120	125272	206236376	185280728	195013824	195072176	124632	282750536	167520	158226952	152693232	72121176	207206600	127344	348344	237840	389991608	554232024	433117536	259480	512134392	277432	363120	226993720	375048024	705778240	824990024	85736	279384	154072	154488	358336	194296	112320	152712	286336	201977032	795249976	737417344	68984	689966312	110496	516337704	113016	843112888	763745456	601877640	686238472	151928	168136
2022-05-16	0	195464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
