week_start	sub-j16/sub-j16_behavior+ecephys.nwb
2024-03-04	41551515244
2024-03-11	15125828493
2024-03-18	822494652
2024-03-25	972689280
2024-04-01	483014252
2024-04-08	1209536136
2024-04-15	1371690197
2024-04-22	1697385216
2024-04-29	1758668513
2024-05-06	1831170204
2024-05-13	1837935112
2024-05-20	1473751464
2024-05-27	1016135640
2024-06-03	888850640
2024-06-10	398780004
2024-07-08	41307977016
2024-07-22	20504004
2024-08-19	41039160092
2024-09-09	24666533360
2024-09-16	22282240
2024-11-04	8516040
2025-01-13	1427056
2025-01-20	78080976
2025-02-03	49917096
2025-02-10	10986320
2025-03-24	5181120
2025-05-12	10485760
2025-06-23	3173632
2025-07-14	41940344
2025-07-28	23160939292
2025-09-08	20604518400
2025-10-06	123731968
2025-12-15	12577536
2026-02-02	20347617280
2026-02-16	1228800
2026-03-02	4127004
