week_start	sub-j16/sub-j16_behavior+ecephys.nwb
2024-03-04	38203729452
2024-03-11	6624710669
2024-03-18	822494652
2024-03-25	963860852
2024-04-01	483014252
2024-04-08	1209536136
2024-04-15	1353544481
2024-04-22	1697385216
2024-04-29	1758668513
2024-05-06	1831170204
2024-05-13	1837935112
2024-05-20	1473751464
2024-05-27	1016135640
2024-06-03	888850640
2024-06-10	398780004
2024-07-08	41280171672
2024-07-22	20504004
2024-08-19	41039160092
2024-09-09	20744859120
2025-01-13	1250292
2025-01-20	71259168
2025-02-03	49917096
2025-02-10	6557912
2025-03-24	5181120
2025-05-12	10485760
2025-06-23	2820104
2025-07-14	41940344
2025-07-28	19595780892
2025-09-08	16200499200
2025-10-06	123731968
2025-12-15	12577536
2026-02-02	17694720000
2026-02-16	1228800
