asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-BH401/sub-BH401_ses-20230208T012808_ecephys.nwb	29547434072	1400	74	43
sub-BH444/sub-BH444_ses-20230214T222833_ecephys.nwb	27833572048	1085	82	45
sub-BH395/sub-BH395_ses-20221213T174039_ecephys.nwb	110270833541	7601	281	68
sub-BH395/sub-BH395_ses-20221213T185547_ecephys.nwb	71581061280	2175	117	59
sub-BH401/sub-BH401_ses-20230207T202916_ecephys.nwb	24674923812	1202	80	48
sub-BH401/sub-BH401_ses-20230207T221353_ecephys.nwb	28212198132	1332	78	40
sub-BH444/sub-BH444_ses-20230214T212616_ecephys.nwb	26286165768	1038	82	47
sub-BH396/sub-BH396_ses-20221117T221038_ecephys.nwb	29523353320	884	97	41
sub-BH401/sub-BH401_ses-20230207T224653_ecephys.nwb	21555604748	1272	77	42
sub-BH444/sub-BH444_ses-20230214T200303_ecephys.nwb	17018767980	943	71	39
sub-BH444/sub-BH444_ses-20230215T015857_ecephys.nwb	25737939752	1251	67	42
sub-BH444/sub-BH444_ses-20230214T215744_ecephys.nwb	19489275716	1018	62	39
sub-BH396/sub-BH396_ses-20221117T225429_ecephys.nwb	12068420264	666	61	35
sub-BH401/sub-BH401_ses-20230207T231819_ecephys.nwb	19436102840	1078	74	40
sub-BH396/sub-BH396_ses-20221117T220434_ecephys.nwb	12997327360	585	63	40
sub-BH395/sub-BH395_ses-20221213T183140_ecephys.nwb	41460244685	1972	75	51
sub-BH444/sub-BH444_ses-20230215T010415_ecephys.nwb	16781237948	922	56	37
sub-BH395/sub-BH395_ses-20221213T180853_ecephys.nwb	55552666809	2090	84	54
sub-BH395/sub-BH395_ses-20221213T195834_ecephys.nwb	134765112529	78770	519	258
sub-BH444/sub-BH444_ses-20230214T204015_ecephys.nwb	21536359588	1042	56	41
sub-BH444/sub-BH444_ses-20230215T013638_ecephys.nwb	19383110144	1077	64	45
sub-BH401/sub-BH401_ses-20230208T000953_ecephys.nwb	18902355492	932	70	37
sub-BH444/sub-BH444_ses-20230214T230505_ecephys.nwb	23407116753	1107	75	45
sub-BH444/sub-BH444_ses-20230215T002717_ecephys.nwb	16738349116	911	63	42
sub-BH401/sub-BH401_ses-20230208T005106_ecephys.nwb	25489194948	1044	71	39
sub-BH401/sub-BH401_ses-20230207T213946_ecephys.nwb	25104439572	989	74	47
sub-BH396/sub-BH396_ses-20221117T224848_ecephys.nwb	10336575508	584	60	38
sub-BH444/sub-BH444_ses-20230214T235435_ecephys.nwb	22387681912	1025	73	52
sub-BH396/sub-BH396_ses-20221117T215447_ecephys.nwb	17617030936	684	76	40
