date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2023-03-29	40104361888	4788	0	15
2023-03-31	4467208992	1	1	0
2023-04-04	1839543072	1	1	0
2023-04-12	6492546624	2	2	0
2023-04-13	22336044960	5	5	0
2023-04-15	8894431464	2	2	0
2023-04-25	1839543072	1	1	0
2023-05-01	4467208992	1	1	0
2023-05-02	25618525580	2910	31	14
2023-05-09	2058957600	246	0	1
2023-05-14	1067463456	1	1	0
2023-05-25	344128	706	0	2
2023-05-26	344128	706	0	2
2023-05-27	172064	353	0	1
2023-05-28	172064	353	0	1
2023-05-29	172064	353	0	1
2023-05-30	172064	353	0	1
2023-05-31	172064	353	0	1
2023-06-01	172064	353	0	1
2023-06-02	172064	353	0	1
2023-06-03	172064	353	0	1
2023-06-04	172064	353	0	1
2023-06-05	172064	353	0	1
2023-06-06	172064	353	0	1
2023-06-07	172064	353	0	1
2023-06-08	172064	353	0	1
2023-06-09	172064	353	0	1
2023-06-10	172064	353	0	1
2023-06-11	172064	353	0	1
2023-06-12	172064	353	0	1
2023-06-13	172064	353	0	1
2023-06-14	172064	353	0	1
2023-06-15	172064	353	0	1
2023-06-17	344128	706	0	2
2023-06-18	172064	353	0	1
2023-06-19	172064	353	0	1
2023-06-20	172064	353	0	1
2023-06-21	172064	353	0	1
2023-06-22	172064	353	0	1
2023-06-23	172064	353	0	1
2023-06-24	344128	706	0	2
2023-06-25	45234560	362	0	2
2023-06-26	90297056	371	0	1
2023-06-27	172064	353	0	1
2023-06-30	172064	353	0	1
2023-07-01	45234560	362	0	4
2023-07-02	172064	353	0	1
2023-07-03	15192896	356	0	2
2023-07-04	172064	353	0	1
2023-07-05	172064	353	0	1
2023-07-06	172064	353	0	1
2023-07-07	172064	353	0	1
2023-07-08	172064	353	0	1
2023-07-09	172064	353	0	1
2023-07-10	172064	353	0	1
2023-07-11	172064	353	0	1
2023-07-12	172064	353	0	1
2023-07-13	1770937604	2744	107	4
2023-07-14	33255316	370	3	2
2023-07-15	172064	353	0	1
2023-07-16	172064	353	0	1
2023-07-17	172064	353	0	1
2023-07-18	79893084	393	7	2
2023-07-19	45530840	472	4	3
2023-07-20	172064	353	0	1
2023-07-21	172064	353	0	1
2023-07-22	172064	353	0	1
2023-07-23	172064	353	0	1
2023-07-24	172064	353	0	1
2023-07-25	172064	353	0	1
2023-07-26	172064	353	0	1
2023-07-27	172064	353	0	1
2023-07-28	34376372	367	3	2
2023-07-29	172064	353	0	1
2023-07-30	172064	353	0	1
2023-07-31	1067635520	354	1	1
2023-08-01	172064	353	0	1
2023-08-02	172064	353	0	1
2023-08-03	172064	353	0	1
2023-08-04	172064	353	0	1
2023-08-05	172064	353	0	1
2023-08-06	172064	353	0	1
2023-08-07	172064	353	0	1
2023-08-08	172064	353	0	1
2023-08-09	172064	353	0	1
2023-08-11	172064	353	0	1
2023-08-12	172064	353	0	1
2023-08-13	172064	353	0	1
2023-08-14	172064	353	0	1
2023-08-15	172064	353	0	1
2023-08-16	172064	353	0	1
2023-08-17	172064	353	0	1
2023-08-18	172064	353	0	1
2023-08-19	172064	353	0	1
2023-08-20	172064	353	0	1
2023-08-21	172064	353	0	1
2023-08-22	172064	353	0	1
2023-08-23	172064	353	0	1
2023-08-24	172064	353	0	1
2023-08-25	172064	353	0	1
2023-08-26	172064	353	0	1
2023-08-27	172064	353	0	1
2023-08-28	172064	353	0	1
2023-08-29	1067635520	354	1	1
2023-08-30	172064	353	0	1
2023-08-31	2135098976	355	2	1
2023-09-01	172064	353	0	1
2023-09-02	172064	353	0	1
2023-09-03	516192	1059	0	3
2023-09-04	172064	353	0	1
2023-09-05	172064	353	0	1
2023-09-06	172064	353	0	1
2023-09-07	344128	706	0	2
2023-09-08	172064	353	0	1
2023-09-10	172064	353	0	1
2023-09-11	172064	353	0	1
2023-09-12	172064	353	0	1
2023-09-13	172064	353	0	1
2023-09-14	172064	353	0	1
2023-09-15	172064	353	0	1
2023-09-16	172064	353	0	1
2023-09-17	172064	353	0	1
2023-09-18	172064	353	0	1
2023-09-19	172064	353	0	1
