week_start	2023-03-28-11-18-37_video-camera-1.mp4	sub-U/sub-U_ses-None_ophys.nwb
2025-04-07	697133766	0
2025-04-14	899623368	24153123368
2025-04-21	2670519492	305312
2025-04-28	874146138	0
2025-05-05	0	671977080
2025-06-02	0	39697848
2025-06-16	906630930	41925120
2025-07-07	0	7081758083
2025-07-14	0	15473919296
2025-07-28	0	11165871008
2025-08-04	864909510	15412603808
2025-09-01	524288000	0
2025-12-15	17556144	11165056192
2025-12-22	0	15412603808
2025-12-29	0	780053812
2026-01-05	50527412	0
2026-01-12	0	5641992168
2026-01-19	864909510	0
2026-01-26	602931200	193875752
2026-02-16	1114112	10812132
2026-02-23	0	994208
2026-03-02	32768	199725728
2026-03-09	10132453	0
2026-03-16	144889533	8647056
2026-03-23	0	379808
2026-03-30	51096240	0
2026-04-06	0	4127004
2026-04-20	0	2030748
