week_start	sub-Jenkins/sub-Jenkins_ses-20090912_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090916_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090918_behavior+ecephys.nwb	sub-Jenkins/sub-Jenkins_ses-20090923_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090812_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090819_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090910_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090920_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20090922_behavior+ecephys.nwb	sub-Nitschke/sub-Nitschke_ses-20100923_behavior+ecephys.nwb
2021-08-09	5180410325	2575302656	3330746635	2624430134	5085509485	5530911748	9640494777	0	0	0
2021-08-16	0	0	0	0	0	0	0	7230930354	8488912872	0
2021-09-06	5417688352	11897321646	4488374539	13315112867	16720118846	26217287696	6852561882	5989441241	13349594940	0
2021-09-20	2708844176	3965773882	0	3773669430	7375599469	6554321924	0	5989441241	4449864980	0
2021-11-15	62680329	2431480088	3716384	0	0	0	0	0	0	0
2021-11-22	272550024	0	0	0	0	0	0	0	0	0
2021-12-06	2708844176	7931547764	4488374539	3773669430	7375599469	6554321924	6603818681	5989441241	4449864980	0
2021-12-20	2708844176	0	0	0	0	0	0	0	4449864980	0
2022-01-10	1689633469	0	0	0	0	0	0	0	0	0
2022-01-17	0	3984488530	0	3792284063	7396072294	6554321924	6620176938	5989441241	0	0
2022-01-24	2708844176	3965773882	4488374539	0	7375599469	6554321924	6603818681	5989441241	4449864980	0
2022-01-31	2708844176	0	0	0	0	0	0	0	0	0
2022-02-07	2708844176	0	4488374539	7547338860	7375599469	6554321924	0	5989441241	4449864980	0
2022-02-14	2708844176	0	0	0	0	0	0	0	0	0
2022-03-21	6436830457	5122087382	0	4927095627	8680962582	7559313637	0	0	0	0
2022-04-11	3499877888	4242683387	2908171616	3383728396	8838179177	6529488747	6844589735	7782962504	1297383185	0
2022-04-18	2708844176	3965773882	0	3773669430	0	6554321924	6603818681	6033153993	7855476727	0
2022-05-02	3617327773	770118588	0	4345546883	122157333	7371274705	1013800272	5989441241	4449864980	0
2022-05-16	5439742093	5316445754	6280203990	3067102529	10704441597	9705595772	1334252228	5989441241	4449864980	0
2022-05-30	0	3965773882	0	0	0	0	0	0	0	0
2022-06-06	0	0	4488374539	0	0	0	0	0	0	0
2022-06-20	2708844176	0	0	0	0	0	0	0	0	0
2022-06-27	1520726160	0	0	0	0	0	0	0	0	0
2022-07-04	2708844176	0	0	3773669430	0	0	0	0	0	0
2022-07-11	4826067796	5625502443	3221186383	6926378030	7536886802	8872443201	7359469917	3698400890	2872885420	0
2022-07-18	0	3965773882	805306368	0	0	0	0	0	0	0
2022-07-25	1096239220	1077989120	4488374539	4888689662	1094381028	0	0	0	4449864980	0
2022-08-01	7429601856	7629557876	4488374539	1077159101	8978399106	13679248380	6716731409	6522381817	4993704112	0
2022-08-08	0	0	3221225472	3773669430	6838728557	0	12220393410	10522931682	3221225472	0
2022-08-15	0	0	78640402	0	9637218	0	0	0	0	0
2022-08-22	2708844176	0	4488374539	3773669430	7375599469	0	0	5989441241	4449864980	0
2022-09-05	2708844176	0	0	0	0	0	0	0	0	0
2022-09-26	2708844176	0	4488374539	0	7403040514	6554321924	0	5989441241	4449864980	0
2022-10-03	0	0	0	0	0	0	0	0	4449864980	0
2022-10-10	660925048	0	0	0	0	0	0	0	0	0
2022-10-17	1538530417	0	0	0	132742860	0	0	0	0	0
2022-10-24	2662320395	5636496090	3765314529	3585066915	13077025606	5715606981	6338822192	5324657462	3914027371	0
2022-10-31	4110085416	5359548703	0	5198086566	8682058057	0	13207637362	5989441241	4449864980	0
2022-12-05	2708844176	3965773882	4488374539	7547338860	7375599469	0	6603818681	0	4449864980	0
2022-12-12	42106551	45656556	113182395	146229846	179013785	123502962	128246581	60258318	54683618	0
2022-12-19	2708844176	3965773882	4488374539	8251476772	63471764	10784240574	6731508353	5989441241	4449864980	0
2023-01-02	112086920	3917615711	1678420946	78275869	135746155	3846525007	104025101	52062089	322090281	0
2023-01-09	8126532528	7931547764	4488374539	3773669430	7375599469	6554321924	6603818681	5989441241	8899729960	0
2023-01-23	706528	0	0	0	0	0	0	0	0	0
2023-02-06	265525448	224443582	95033674	84413132	123366041	218736154	93570426	560587302	48710362	0
2023-02-13	2853920032	148957242	52898059	3903537260	67024749	6733301768	6816566642	143630041	56331540	0
2023-02-20	3348162313	679881401	8976749078	4444079570	8175515493	7221347500	6603818681	6293215058	4449864980	0
2023-03-06	8191191769	11210623266	14603297836	11350797827	22153569843	14971351636	15059825987	17968323723	8925976453	0
2023-03-13	0	3965773882	0	0	0	0	0	0	0	0
2023-03-20	8126532528	11897321646	8976749078	11321008290	7375599469	19662965772	19811456043	5989441241	8899729960	0
2023-04-03	1066966016	140687045	93801348	396381964	219262904	201739056	267337580	200647333	431021103	0
2023-04-10	2716641477	4021550534	7897316	0	7403339621	6781810322	6918506616	24885562	4449864980	0
2023-04-17	426874042	48543859	13902789	620713961	36432898	977508227	380086484	294380551	88525879	0
2023-04-24	2486867214	3074294122	76183113	0	800755576	654662155	557340701	0	732452524	0
2023-05-01	271157676	1140362669	402250902	568489025	303772299	104022342	505709729	1054893286	4495919720	0
2023-05-08	406629215	336359837	689503310	771956634	243582082	355830801	435168384	187572742	487128582	0
2023-05-15	714991721	883345988	798968328	0	243153006	392629943	1708027193	456370330	248360290	0
2023-05-22	504479766	11945566398	9432714318	12801078895	21000071734	15443495948	14161950792	12262015577	8996883050	0
2023-05-29	772511209	4340118308	5221804306	129006926	7767799453	6591816646	7186215240	6173496691	4987493752	0
