week_start	sub-Aged-mice/sub-Aged-mice_ses-before_ecephys.nwb	sub-aged-mice/sub-aged-mice_ses-after_ecephys.nwb	sub-aged-mouse/sub-aged-mouse_ses-after_ecephys.nwb	sub-aged-mouse2/sub-aged-mouse2_ses-after_ecephys.nwb	sub-aged-mouse2/sub-aged-mouse2_ses-before_ecephys.nwb	sub-aged-mouse3/sub-aged-mouse3_ses-before_ecephys.nwb
2025-04-28	6920276903	2128190464	1719664640	2259697032	1790744759	2131073216
2025-07-21	0	0	0	0	0	6205390
2025-07-28	1701105114	17097588	0	0	0	20045448
2025-08-11	0	1468006400	2149580800	1677721600	0	0
2025-08-18	0	0	0	0	2044723200	0
2025-08-25	4258424557	0	0	0	0	0
2025-09-01	0	0	0	0	0	2044723200
2025-10-06	419565	0	0	0	0	0
2025-12-15	4327819929	4300839936	0	1669919428	6223260	10022724
2026-01-05	0	0	1756364800	0	0	0
2026-01-12	0	0	0	10485760	7448132539	2915286288
2026-01-26	0	1651507200	0	0	1727244099	1645582528
2026-02-02	1861222400	0	0	0	0	0
2026-02-16	10497832	9580720	10432324	14411760	0	13570756
2026-02-23	837357	0	4389036	4536604	390979	0
2026-03-02	0	0	0	4520052	4517983	403648
2026-03-16	0	0	0	7926468	0	0
