week_start	sub-Dataset-3-Animals-1-to-4/sub-Dataset-3-Animals-1-to-4.nwb	sub-Dataset-4-Animal-2-sess-1-to-7/sub-Dataset-4-Animal-2-sess-1-to-7.nwb	sub-Dataset-4-Animal-2-sess-8-to-12/sub-Dataset-4-Animal-2-sess-8-to-12.nwb	sub-Dataset-4-Animal-3-sess-1-to-6/sub-Dataset-4-Animal-3-sess-1-to-6.nwb	sub-Dataset-4-Animal-3-sess-7-to-11/sub-Dataset-4-Animal-3-sess-7-to-11.nwb	sub-Dataset-5-Animal-1/sub-Dataset-5-Animal-1.nwb	sub-Dataset-5-Animals-2-ses-1-to-19/sub-Dataset-5-Animals-2-ses-1-to-19.nwb	sub-Dataset-5-Animals-2-ses-20-to-39/sub-Dataset-5-Animals-2-ses-20-to-39.nwb	sub-Dataset-5-Animals-2-ses-40-to-51/sub-Dataset-5-Animals-2-ses-40-to-51.nwb	sub-Dataset-5-Animals-3&4/sub-Dataset-5-Animals-3&4.nwb
2024-09-30	0	230528958	246607236	383837716	277569057	169080136	322029893	204498508	112927951	91738594
2024-10-07	0	758947378	1231943916	883365852	680718642	680680872	747867399	492354114	0	131260582
2024-10-14	0	0	0	7835	0	0	0	0	0	4250
2024-10-21	0	107134252	12381012	0	100779976	4389036	107265268	0	11594916	13691172
2024-10-28	0	0	61570619	79924206	78215321	57224916	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	13887696	0	65630291
2024-11-18	0	0	615971958	461793882	0	680680872	249289133	328236076	275932686	131260582
2024-12-02	0	278810393	0	0	0	0	0	97009174	0	0
2024-12-16	0	379473689	637848046	441682926	471003442	420634024	90635176	164118038	262044990	0
2025-01-13	75712305	0	0	0	0	0	0	0	0	0
2025-01-20	80501557	379473689	0	441682926	340359321	340340436	249289133	0	0	65630291
2025-01-27	62441888	379473689	307985979	0	0	0	249289133	0	131022495	0
2025-02-17	66016281	0	0	0	0	0	0	0	0	0
2025-03-10	80501557	379678489	0	441682926	340564121	0	354733	0	135149499	65630291
2025-04-07	161003114	379473689	615971958	0	340359321	340340436	249289133	164118038	131022495	65630291
2025-05-26	0	379473689	307985979	441682926	340359321	340340436	249289133	0	131022495	0
2025-07-28	80501557	379473689	307985979	0	0	235482836	0	164118038	0	65630291
2025-08-04	0	0	0	336825326	0	0	0	111689238	0	0
2025-08-11	0	0	307985979	0	0	0	0	0	131022495	0
2025-08-18	80501557	327044889	307985979	0	890433842	0	249289133	0	131022495	0
2025-08-25	80501557	0	0	441682926	340359321	340340436	249289133	164118038	0	0
2025-09-08	80501557	0	0	104857600	0	0	249289133	0	0	0
2025-09-22	0	379473689	322190463	39173784	42776724	352848880	275132537	0	0	65630291
2025-10-06	0	0	100393704	0	0	0	0	0	0	0
2025-10-27	10754388	0	0	0	0	0	0	0	0	3066755
2025-11-17	80501557	0	307985979	441682926	340359321	0	249289133	164118038	131022495	0
2025-12-15	95044333	9826200	324493995	457732386	340359321	358944708	268089929	232205490	145368747	10153740
2025-12-22	0	220200960	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	0	0	0	0	174603798	0	0
2026-01-19	161003114	1127935307	526842998	441682926	680718642	680680872	498578266	164118038	131022495	183689382
2026-01-26	0	0	0	277872640	214958080	220200960	0	0	78593695	0
2026-02-02	54287157	0	0	0	0	0	141557760	0	0	0
2026-02-16	14821360	10424048	10104784	409600	9498660	10481280	12342697	8634446	14289020	6632860
2026-02-23	0	0	14110214	0	0	0	0	0	6944699	0
2026-03-02	2370357	0	0	0	8085773	0	0	2838038	0	0
2026-03-09	0	0	0	4332526	0	12361800	4192512	0	0	0
2026-03-16	0	8188500	0	0	0	0	0	7205880	0	0
2026-03-23	0	0	204800	0	20962560	0	0	0	0	0
2026-03-30	0	0	0	0	0	0	0	0	0	65630291
2026-04-06	0	0	13953204	0	0	0	0	0	0	0
