week_start	sub-20211022001/sub-20211022001_ses-20211022T174057_slice-20211022001_cell-20211022001_icephys.nwb	sub-20211223001/sub-20211223001_ses-20211223T145910_slice-20211223001_cell-20211223001_icephys.nwb	sub-20211223002/sub-20211223002_ses-20211223T171703_slice-20211223002_cell-20211223002_icephys.nwb	sub-20220105001/sub-20220105001_ses-20220105T155227_slice-20220105001_cell-20220105001_icephys.nwb	sub-20220105002/sub-20220105002_ses-20220105T161435_slice-20220105002_cell-20220105002_icephys.nwb	sub-20220105003/sub-20220105003_ses-20220105T170726_slice-20220105003_cell-20220105003_icephys.nwb	sub-20220105004/sub-20220105004_ses-20220105T172228_slice-20220105004_cell-20220105004_icephys.nwb	sub-20220106001/sub-20220106001_ses-20220106T171639_slice-20220106001_cell-20220106001_icephys.nwb	sub-20220106002/sub-20220106002_ses-20220106T180609_slice-20220106002_cell-20220106002_icephys.nwb	sub-20220106003/sub-20220106003_ses-20220106T193954_slice-20220106003_cell-20220106003_icephys.nwb	sub-20220106004/sub-20220106004_ses-20220106T200624_slice-20220106004_cell-20220106004_icephys.nwb	sub-20220113001/sub-20220113001_ses-20220113T160741_slice-20220113001_cell-20220113001_icephys.nwb	sub-20220113002/sub-20220113002_ses-20220113T163313_slice-20220113002_cell-20220113002_icephys.nwb	sub-20220113003/sub-20220113003_ses-20220113T192811_slice-20220113003_cell-20220113003_icephys.nwb	sub-20220113004/sub-20220113004_ses-20220113T200217_slice-20220113004_cell-20220113004_icephys.nwb	sub-20220119001/sub-20220119001_ses-20220119T160753_slice-20220119001_cell-20220119001_icephys.nwb	sub-20220119002/sub-20220119002_ses-20220119T165903_slice-20220119002_cell-20220119002_icephys.nwb	sub-20220119003/sub-20220119003_ses-20220119T194445_slice-20220119003_cell-20220119003_icephys.nwb	sub-20220119004/sub-20220119004_ses-20220119T200600_slice-20220119004_cell-20220119004_icephys.nwb	sub-20220218001/sub-20220218001_ses-20220218T181126_slice-20220218001_cell-20220218001_icephys.nwb	sub-20220317001/sub-20220317001_ses-20220317T155206_slice-20220317001_cell-20220317001_icephys.nwb	sub-20220317002/sub-20220317002_ses-20220317T170214_slice-20220317002_cell-20220317002_icephys.nwb	sub-20220317003/sub-20220317003_ses-20220317T174455_slice-20220317003_cell-20220317003_icephys.nwb	sub-20220317004/sub-20220317004_ses-20220317T190549_slice-20220317004_cell-20220317004_icephys.nwb	sub-20220330001/sub-20220330001_ses-20220330T163935_slice-20220330001_cell-20220330001_icephys.nwb
2022-05-09	17330671	28931965	17147191	1640624	19163750	304592	17550576	16544445	16777216	16777216	9753902	16777216	16777216	8921372	18585092	9473468	8388608	8800475	9351313	9185942	14299801	8388608	8978544	8388608	8903712
2022-05-16	0	0	0	690544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-06	0	0	0	0	0	0	17550576	16544445	17477612	17825558	0	17850647	18088356	8921372	18585092	0	18059833	8800475	0	17574550	22688409	0	0	8643512	17292320
2022-07-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17862076	0	0	0	0	0	0	0	0	0
2022-07-11	17330671	0	0	0	0	5456578	0	16544445	17477612	0	0	0	18088356	8921372	18585092	17862076	0	0	17739921	17574550	0	0	17367152	8643512	17292320
2022-07-18	0	0	17147191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	51441573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8643512	0
2022-08-01	8942063	0	0	9045012	0	87305248	0	0	0	0	0	0	26476964	0	0	0	0	0	0	9185942	0	0	0	172870240	8903712
2022-08-08	86653355	0	0	0	0	65478936	17550576	0	0	0	18142510	0	0	8921372	0	17862076	0	0	0	0	22688409	17428484	17367152	121009168	0
2022-08-15	0	0	0	0	0	43652624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86435120	0
2022-08-22	17330671	0	0	0	17971174	5456578	0	0	17477612	17825558	18142510	17850647	0	0	0	17862076	0	8800475	17739921	0	22688409	17428484	0	17287024	17292320
2022-08-29	0	0	0	0	0	0	17550576	0	0	0	0	0	0	0	0	0	0	70403800	0	0	0	0	0	25930536	0
2022-09-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70403800	0	0	0	0	0	86435120	0
2022-09-19	0	0	17147191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-10-03	0	0	17147191	0	17971174	0	0	0	17477612	0	0	17850647	0	0	0	17862076	18059833	0	0	17574550	22688409	17428484	17367152	8643512	17292320
2022-10-10	0	0	0	230400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-07	0	27516861	17147191	9045012	17971174	10913156	35101152	16544445	34955224	17825558	18142510	17850647	18088356	8921372	18585092	35724152	36119666	17600950	17739921	35149100	22688409	34856968	34734304	17287024	34584640
