region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	2659812575	1774	339	116
CHN	658972067	77	64	5
USA	134246408	14	14	0
USA/MA	836264274	139	0	75
GitHub	1366419436	5379	355	290
AWS/ap-southeast-1	306747237	82	82	0
USA/NC	263292043	36	36	0
AWS/us-east-1	258948054	47	6	20
USA/VA	355176590	36	36	0
AWS/us-east-2	56344096	6	6	0
USA/OH	152572632	16	16	0
MEX/CMX	74178320	296	52	51
USA/IL	4205976	29	2	2
USA/CA	15677996	102	4	5
JPN/13	8059862	15	1	1
CHN/SH	18804729	2	2	0
GCP/us-central1	46576787	5	5	0
CHN/BJ	1261204	5	1	1
FRA/IDF	3849120	15	3	3
EST/37	8340591	1	1	0
CHE/VD	2448624	8	2	1
USA/NY	48096276	983	3	3
AWS/us-west-2	27796240	73	6	2
USA/WA	2228654	9	2	2
FRA/OCC	9596352	1	1	0
MDA/CU	1	1	0	1
USA/TX	9596049	1	1	0
BGD	21049019	4	4	0
PER/LMA	1310160	1	1	0
BRA/GO	6419784	1	1	0
ECU/SE	9422222	1	1	0
EGY/C	3275400	1	1	0
COM/G	6812832	1	1	0
BRA/PB	9929926	1	1	0
THA/10	1768716	1	1	0
KEN/26	6747324	1	1	0
VNM/37	9929926	1	1	0
VNM/SG	19364410	2	2	0
ETH/GA	3078876	1	1	0
ZAF/GP	9929926	1	1	0
COL/DC	19859852	2	2	0
UKR	3668448	1	1	0
