region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
VPN	24923252021	2552	838	169
GitHub	2309838217	8247	443	355
USA/MA	2813866745	159	0	73
CHN	2913848722	329	11	52
USA	1278696788	199	52	21
USA/MD	46320044	51	10	10
AWS/us-east-1	659983905	59	59	0
HKG/KKC	211315458	30	0	6
AWS/ap-southeast-1	647743104	121	121	0
MEX/CMX	98122956	355	52	51
GCP/us-central1	176896451	5	5	0
AWS/us-east-2	246562917	7	7	0
FRA/IDF	102921194	333	27	13
USA/IL	723494862	57	33	2
USA/VA	122098943	5	5	0
VNM/HN	24106944	3	3	0
AUT/7	15656412	1	1	0
SGP	34588224	6	6	0
HKG	11332884	3	3	0
PHL/00	2030748	2	2	0
BGD	9302137	5	4	1
USA/CA	15067540	20	4	4
CHN/SH	102812089	10	3	1
AWS/us-west-2	24593650	66	6	2
USA/WA	12283100	10	2	2
VNM/34	12118980	1	1	0
KEN/09	7009356	1	1	0
EGY/GZ	9236628	1	1	0
CHL/RM	18014700	2	2	0
MUS/PL	17818176	1	1	0
UKR/51	14280744	1	1	0
BOL	3340908	1	1	0
PAK/PB	36553464	3	3	0
BRA/MG	3406416	1	1	0
VNM/SG	63875306	3	3	0
ZAF/WC	1441176	1	1	0
IDN/JB	917112	1	1	0
BRA/CE	8385024	1	1	0
AZE/BA	1965240	1	1	0
BEL/VLG	1768716	1	1	0
VEN/K	14477268	1	1	0
ECU/G	1	1	0	1
ARG/T	11463900	1	1	0
TUR/41	851604	1	1	0
PHL/10	16704540	1	1	0
TUR/27	11201868	1	1	0
VNM/54	35001121	1	1	0
ARG/B	8712564	1	1	0
IRQ/NA	32229936	1	1	0
BRA/SP	1768716	1	1	0
TUR/54	29347584	1	1	0
BRA/MA	1	1	0	1
EST/37	34653651	1	1	0
CHE/VD	3136808	14	2	1
TUR/38	34653651	1	1	0
URY/MA	1375668	1	1	0
BGD/C	5502672	1	1	0
MYS/14	1244652	1	1	0
USA/SD	12774060	1	1	0
DZA/08	2358288	1	1	0
ECU/P	10415772	1	1	0
COL/DC	37868546	2	2	0
BRA/GO	1	1	0	1
USA/MI	12512028	1	1	0
ESP/CT	34855178	1	1	0
USA/PA	86765345	1102	0	2
CHN/BJ	1326712	5	1	1
COL/ATL	1113637	2	1	1
IND	9171120	1	1	0
MYS/10	36950662	2	2	0
ARG/D	27578868	1	1	0
UZB/TK	19717908	2	2	0
BRA/PR	4782084	1	1	0
BRA/PA	4716576	1	1	0
ARE/DU	22665768	1	1	0
SUR/WA	13560156	1	1	0
VNM/68	13167108	2	2	0
HND/CR	1768716	1	1	0
DOM/32	9236628	1	1	0
ALB/11	1965240	1	1	0
IDN/JI	8188500	1	1	0
IDN/YO	10088232	3	3	0
TUR/67	10088232	1	1	0
IRQ	1703208	1	1	0
KEN/30	1113636	1	1	0
SEN/DK	7271388	1	1	0
