week_start	Miscellaneous
2021-10-04	5770727
2021-10-25	451597
2021-11-15	649
2022-07-11	6144183
2022-07-25	38099705
2022-08-01	1616616
2022-08-08	5032161
2022-08-22	6601757
2022-08-29	24442755
2022-09-12	10142093
2022-10-03	23151935
2023-01-02	14201868
2023-02-27	14243614
2023-04-10	1614646
2023-07-10	449311
2023-10-23	397385
2023-10-30	394936
2024-02-26	2335660
2024-03-04	436
2024-04-15	435
2024-04-22	430
2024-05-06	441733
2024-06-03	448268
2024-06-10	418216
2024-07-01	716
2024-07-08	67
2024-07-22	716
2024-07-29	7556849
2024-08-05	436
2024-08-26	4572705
2024-09-02	2854556
2024-09-09	1236203
2024-09-23	438
2024-09-30	450466
2024-10-07	791718
2024-10-14	2168211
2024-11-04	6704783
2024-11-11	1274552
2024-11-18	448268
2024-11-25	835577
2024-12-02	389874
2025-02-24	649
2025-04-07	716
2025-07-28	2103898
2025-08-04	2073333
2025-08-11	1189200
2025-08-18	2776338
2025-08-25	1625417
2025-09-01	2064261
2025-09-08	2973128
2025-09-15	430
2025-09-22	439450
2025-09-29	887899
2025-10-06	430
2025-11-17	649
2025-11-24	14294747
2025-12-01	448268
2025-12-15	27252004
2025-12-22	391193
2025-12-29	838300
2026-01-05	1326731
2026-01-12	21802911
2026-01-19	838088
2026-01-26	2078682
2026-02-23	442163
2026-03-16	3761495
2026-03-30	385395
2026-04-13	438153
2026-04-20	1768
