week_start	Miscellaneous
2021-10-04	5770727
2021-10-25	451597
2021-11-15	649
2022-07-11	6568511
2022-07-25	41868839
2022-08-01	1616616
2022-08-08	5472037
2022-08-22	7008513
2022-08-29	25294349
2022-09-12	10144464
2022-10-03	24890988
2023-01-02	14201868
2023-02-27	14243614
2023-04-10	1614646
2023-07-10	449311
2023-10-23	839567
2023-10-30	394936
2024-02-26	2773813
2024-03-04	436
2024-03-25	448268
2024-04-15	435
2024-04-22	430
2024-05-06	441733
2024-06-03	448268
2024-06-10	418216
2024-07-01	716
2024-07-08	716
2024-07-22	716
2024-07-29	7556849
2024-08-05	436
2024-08-26	4573150
2024-09-02	3252379
2024-09-09	1670377
2024-09-23	438
2024-09-30	450466
2024-10-07	791718
2024-10-14	2168211
2024-11-04	7962627
2024-11-11	1274552
2024-11-18	448268
2024-11-25	835577
2024-12-02	389874
2025-01-13	848572
2025-02-24	649
2025-04-07	716
2025-04-21	716
2025-07-28	2104334
2025-08-04	2475874
2025-08-11	1582381
2025-08-18	2776338
2025-08-25	1625417
2025-09-01	2064696
2025-09-08	2973128
2025-09-15	430
2025-09-22	439450
2025-09-29	1326052
2025-10-06	430
2025-11-17	649
2025-11-24	15137140
2025-12-01	448268
2025-12-15	27253308
2025-12-22	391193
2025-12-29	838300
2026-01-05	1326731
2026-01-12	23388954
2026-01-19	838517
2026-01-26	2079120
2026-02-23	442163
2026-03-16	3762801
2026-03-30	385395
2026-04-13	2134012
2026-04-20	849776
