region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/ap-southeast-1	10229179	99	99	0
AWS/us-east-1	5273244	131	131	0
USA/MA	3223872	55	0	55
VPN	7830006	98	98	0
CHE/SO	3222762	54	54	0
USA/CA	3674436	55	55	0
BGD	36753	3	3	0
ECU/P	9337	1	1	0
POL/02	41895906	702	702	0
CHL/ML	9337	1	1	0
GitHub	38673144	648	594	52
AWS/us-east-2	127974	8	8	0
CHE/GE	3222762	54	54	0
NOR/50	3222762	54	54	0
USA/NY	3197077	52	52	0
USA/IL	6461920	111	111	0
THA	2189413	11	11	0
HKG	2330675	33	33	0
COL/DC	15709	1	1	0
UZB/TK	25175	2	2	0
ZAF/KZN	10787	1	1	0
MAR/09	18397	2	2	0
PER/LMA	14252	1	1	0
CYP/01	54354	7	7	0
VNM/SG	156480	6	6	0
BIH/BIH	95733	1	1	0
COL/ANT	95733	1	1	0
GBR/ENG	2533593	11	11	0
USA/TX	14758	3	3	0
VNM/HN	17879	4	4	0
ISR/HA	451674	1	1	0
VNM/61	6636	1	1	0
VNM	114146	1	1	0
TUR/07	114146	1	1	0
JPN/13	8336	1	1	0
ZAF/GP	41201	3	3	0
CHN/JS	58573	5	5	0
ARE	24684	2	2	0
SGP	11259	1	1	0
VNM/DN	25664	2	2	0
KEN/30	35890	4	4	0
VNM/39	3475	1	1	0
COL/BOL	9551	1	1	0
PAK/PB	21990	2	2	0
VNM/CT	9551	1	1	0
MEX/AGU	3464	1	1	0
BRA/RJ	14363	2	2	0
VNM/68	12887	1	1	0
IRQ/BG	1118569	2	2	0
USA/WI	834	1	1	0
CAN/QC	834	1	1	0
URY/MO	16348	1	1	0
DOM/32	9685	1	1	0
BRA/SE	11942	1	1	0
VNM/22	13404	1	1	0
LBN/BA	21077	1	1	0
AZE/BA	21077	1	1	0
VNM/37	3272	1	1	0
NPL	3272	1	1	0
BRA/CE	11197	1	1	0
COL/BOY	11197	1	1	0
MAR/04	11197	1	1	0
FRA/IDF	686	1	1	0
ESP/CT	686	1	1	0
CHN	686	1	1	0
CHE/ZH	686	1	1	0
BRA/MG	5633	1	1	0
BOL/L	20744	2	2	0
PAN/8	1105682	1	1	0
BRA/SP	2220511	3	3	0
BRA/SC	1105682	1	1	0
VNM/HP	15111	1	1	0
IDN/KS	15111	1	1	0
BOL/S	9147	1	1	0
OMN/MA	6323	1	1	0
DZA/16	6323	1	1	0
BGD/B	10899	1	1	0
IRL/C	10899	1	1	0
