week_start	sub-M26/sub-M26_ses-20200319T153237_behavior+ecephys.nwb	sub-M27/sub-M27_ses-20200319T163241_behavior+ecephys.nwb	sub-M29/sub-M29_ses-20200612T143309_behavior+ecephys.nwb	sub-M36/sub-M36_ses-20200827T141103_behavior+ecephys.nwb	sub-M37/sub-M37_ses-20200829T154548_behavior+ecephys.nwb	sub-M38/sub-M38_ses-20200904T142415_behavior+ecephys.nwb	sub-M40/sub-M40_ses-20201126T145724_behavior+ecephys.nwb	sub-M41/sub-M41_ses-20201127T144127_behavior+ecephys.nwb	sub-M42/sub-M42_ses-20201201T143600_behavior+ecephys.nwb	sub-M43/sub-M43_ses-20201203T150431_behavior+ecephys.nwb	sub-M44/sub-M44_ses-20201207T155850_behavior+ecephys.nwb	sub-M45/sub-M45_ses-20201209T141009_behavior+ecephys.nwb	sub-M50/sub-M50_ses-20211026T152836_behavior+ecephys.nwb	sub-M52/sub-M52_ses-20211102T155806_behavior+ecephys.nwb
2022-08-29	4861400876	343932928	1334026336	638357490	1983075914	645922816	1650776308	1960898096	1451229184	1367343104	788529152	654311424	1157627904	1687533496
2022-09-05	10854410464	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-09-12	0	1178184900	4396105920	2097975282	1966298698	4302009168	2538266252	0	0	5760830262	0	4285516336	0	4666912624
2022-10-24	1356801308	1178184900	0	0	0	2151004584	0	0	2068531364	1920276754	2001973094	2142758168	0	0
2022-12-19	136191132	110446488	77299440	112739268	168755328	93938472	138483912	97213872	109863636	64202320	67866288	63088684	66687144	164359572
2023-01-09	76971900	63477252	53716560	72910404	111822156	180147000	134815464	217355544	15459888	158007536	166193796	134815464	61577520	150078828
2023-02-13	0	0	0	0	0	179681704	137027212	0	251658240	263526674	182693734	0	226618579	126203832
2023-02-20	0	889192448	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-27	331142940	2145332864	2491921848	288759264	2521125722	329701764	2447154076	167897004	70814148	274216488	517847460	2370594992	217290036	2624966912
2023-03-13	1356801308	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	0	0	312538668	196917048	34850256	121844880	153157704	266421036	27185820	0	410800668	120993276	143331504	338741868
2023-04-10	152044068	0	0	131736588	42514692	0	19193844	0	212966508	0	0	178116252	29413092	0
2023-04-17	366713784	284566752	294851508	27054804	306577440	0	265372908	212638968	200978544	150930432	6419784	0	362586780	82278048
2023-04-24	0	617609424	0	0	0	392523936	60594900	0	219451800	248013288	526225764	501529248	0	0
2023-05-01	0	176478552	308411664	6419784	0	98327508	0	560093400	78806124	366189720	1145538396	381256560	259804728	793563912
2023-05-08	3474019480	1178184900	775942260	2380838826	274740552	0	0	1904321936	250437084	689340684	242641632	2050433448	391934364	998865984
2023-05-15	606276540	541030572	310704444	0	0	467268564	492947700	397043988	0	465630864	403922328	845511756	204909024	0
2023-05-22	0	427953632	248144304	489410268	837388764	0	671981064	52209876	193379616	0	38518704	706962336	299633592	270023976
2023-05-29	108219216	455902136	17425128	490327380	406411632	134946480	0	351515928	211197792	389445060	216110892	211001268	184142988	582824676
2023-06-05	416630880	3773808	36881004	0	261507936	0	73172436	337038660	258036012	0	675125448	864312552	0	99441144
2023-06-12	0	227816796	0	0	787537176	0	0	328391604	974497008	0	572277888	0	550791264	0
2023-06-19	0	3696640	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	311949096	1007780440	312538668	285745896	23189832	447288624	294982524	251026656	324330108	25482612	427177668	319613532	64787412	244082808
2023-07-03	48737952	63457056	165211176	102913068	391017252	0	262687080	375884904	122696484	22796784	0	0	840991704	454035948
2023-07-10	476243160	259113140	288497232	6419784	219975864	284894292	44807472	6419784	557145540	66294096	0	56729928	479518560	260656332
2023-07-17	556490460	261371616	0	429404940	202223196	420561360	327146952	290921028	607717716	17687160	215455812	0	0	509586732
2023-07-24	1802845280	621637408	384007896	32688492	158201820	0	432549324	330422352	93021360	194624268	1288869900	328588128	359638920	278933064
2023-07-31	16901064	20500748	6419784	18604272	19717908	23255340	6354276	25613628	0	16442508	18735288	6419784	32164428	9957216
2023-08-07	5044282218	3089712	352629564	2465540670	2182278574	2446969728	89811468	659338020	0	0	2001973094	264062748	194624268	244410348
2023-08-14	1907142004	2615112	485938344	0	335466468	879706932	0	3090552492	2312352140	887633400	322757916	2451104324	2938818519	314765940
2023-08-21	538338483	38632792	437855472	429666972	285876912	338741868	90204516	0	266224512	339986520	99637668	653638824	365207100	0
2023-08-28	4070403924	4160072	490196364	303891612	113918412	250699116	358525284	0	0	48934476	339921012	242117568	309918348	524260524
2023-09-04	1045466860	228632228	0	498777912	300616212	244344840	26596248	418530612	0	9957216	695039880	0	643812624	1234563768
2023-09-11	17752668	4146656	245261952	0	0	578697672	269827452	190431756	270613548	113459856	0	390231156	116342208	693664212
2023-09-18	1381301300	1219673000	2213054292	2097975282	0	1856189884	345161652	273954456	276902316	369399612	78871632	0	0	2898921368
2023-09-25	75428380	265757928	0	0	121058784	15001332	0	175102884	0	0	150537384	0	258232536	177068124
