region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	1609623179	5881	317	251
USA	853080276	135	37	14
VPN	16024025511	1948	583	134
USA/MA	2834919081	320	2	76
CHN	2549807395	271	12	42
HKG/KKC	210411621	30	0	6
USA/IL	476957814	45	21	2
AWS/us-east-1	883571829	80	80	0
GCP/us-west1	34915734	1	1	0
AWS/ap-southeast-1	416499864	69	69	0
VNM/SG	79002648	7	7	0
AWS/us-east-2	210411621	6	6	0
USA/MD	52655324	56	10	13
USA/CA	87518416	56	6	5
USA/VA	214236348	12	12	0
MEX/CMX	91720424	361	52	51
CHN/SH	97025069	10	2	1
GCP/us-central1	175829950	5	5	0
FRA/IDF	76562200	342	26	13
ITA	10350264	1	1	0
CHL/RM	173271881	5	5	0
GBR/ENG	2683563	359	0	2
ALB/11	10808820	1	1	0
BRA/RJ	30985284	1	1	0
AWS/us-west-2	24278386	68	6	2
USA/WA	9269732	10	2	2
MEX/BCN	8712564	1	1	0
DZA/31	11005344	1	1	0
HKG	6419784	2	2	0
CHN/HA	1	1	0	1
VNM/HN	12774060	2	2	0
USA/PA	24989409	944	0	2
USA/NY	36054815	4125	0	3
JPN/13	10491498	14	1	1
CAN/BC	5578398	14	1	1
VEN/N	4847592	1	1	0
MAR/03	35223883	1	1	0
SVK/TA	10350264	1	1	0
CHN/BJ	1494620	6	1	1
EST/37	33975546	1	1	0
CHE/VD	2653424	10	2	1
GCP/asia-south1	4479858	31	1	1
