week_start	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220518.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220523.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220525.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220601.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220603.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220606.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220608.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220613.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220615.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220622.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220901.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20220929.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221006.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221018.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221025.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221027.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221101.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221103.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221208.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20221215.nwb	sub-T5-held-in-calib/sub-T5-held-in-calib_ses-20230228.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220518.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220523.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220525.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220601.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220603.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220606.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220608.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220613.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220615.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220622.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220901.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20220929.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221006.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221018.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221025.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221027.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221101.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221103.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221208.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20221215.nwb	sub-T5-held-in-minival/sub-T5-held-in-minival_ses-20230228.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230417.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230531.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230628.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20230816.nwb	sub-T5-held-out-calib/sub-T5-held-out-calib_ses-20231009.nwb
2024-04-01	40797885	58345194	72092377	41389038	39982000	73157552	57494033	64980702	52589829	70770144	42443584	23983096	20672822	32631811	35733985	29486116	32516872	27532854	43573422	34443918	51980818	4702430	1634160	2539999	30982968	4761168	4699290	4817746	0	3051324	2561724	454910	2560579	4773558	2569489	2557714	2547159	0	502461	3760660	4323528	2161764	445225	2161764	4499945	2615709	4389036
2024-04-08	0	0	0	0	0	105989592	0	0	65648065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144481120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	100409263	0	1127741	0	121725240	218333460	7751957	3144384	66272130	81169474	50133128	0	39418862	762881	62755406	4520052	63544072	35921462	36778508	0	76442066	8999245	1226680	3552635	157392584	5159404	404045	6489420	6915484	6292944	0	5959124	2560579	3050460	7687614	131016	2842995	6087870	2317045	6303884	5987430	462485	5919414	9587529	10251382	6141654	9179616
2024-04-22	69302073	0	91034941	85840150	0	0	0	0	0	73296905	43713344	0	38858231	0	29314201	0	31772036	0	0	17448705	34683601	4296815	1226680	3552635	105780820	2997640	4295245	6060710	4168860	4131180	2959960	3014910	0	2600430	2762925	2751150	2842995	0	0	3760660	2993715	4251285	3312425	0	0	3525945	4790580
2024-04-29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180183144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154801200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147061140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131581020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193501500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	99844042	254423625	91034941	85840150	0	211979184	132688218	0	65648065	146593810	87426688	78904952	77716462	0	87942603	0	95316108	0	108424038	0	104050803	4296815	1226680	3552635	102782544	2997640	4295245	6060710	8337720	8262360	2959960	6029820	3982815	2600430	5525850	5502300	2842995	2848490	2317045	7521320	5987430	8502570	3312425	6998510	7369030	3525945	4790580
2024-06-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54180420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	0	84807875	91034941	0	0	105989592	66344109	84965145	0	0	0	39452476	38858231	0	29314201	0	31772036	35419931	0	0	0	4296815	0	0	0	0	0	0	0	0	0	0	0	0	2762925	0	0	0	0	0	0	0	3312425	0	0	0	4790580
2024-07-08	2816844	0	4978608	0	65036068	1197388	72392914	947993	68726941	0	43713344	0	5175132	33310722	38177642	1824840	32742152	36367926	40792414	5977637	0	2161764	1226680	406907	3062888	3504912	0	4944722	6330624	6292944	2631356	393470	2161764	4762194	3166554	2161764	0	0	482037	0	3497062	0	3312425	3499255	0	0	4854240
