week_start	stimuli/movies/Despicable_Me_English.avi	stimuli/movies/Despicable_Me_English.mp4	stimuli/movies/Despicable_Me_Hungarian.mp4	stimuli/movies/Inscapes_02.mp4	stimuli/movies/Monkey1.avi	stimuli/movies/Monkey2.avi	stimuli/movies/Monkey5.avi	stimuli/movies/PartySaurusRex.mov	stimuli/movies/The_Present.mp4
2025-09-22	0	148896000	226425116	175653063	1455223380	1263521696	746911212	231785844	31776453
2025-09-29	449522582	643777040	340065084	292504899	1948509748	1089458080	975815528	311546712	111602829
2025-10-06	24303470	0	307714884	0	0	0	0	311546712	0
2025-10-13	1114319766	0	0	309282115	1233057856	1089458080	1099300048	311546712	119987853
2025-10-20	0	309445088	0	0	0	0	0	311546712	111602829
2025-11-03	14018712	0	0	309282115	1221004384	1089458080	0	311546712	0
2025-12-01	1114319766	0	307714884	309282115	1221004384	0	1099300048	311546712	0
2025-12-15	1137116550	322153640	14346252	9891708	1488391264	334871928	8254008	0	4127004
2025-12-22	0	0	0	0	0	0	0	0	36700160
2026-01-05	0	0	0	0	0	0	0	96588632	0
2026-01-12	0	309445088	0	0	1231490144	1078972320	0	0	10485760
2026-01-19	0	0	0	151995715	0	0	506854608	0	0
2026-02-02	479931286	99614720	103242564	0	0	0	0	0	0
2026-02-09	1114319766	0	0	0	0	1089458080	0	311546712	111602829
2026-02-16	0	32768	32768	1114112	0	0	0	0	0
2026-03-02	0	0	1081344	32768	0	0	0	0	0
2026-03-09	22586436	0	4388992	0	10447532	20532220	30114540	1572864	17752668
2026-03-16	9887128	10022724	307714884	9957216	162768	290472	10234552	17359620	13101556
