week_start	sub-Temp-pref-F32-B32-5dpf-01-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-01-unsorted-nac_ses-20230711T115100_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-02-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-02-unsorted-nac_ses-20230711T122700_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-03-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-03-unsorted-nac_ses-20230711T130000_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-04-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-04-unsorted-nac_ses-20230711T133200_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-05-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-05-unsorted-nac_ses-20230711T140600_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-06-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-06-unsorted-nac_ses-20230711T143800_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-07-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-07-unsorted-nac_ses-20230711T151200_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-08-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-08-unsorted-nac_ses-20230711T154400_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-09-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-09-unsorted-nac_ses-20230711T161900_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-10-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-10-unsorted-nac_ses-20230711T165300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-11-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-11-unsorted-nac_ses-20230712T101300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-12-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-12-unsorted-nac_ses-20230712T104500_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-13-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-13-unsorted-nac_ses-20230712T112100_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-14-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-14-unsorted-nac_ses-20230712T115300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-15-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-15-unsorted-nac_ses-20230712T122600_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-16-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-16-unsorted-nac_ses-20230712T125900_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-17-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-17-unsorted-nac_ses-20230712T133000_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-18-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-18-unsorted-nac_ses-20230712T142400_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-19-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-19-unsorted-nac_ses-20230712T145800_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-20-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-20-unsorted-nac_ses-20230712T153100_behavior.nwb
2025-03-10	7066579	2201641	2906177	0	2200730	4192512	0	4127004	3096826	4258020	2239354	10574879	0	0	2173441	0	6608168	2304074	3652096	0
2025-06-23	159100	212665	187140	142656	259783	112173	229238	212703	191980	187110	206084	217717	142888	212327	196486	175539	205978	165973	170880	187150
2025-07-14	42140	137891	206052	142656	138062	133232	191818	112158	166160	149688	191876	133409	121799	275294	170691	191902	196514	217391	191984	58517
2025-07-28	0	0	0	0	0	9048627	0	0	0	0	0	0	0	0	0	0	0	9644106	9550336	0
2025-08-04	9493175	0	0	0	0	0	0	0	0	0	0	0	9595596	0	0	0	0	0	0	0
2025-08-11	0	9672745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9559052	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	19321806	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	9661769	0	0	0	0	0	0	0	0	0	0	0	9550336	0
2025-09-01	0	0	0	0	0	0	0	0	0	9568058	0	0	0	9544780	9513473	0	0	9644106	0	0
2025-09-08	0	0	0	0	0	0	0	9677271	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	3594935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	8254008	14804808	0	13755257	10481280	14354775	6354276	0	9781498	20376878	9448314	17652879	16015380	9544780	6419784	0	0	9644106	20293648	5764704
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9511347
2026-01-12	0	0	0	19256506	0	0	0	0	0	19136116	9448314	9660903	0	0	0	0	19118104	0	28651008	9511347
2026-01-19	0	9672745	9590849	0	0	0	0	0	0	0	9448314	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	9048627	0	9677271	0	9568058	0	0	0	9544780	0	9563893	0	0	9550336	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9513473	0	0	0	0	0
2026-02-16	9872750	9979945	409600	307200	307200	307200	7467912	307200	8364684	9772858	0	0	0	0	0	0	0	0	0	0
2026-02-23	0	6557965	0	4127004	0	0	1776969	6841075	0	3014458	0	4127004	0	0	0	2498293	0	0	0	0
2026-03-02	0	0	0	0	4127004	1778227	0	0	4782084	0	0	0	0	5502672	0	0	0	0	0	2548147
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	2222796	0	0	0	4454544	0	0	0
2026-03-23	4192512	0	999172	0	0	0	0	720588	0	0	0	0	0	0	0	0	0	0	0	0
