week_start	sub-Temp-pref-F32-B32-5dpf-01-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-01-unsorted-nac_ses-20230711T115100_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-02-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-02-unsorted-nac_ses-20230711T122700_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-03-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-03-unsorted-nac_ses-20230711T130000_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-04-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-04-unsorted-nac_ses-20230711T133200_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-05-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-05-unsorted-nac_ses-20230711T140600_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-06-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-06-unsorted-nac_ses-20230711T143800_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-07-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-07-unsorted-nac_ses-20230711T151200_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-08-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-08-unsorted-nac_ses-20230711T154400_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-09-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-09-unsorted-nac_ses-20230711T161900_behavior.nwb	sub-Temp-pref-F32-B32-5dpf-10-unsorted-nac/sub-Temp-pref-F32-B32-5dpf-10-unsorted-nac_ses-20230711T165300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-11-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-11-unsorted-nac_ses-20230712T101300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-12-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-12-unsorted-nac_ses-20230712T104500_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-13-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-13-unsorted-nac_ses-20230712T112100_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-14-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-14-unsorted-nac_ses-20230712T115300_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-15-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-15-unsorted-nac_ses-20230712T122600_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-16-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-16-unsorted-nac_ses-20230712T125900_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-17-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-17-unsorted-nac_ses-20230712T133000_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-18-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-18-unsorted-nac_ses-20230712T142400_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-19-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-19-unsorted-nac_ses-20230712T145800_behavior.nwb	sub-Temp-pref-F32-B32-6dpf-20-unsorted-nac/sub-Temp-pref-F32-B32-6dpf-20-unsorted-nac_ses-20230712T153100_behavior.nwb
2025-03-10	7066579	2201641	2906177	0	2200730	6294323	0	6595315	3096826	4258020	2239354	10574879	0	4716576	2173441	0	6608168	7020650	3652096	0
2025-06-23	201240	233704	229296	184764	313541	175350	271376	229036	229430	250356	238776	271528	222509	254305	233892	208265	205978	203375	170880	224580
2025-07-14	133300	154239	243480	229038	159138	217468	229238	196370	166160	276180	212958	175563	213039	307996	212825	212977	292405	275830	250532	180295
2025-07-28	0	0	0	0	0	9048627	0	0	0	0	0	0	0	0	0	0	0	9644106	9550336	9511347
2025-08-04	9493175	0	0	0	0	0	0	0	9781498	0	0	0	9595596	0	0	0	0	0	0	0
2025-08-11	0	9672745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9559052	0	0	0
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	19321806	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	0	0	9661769	0	0	0	0	0	0	0	0	0	0	0	9550336	0
2025-09-01	0	0	0	0	0	0	0	0	0	9568058	0	0	9595596	9544780	9513473	0	0	9644106	0	0
2025-09-08	0	0	0	0	0	0	0	9677271	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	3594935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	8254008	14804808	9590849	13755257	10481280	23403402	14739300	0	18166522	20376878	22091358	17652879	16015380	17929804	13822188	0	6354276	9644106	20293648	12118980
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9511347
2026-01-12	0	0	0	19256506	0	0	0	0	0	19136116	28344942	9660903	0	0	0	0	19118104	0	28651008	9511347
2026-01-19	0	9672745	19181698	9628253	0	0	0	0	0	0	9448314	0	0	0	0	0	0	0	0	0
2026-01-26	0	0	0	0	0	9048627	0	9677271	0	9568058	0	0	0	9544780	0	9563893	0	0	9550336	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9513473	0	0	0	0	0
2026-02-16	9872750	19959890	819200	9935453	9979034	307200	15328872	307200	8364684	9772858	0	0	0	0	0	0	0	0	0	0
2026-02-23	7234487	6557965	0	4127004	0	0	6034989	6841075	0	7600018	0	4127004	0	0	0	2498293	0	0	0	0
2026-03-02	0	0	0	0	6630838	6232771	0	0	7293182	0	0	0	0	5502672	0	0	0	0	4454544	7002691
2026-03-09	0	0	0	0	0	0	0	0	0	0	3078876	0	2222796	0	0	0	4454544	0	0	0
2026-03-16	0	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	7402404	0	0	9236628
2026-03-23	4192512	0	999172	0	0	0	0	4847592	720588	0	0	0	0	0	9513473	0	0	0	0	0
2026-04-06	0	0	9590849	9628253	9671834	0	0	0	0	0	0	0	0	0	0	0	11589801	0	0	0
