week_start	sub-20220512001/sub-20220512001_ses-20220512T161621_slice-20220512001_cell-20220512001_icephys.nwb	sub-20220512002/sub-20220512002_ses-20220512T172916_slice-20220512002_cell-20220512002_icephys.nwb	sub-20220617001/sub-20220617001_ses-20220617T155702_slice-20220617001_cell-20220617001_icephys.nwb	sub-20220622001/sub-20220622001_ses-20220622T152433_slice-20220622001_cell-20220622001_icephys.nwb	sub-20220622002/sub-20220622002_ses-20220622T163012_slice-20220622002_cell-20220622002_icephys.nwb	sub-20220622003/sub-20220622003_ses-20220622T172100_slice-20220622003_cell-20220622003_icephys.nwb	sub-20220622004/sub-20220622004_ses-20220622T180136_slice-20220622004_cell-20220622004_icephys.nwb	sub-20220623001/sub-20220623001_ses-20220623T170843_slice-20220623001_cell-20220623001_icephys.nwb	sub-20220623002/sub-20220623002_ses-20220623T172359_slice-20220623002_cell-20220623002_icephys.nwb	sub-20220623003/sub-20220623003_ses-20220623T174115_slice-20220623003_cell-20220623003_icephys.nwb	sub-20220623004/sub-20220623004_ses-20220623T194430_slice-20220623004_cell-20220623004_icephys.nwb	sub-20220623005/sub-20220623005_ses-20220623T204103_slice-20220623005_cell-20220623005_icephys.nwb	sub-20220623006/sub-20220623006_ses-20220623T214147_slice-20220623006_cell-20220623006_icephys.nwb	sub-20220623007/sub-20220623007_ses-20220623T215801_slice-20220623007_cell-20220623007_icephys.nwb	sub-20220624001/sub-20220624001_ses-20220624T154833_slice-20220624001_cell-20220624001_icephys.nwb	sub-20220624002/sub-20220624002_ses-20220624T161735_slice-20220624002_cell-20220624002_icephys.nwb	sub-20220624003/sub-20220624003_ses-20220624T174213_slice-20220624003_cell-20220624003_icephys.nwb	sub-20220624004/sub-20220624004_ses-20220624T182406_slice-20220624004_cell-20220624004_icephys.nwb	sub-20220624005/sub-20220624005_ses-20220624T191954_slice-20220624005_cell-20220624005_icephys.nwb	sub-20220701001/sub-20220701001_ses-20220701T171042_slice-20220701001_cell-20220701001_icephys.nwb	sub-20220701002/sub-20220701002_ses-20220701T172558_slice-20220701002_cell-20220701002_icephys.nwb	sub-20220701003/sub-20220701003_ses-20220701T174937_slice-20220701003_cell-20220701003_icephys.nwb	sub-20220701004/sub-20220701004_ses-20220701T180834_slice-20220701004_cell-20220701004_icephys.nwb	sub-20220701005/sub-20220701005_ses-20220701T190224_slice-20220701005_cell-20220701005_icephys.nwb	sub-20220701006/sub-20220701006_ses-20220701T191236_slice-20220701006_cell-20220701006_icephys.nwb	sub-20220701007/sub-20220701007_ses-20220701T193930_slice-20220701007_cell-20220701007_icephys.nwb
2022-07-18	9101760	0	15914676	12707261	13994277	32109395	9073434	16851818	12643401	8388608	16777216	4182190	12582549	12738683	16777216	17006247	4606341	22861981	24748260	16482618	0	16777216	0	4029238	4133162	4131259
2022-07-25	0	0	0	0	0	0	9073434	0	0	0	0	0	4193941	0	0	0	0	0	0	0	0	0	9151977	0	0	0
2022-08-01	0	0	0	0	0	0	136101510	0	4254793	0	0	0	0	0	0	0	0	0	0	8388608	0	0	173887563	0	0	0
2022-08-08	17490368	12348718	0	21095869	13994277	32109395	99807774	25240426	0	0	21254724	0	0	0	0	0	12994949	0	0	0	0	24678419	118975701	0	0	0
2022-08-15	0	0	0	0	0	0	63514038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73215816	0	0	0
2022-08-22	17490368	0	24303284	0	0	0	18146868	25240426	0	12657031	0	0	0	0	24398531	33783463	0	0	24748260	49742452	12651977	0	0	12417846	12521770	12519867
2022-08-29	0	86441026	0	0	0	353203345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36607908	0	0	0
2022-09-05	0	74092308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73215816	0	0	0
2022-11-07	17490368	12348718	24303284	21095869	27988554	32109395	9073434	50480852	12643401	12657031	42509448	12570798	0	12738683	48797062	33783463	0	31250589	0	24871226	12651977	24678419	9151977	0	12521770	0
2022-11-14	0	0	0	15728392	0	652115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-19	0	5242880	3331764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12651977	0	0	0	0	12519867
2022-12-26	17490368	12348718	24303284	21095869	13994277	32109395	9073434	25240426	12643401	12657031	21254724	12570798	12582549	12738683	24398531	33783463	12994949	31250589	24748260	24871226	12651977	24678419	9151977	12417846	12521770	12519867
2023-01-09	0	1862958	0	0	0	0	9073434	0	2157641	14828302	0	0	0	0	0	0	12994949	0	0	0	12651977	0	0	12417846	0	0
2023-02-13	0	0	0	0	0	0	0	0	0	0	0	0	12582549	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-27	0	0	0	0	0	0	0	0	0	0	0	7327918	0	0	0	12811943	0	0	0	0	0	14192659	0	0	7278890	0
2023-04-10	0	0	0	0	0	0	0	0	0	0	0	0	12582549	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7276987
