week_start	sub-RatR1/sub-RatR1_ses-RatR1-00base0_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-01CA1-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-02base1_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-03CA3-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-04base2_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-05ANT-stim_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-06base3_ecephys.nwb	sub-RatR1/sub-RatR1_ses-RatR1-07DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-00base0_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-01DG-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-02base1_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-03ANT-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-04base2_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-05CA1-stim_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-06base3_ecephys.nwb	sub-RatR2/sub-RatR2_ses-RatR2-07CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-00base0_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-01CA3-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-02base1_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-03ANT-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-04base2_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-05DG-stim_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-06base3_ecephys.nwb	sub-RatR3/sub-RatR3_ses-RatR3-07CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-00base0_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-01CA1-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-02base1_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-03DG-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-04base2_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-05ANT-stim_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-06base3_ecephys.nwb	sub-RatR4/sub-RatR4_ses-RatR4-07CA3-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-00base0_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-01CA1-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-02base1_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-03ANT-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-04base2_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-05DG-stim_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-06base3_ecephys.nwb	sub-RatR5/sub-RatR5_ses-RatR5-07CA3-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-00base0_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-01ANT-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-02base1_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-03DG-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-04base2_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-05CA1-stim_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-06base3_ecephys.nwb	sub-RatR6/sub-RatR6_ses-RatR6-07CA3-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-00base0_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-01DG-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-02base1_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-03ANT-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-04base2_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-05CA1-stim_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-06base3_ecephys.nwb	sub-RatR7/sub-RatR7_ses-RatR7-07CA3-stim_ecephys.nwb
2024-10-21	33554432	124230488	30854538	0	12712136	6741772	41943040	27032183	15914829	8585132	29091552	17919635	46139282	56899470	39569537	18805975	33554432	16777216	21166252	995408	46011812	31585608	6616308	30562072	38081039	47939178	25165824	29637186	8388608	38598548	42725552	40367264	27297638	18139203	15212640	35851086	19665002	23459032	7050991	16777216	40694873	22895096	68510355	14320163	16777216	16777216	31743917	53198093	25165824	48011552	16777216	36485632	21768976	40825820	37681436	8388608
2024-10-28	6681816	0	0	8188500	7860960	0	0	7402404	54125033	47867433	6616308	0	0	0	19914432	15328872	0	5961228	0	7664436	0	7860960	0	10153740	0	8385024	0	8319516	0	0	0	0	0	0	0	0	2161764	7860960	5830212	9629676	0	6681816	0	0	0	0	6616308	0	4389036	0	6157752	0	0	0	6616308	7533420
2024-11-11	43790365	0	0	0	0	0	0	0	0	0	0	68251283	0	0	0	0	0	0	0	0	0	0	0	64856738	0	11201868	0	0	0	0	0	0	0	56674371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138729834	0	0	0	0	0	0	0
2024-11-18	0	0	0	0	0	0	0	0	68078237	62868765	54257376	20045448	53061480	25155072	96186369	42907740	0	0	0	0	0	0	0	0	0	0	0	0	0	19979940	7991976	9433152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-25	7860960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	0	0	0	8388608	0	0	0	0	0	16777216	0	0	41943040	0	0	0	0	0	0	0	0	0	16777216	33554432	0	0	0	0	0	16777216	41943040	0	0	0	0	41943040	0	41943040	0	0	0	25571550	0	16777216	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-09	0	0	0	65970455	35378471	14608284	69630658	0	68340269	47867433	0	0	117638089	66199731	81512577	67302615	66365672	87941650	75558046	0	69798610	0	56692272	56078666	73080231	71679797	85809761	71934631	0	64678360	72073470	57624245	43205555	0	64163888	69667657	69996650	0	97988062	55414451	0	50737374	74408595	51808659	0	58953889	60254065	0	69364917	74687644	48974479	80525824	37623176	0	85582346	25087462
2024-12-16	0	0	10874328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-30	0	73898840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-02-10	0	147797680	69242754	50314043	35378471	40296204	69630658	90995319	54125033	47867433	54257376	68251283	117638089	66199731	81512577	67302615	66365672	0	75558046	48443472	69798610	55231528	56692272	56078666	73080231	71679797	85809761	71934631	79778651	64678360	0	57624245	43205555	0	64163888	69667657	69996650	0	0	55414451	88363379	50737374	74408595	0	0	0	0	88131777	69364917	74687644	0	0	37623176	0	0	25087462
2025-02-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56692272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-03	0	0	0	0	0	13674128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7080479	0	0	0	0	0	0	0	3847538	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	155283	0	0	0	4255219	0	0	0	0	0	140328	0	0	0	0	0	0	0	0	0	0	0	4061496	0	0	0	0	0	0	0	0	0	0	0	4389036	0	0	0	0	0	0	0	0	180746	0
2025-04-28	0	80323560	0	50314043	0	0	71119422	81744355	54125033	51976517	66034560	1142419	29085552	42318168	92762033	83082875	0	87941650	0	48443472	68091484	0	0	0	46183140	18276732	15263364	0	0	0	0	57624245	0	72778587	0	69667657	0	26067916	56440439	0	106440003	50737374	31509348	0	64646622	84018365	0	76673032	47879180	74687644	48974479	21805568	0	0	58091260	0
