week_start	Neurophysiology	Microscopy	Video	Miscellaneous
2021-04-05	0	0	0	2682879397779
2021-04-12	0	0	0	18584326179
2021-04-19	12345691119521	70588364722	0	4498974165077
2021-04-26	12508111648	0	0	87468218523
2021-05-03	541465989564	10497700661	0	855923678923
2021-05-10	822623265013	10983996347	0	3496257522484
2021-05-17	946728595076	42035738271	0	22482814461
2021-05-24	62727900291	0	0	556180434
2021-05-31	110831375446	0	0	2068658230
2021-06-07	2225851123262	37230204	0	6839207925
2021-06-14	506193593428	0	0	31547506541
2021-06-21	609408356459	226730764	0	74056
2021-06-28	1449349019808	49142073	0	45328510
2021-07-05	432480170014	0	0	2524790884503
2021-07-12	8539059841463	19632434437	0	10397428701731
2021-07-19	823281611876	0	0	4539807468801
2021-07-26	27759404236	54280943310	0	46100517967
2021-08-02	452487030696	44894590333	0	875992468015
2021-08-09	3399362380456	0	0	1794317003400
2021-08-16	1968151421795	13560555133	0	1535653777058
2021-08-23	78889628392	10692174	0	59284014
2021-08-30	364496905710	1220193429	0	66753029113
2021-09-06	367412726383	8390432	0	125631855
2021-09-13	99695475470	9868298858	0	13739850851
2021-09-20	378470100944	1237577383	0	13340398509
2021-09-27	350412285477	1049887	0	59544262346628
2021-10-04	335862048659	636999815502	0	43147772747405
2021-10-11	387261029668	32551073	0	10472001087
2021-10-18	217479202766	0	0	901364696
2021-10-25	451608355707	582001152	0	56777560320
2021-11-01	1781453677235	12932818410	0	173700133365
2021-11-08	2099703861238	2617670491	0	22316286692956
2021-11-15	905333083374	3579129640	0	10040062552301
2021-11-22	787459753965	26379221	0	1395071108133
2021-11-29	266072294550	82704404	0	1436156842351
2021-12-06	316299188042	0	0	281863394191
2021-12-13	138373678539	284157588	0	19311924
2021-12-20	54654509795	0	0	50886936359733
2021-12-27	82970215699	0	0	7061787050710
2022-01-03	344685486483	986902655	0	902460693286
2022-01-10	2184347174615	35637468	0	48746188719
2022-01-17	3576051266131	276824064	0	456573476239
2022-01-24	1895301188829	0	0	356404524075
2022-01-31	594846437373	3583354091	0	394975889606
2022-02-07	457274710767	997199763	0	51626714178
2022-02-14	1154158732956	4330600724	0	86329535836
2022-02-21	7308968077460	15884368143	0	5772706128
2022-02-28	2550624047933	20113473099	0	1538959096
2022-03-07	190257719189	41596465761	0	666234897
2022-03-14	73605823563	192087136	0	93158885849
2022-03-21	121352818111	1602547999484	0	2376778410517
2022-03-28	1751737134365	1977614940915	0	732061614273
2022-04-04	893153946451	16366969011	0	17604722984
2022-04-11	4144489046547	5421259823	0	147531865918
2022-04-18	2818968137381	76575949164	626947159273	1349264652145
2022-04-25	7915455071131	584375270148	3658207689	135767475029
2022-05-02	1027168741797	19305818432	0	177952239850
2022-05-09	1858367292046	5558795233	623251290483	1093953328395
2022-05-16	1973816749433	5536675479	0	11978112184
2022-05-23	1778233679623	2402389596897	0	293518877871
2022-05-30	1285104153749	33059214270	0	15358599625
2022-06-06	246124246284	73581424457	0	145266230308
2022-06-13	1300414675541	26500129084	14479636317	120248571984
2022-06-20	214359909199	10346430129	11513685	575120261
2022-06-27	291468166985	448236288147	0	81236468088
2022-07-04	460895011105	38070409076	0	857199673
2022-07-11	56333856214398	7995113855877	625047226539	218541695532459
2022-07-18	354547395534	77681871317	636199029	34903302710
2022-07-25	4203684217426	241731676955	0	8453540867014
2022-08-01	14773219649877	1772740462202	156141163110	51555846150030
2022-08-08	41780731754625	10130099210588	478616614780	153453256300307
2022-08-15	522106210899	36747052602041	0	146505364462
2022-08-22	55081935394833	18399371713534	558747954372	216510817382304
2022-08-29	19808644564603	541301323539573	192579196557	69927218196192
2022-09-05	684947129537	517933065316343	0	3975662179107
2022-09-12	438777456847	449954757883162	0	1663662782381
2022-09-19	125463056706	106450120010052	0	983549184922
2022-09-26	332801815515	2596133185620	3658207689	176625889114
2022-10-03	6112092526613	9615645625	3658207689	162255421838
2022-10-10	764545449965	8424285155	0	43819554276
2022-10-17	1215109363039	2306449110	0	9958381018
2022-10-24	1586232243824	86633635510	0	170045253314
2022-10-31	15754035829047	882437475	3658207689	21413476845240
2022-11-07	18018972443575	75453822368	0	5958474622830
2022-11-14	3968088552801	20426226283	0	3126988341
2022-11-21	5083237980442	143009262187	2862700447	118911450382
2022-11-28	4399941560460	39560481931	86875225	11424913271
2022-12-05	1976695359835	453233777945	0	291847156057
2022-12-12	585241611389	61435657527554	2862700447	241309733289
2022-12-19	1586489501016	1040561264	0	114758292653
2022-12-26	2172479113591	296679579	0	543512152
2023-01-02	14885931329620	420060172	0	79254245618
2023-01-09	1250546122637	13620842949	0	185047616376
2023-01-16	3127831261357	3449004415	3381434943	65962427940
2023-01-23	4108758929518	14123643195	0	153585970893
2023-01-30	2985036338969	806638415	0	112495621500
2023-02-06	3116144360193	57097040772	61478803001	474680538805
2023-02-13	5668865847849	268470745235	1844341357570	21355489267653
2023-02-20	6505198487733	363085206593	2123602886833	24562366133573
2023-02-27	1449373922679	5189423122322	0	262465875334
2023-03-06	2032965577015	2391471489193	74992312	1715103652029
2023-03-13	1526697523848	2595254609052	15016807348	168361839995
2023-03-20	615432445913	5688225214466	15774512046	260538053276
2023-03-27	1434265739940	3182455560702	0	9481936072
2023-04-03	781477897917	359883197	0	182072417213
2023-04-10	12709639925652	1280020004939	490719167761	34006355726190
2023-04-17	5825984275418	153295582120	50843124	8372833542
2023-04-24	2947572898056	360690444380	5859605086	268932663757
2023-05-01	904738524571	64728164689	0	10996267584
2023-05-08	6305989425585	30468938122967	888901361708	4766509656418
2023-05-15	808211843295	34124531656707	30742691	101449373873
2023-05-22	2196740400843	34253543231051	0	213565199250
2023-05-29	1008779084798	2820733824215	0	137834748
2023-06-05	2381218658449	999540715	153047147	38597751657
2023-06-12	3735295824201	397257194	91646799784	70662852273
2023-06-19	7758526208023	363502102	1258859284	1356605814332
2023-06-26	5507693377260	918043000	2926074918	177148405175
2023-07-03	950746512509	16455287271	912653012	78975751982
2023-07-10	7495314032453	11811608001	7024456585	70229487662
2023-07-17	2231066612087	3478817981	450687262	518485273162
2023-07-24	4020184941860	670126561	224578465	307781483642
2023-07-31	5322826946146	2812830709	16577450403	65220137027
2023-08-07	7427239372019	5027260338	29963240	897617076036
2023-08-14	8721834582539	21275110368	623251290483	814315301760
2023-08-21	2280222712950	4267993872	70028052	84024241076
2023-08-28	2217499828430	7870121	214170081	2617145773921
2023-09-04	23790375048912	3404778904	17032080	1803590276272
2023-09-11	27279944852762	207309491239	477646281	931224097847
2023-09-18	28085960333275	16870513764	0	728221447047
2023-09-25	7890768233519	137346468238	200609925	710816047713
2023-10-02	1319624345003	10481025231	0	1505889872442
2023-10-09	2009490596258	21957107899	97898262625	1289387180846
2023-10-16	8647178222923	363041391070	165268372729	10482831402356
2023-10-23	37171045651101	449611821687	234916660598	13648843927921
2023-10-30	32563992897413	634985623053	979570299762	14675522268310
2023-11-06	8300478859769	142596351854	202902812718	6934705017388
2023-11-13	15539634362169	22925191427	329479972420	2291776870783
2023-11-20	27895367252738	59362801594	473736360659	1640936517068
2023-11-27	60546054229427	4281468199	210257928773	1845210461558
2023-12-04	7320005584641	231974757248	3038733154734	7015099971377
2023-12-11	9940081472889	51597486362	8275260910235	4983973564598
2023-12-18	1427861024327	2135184475	163434296	1582012292610
2023-12-25	1128374045369	53346596	111617960	98884979570
2024-01-01	512863683381	14288543239	681215240	167068299741
2024-01-08	13426660427168	8508335115	128573356	1624426935474
2024-01-15	6862792099988	2109609503	3647174240141	3301808245792
2024-01-22	22044913623866	155479083965	208440877	1878355172599
2024-01-29	15670130666962	278561069668	27802736	2378014357089
2024-02-05	19105205893354	5701751273146	19359994368	1279377123270
2024-02-12	85257312013588	862718677610	340321166606	5394308534713
2024-02-19	18267820706781	1266379220874	7551961838	1191831114716
2024-02-26	21270328333653	880438470433	106864440	2199422138757
2024-03-04	2654171769790	618870522659	2013732648	98664223228
2024-03-11	4156146331667	163561837971	1798960877	1438637101367
2024-03-18	5949600718764	34873921511	192625690	1826704936356
2024-03-25	10621279368094	245539121667	1864914474	1480787305017
2024-04-01	20483176666486	46655560845	138877412782	734716987209
2024-04-08	24311244237096	35158972838	5164417638	297233126282
2024-04-15	33020363441351	55605604418	77430456	336685646054
2024-04-22	15717262880965	42784513561	95057661241	417180673534
2024-04-29	6636799151228	82313044518	1489518086	2954520985740
2024-05-06	8630970336904	410081087548	401516346	713402578022
2024-05-13	4319693425442	60216329022	57855856	2224996782276
2024-05-20	4752284826577	99401377279	268090830115	3813881783469
2024-05-27	23964887975943	54439562129	44899114109	577814004199
2024-06-03	15056061582436	64424302868	431014689	1439262394531
2024-06-10	10727828377039	375039905195	4666711456	2242730634748
2024-06-17	8921385349297	305542997487	839941316	3003413509120
2024-06-24	6920366822829	441128029692	4078420658	67991032145
2024-07-01	5754809619713	122239568328	22062959540	426085619400
2024-07-08	4257312841318	425414303728	71692314941	309138668102
2024-07-15	2307211252479	159110239540	14169658626	216334795021
2024-07-22	2140132444137	515839377917	44040560188	95638993711
2024-07-29	2285076925909	503603387043	18941000310	203308192521
2024-08-05	2742579907403	366401327508	23602514216	106326908815
2024-08-12	1745797796284	479340220296	11974691906	278168432425
2024-08-19	7683234246012	575143092933	1440752944	189938433907
2024-08-26	42518905926174	19874691521893	12684820901443	36996823962829
2024-09-02	148055255192854	4863093226466	7425685655944	134186127700693
2024-09-09	217251711851997	81662333868805	7868483298254	194002140213566
2024-09-16	6377025029813	141489464357603	6327980105	1237397521337
2024-09-23	10561559161541	139651647941775	12124348322	1239720135062
2024-09-30	7111435218280	43278082297746	3609253560	2172713952024
2024-10-07	7041877307341	246185632456	31127377851	111904363337
2024-10-14	7347400507549	877604243138	97182941858	327298563428
2024-10-21	25125909081318	1104787701340	34512300267	1478016747998
2024-10-28	13792377130992	767963843091	3691143258	947525133255
2024-11-04	4489534917403	1123572581828	15654569350	584995441317
2024-11-11	4876050928572	930458963940	627767774775	1613132780447
