week_start	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-FC_image+ophys.nwb	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-FC_image+ophys/170838a7-3dd9-403d-be96-39786e5dc4b3_external_file_0.wmv	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-NeutralExposure_image+ophys.nwb	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-NeutralExposure_image+ophys/2930ccda-bf86-4d71-96ad-935848d644b4_external_file_0.wmv	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-OfflineDay2Session1_ophys.nwb	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-Recall1_image+ophys.nwb	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-Recall1_image+ophys/d6404e63-f748-473a-97a4-88ae3755878b_external_file_0.wmv	sub-Ca-EEG2-1/sub-Ca-EEG2-1_ses-Week.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-FC_image+ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-FC_image+ophys/b0826a1c-4b6e-46f2-9ba3-64023e60ea01_external_file_0.wmv	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-NeutralExposure_image+ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-NeutralExposure_image+ophys/4de417b9-0619-4bff-a334-bfb87e9aef67_external_file_0.wmv	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-OfflineDay1Session1_ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-OfflineDay2Session1_ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall1_image+ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall1_image+ophys/39f90d26-08ac-406c-8a0b-5a0b04443981_external_file_0.wmv	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall2_image+ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall2_image+ophys/270c62a9-65ea-464b-beb3-80cb19793880_external_file_0.wmv	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall3_image+ophys.nwb	sub-Ca-EEG3-4/sub-Ca-EEG3-4_ses-Recall3_image+ophys/d4343ed6-6389-4dd8-a0f7-297036cca322_external_file_0.wmv
2024-12-09	1384008920	2296753	3276863030	19101145	2365845904	1626033717	15856520	3769067242	2015830372	22476801	3921516326	35813601	3270084105	3249063819	1831275996	10448081	935389924	19883373	1871737079	20014389
2025-01-20	26059394	0	0	0	0	0	23389746	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-01-27	206864364	0	11204192	0	74796889	28877170	0	8920564	5737930	0	16910226	0	14256801	14801919	0	0	10984836	0	14803522	0
2025-02-10	0	0	0	0	13887696	0	0	27292642	0	0	0	0	11398392	12184488	0	0	0	0	0	0
2025-02-17	0	0	3211054	0	4520052	7625753	0	4460282	7323509	0	4061496	0	4716576	16043682	0	0	4937592	0	0	0
2025-02-24	4061496	0	0	0	4127004	7271388	0	0	14786730	10685361	8843580	0	4679325367	0	6157752	0	9629676	0	0	0
2025-03-03	0	0	0	0	0	0	0	165960	0	0	0	0	0	0	0	0	0	0	0	0
2025-03-10	7394479	0	4458598	0	231029	0	0	0	0	0	0	0	0	395971	0	0	4127004	0	370707	0
2025-03-17	0	0	9891708	0	10022724	0	0	0	0	0	10350264	0	9891708	0	0	0	0	0	0	0
2025-05-26	2155937438	0	0	0	0	2309841661	0	3666480890	2130167525	0	4715546595	0	4633762345	0	2296976548	0	2317200316	0	2337241107	0
2025-06-02	2155937438	0	0	23362749	0	2309841661	11694873	3666480890	2130167525	10685361	4715546595	0	0	4620479171	2296976548	11696317	0	0	0	11694873
2025-06-23	169759	0	214428	0	210497	264432	0	0	235040	0	468946	0	252684	292600	185774	0	135728	0	149879	0
2025-07-14	223276	0	347334	0	437961	250443	0	0	202507	0	430874	0	349267	292600	242846	0	196472	0	194982	0
2025-07-28	1625292800	0	0	0	2435292241	0	0	2213868870	0	0	20971520	0	2813624661	0	0	11696317	0	0	0	0
2025-08-04	0	0	0	23362749	0	52732523	0	0	0	0	0	0	0	3362187971	0	0	0	0	1572864000	11694873
2025-08-11	0	0	2828992302	0	0	1208836861	0	6326294	1448593125	0	2932967395	0	4127004	0	1510544548	0	0	0	0	0
2025-08-18	0	10685361	0	0	0	0	11694873	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	1625292800	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1478339516	0	0	0
2025-09-22	1134238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	2155937438	1331200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	35759964	0	0	0	0	0	0	0	25736231	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	41217730	0	0	0	0	0	0	0	27951741	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	21995836	0	0	0	0	0	6832881	0	6670054	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	14977028	0	0	0	0	0	0	0	13340108	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	59859504	0	0	0	0	0	0	0	42190501	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	32239432	0	0	0	0	0	0	0	40109356	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	31411932	0	0	0	0	0	0	0	28919250	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	29733228	0	0	0	0	0	0	0	27516709	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	26940688	0	0	0	0	0	0	0	35836225	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	21438016	0	0	0	0	0	0	0	15251602	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	2179995774	32897890	4682735590	17621652	4674074229	860808220	13494648	10808820	2155325946	14746857	4725700335	23367081	4642278385	4635349487	11005344	22832677	10153740	22180633	6616308	28008605
2025-12-22	1563491998	0	0	0	3305682549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-29	0	0	0	18119869	0	0	0	0	0	0	0	0	0	2334583491	0	0	0	0	0	0
2026-01-05	25696036	0	0	0	0	0	0	0	42375263	10685361	0	0	0	0	0	0	0	0	0	0
2026-01-12	808225556	21370722	3533701120	0	9419224845	4609197562	0	0	0	0	0	18124201	0	0	0	0	0	11694873	0	1209113
2026-01-19	20086652	0	0	59602487	0	0	6451993	0	8569786	0	3310454755	0	0	0	0	0	0	0	0	0
2026-01-26	25958068	0	0	0	0	0	0	0	1276110485	0	0	0	2831155200	0	1405091840	11696317	0	0	1503623187	0
2026-02-02	12921976	0	0	0	0	0	0	2151288570	16457619	0	0	0	0	0	0	0	1331538876	0	0	0
2026-02-09	15304568	0	0	0	0	0	0	0	3814575	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	16573786	65536	8385024	98304	14502096	12528580	163840	19153164	20124022	32768	8933916	32768	9725438	0	8692224	0	10939836	0	0	0
2026-02-23	26601084	0	10784958	0	512000	10532009	0	4536604	18007728	0	12958520	0	8817677	7447407	4639004	0	4331804	0	896079960	0
2026-03-02	0	32768	0	0	2586229	0	65536	4323528	0	0	1562595	0	0	0	1066148	0	0	0	0	0
2026-03-09	16847696	0	0	9695184	0	0	6485292	0	0	0	0	0	0	0	0	7336896	0	0	0	7598928
2026-03-16	316053627	0	14215236	0	10874328	48744284	18342240	0	6735562	13691172	61933289	11332884	45625860	55584080	60159925	7598928	40666026	22896741	0	12249996
2026-03-23	0	0	0	0	0	204800	0	204800	1271525	10685361	0	0	0	0	0	0	0	0	0	0
2026-03-30	0	0	4664000302	0	4674074229	0	0	0	0	10685361	0	0	4633762345	9240958342	0	0	0	0	2337241107	0
2026-04-06	4325845332	0	5933312	0	4681417713	11317032	0	3668635078	2130888113	0	4719673599	0	1837028892	4620479171	921600	0	9855516	0	2337961695	0
2026-04-13	0	0	0	0	0	4127004	0	0	0	0	0	0	0	0	0	11696317	0	0	0	0
2026-04-20	0	0	0	0	0	0	0	0	4127004	0	0	0	0	10022724	0	0	0	0	0	0
