week_start	sub-C/sub-C_ses-20220121T133754_ecephys.nwb	sub-C/sub-C_ses-20220218T140109_ecephys.nwb
2024-12-30	18520489804	15272278167
2025-01-06	84337468	19153122
2025-01-13	33881710	0
2025-01-20	168027646	0
2025-01-27	57015010	7043195
2025-02-03	17359620	0
2025-02-17	3782373602	4323528
2025-02-24	153164416	0
2025-03-03	166775204	0
2025-03-10	6775408196	0
2025-03-17	11725932	13822188
2025-05-12	20971520	10485760
2025-07-14	481660176	0
2025-07-21	0	11457720412
2025-07-28	0	8021606400
2025-08-04	29243153154	29803298127
2025-09-08	20826613246	0
2025-10-06	20759798	0
2025-12-15	10219248	17487654983
2025-12-22	29215221246	0
2026-01-12	0	677377408
2026-01-19	3328490740	0
2026-02-02	14781572606	29788831611
2026-02-16	5871592	614400
2026-03-02	4861666	671611
2026-03-16	29215221246	29800688559
2026-03-23	0	917112
2026-03-30	59808804	0
