week_start	sub-VR31/sub-VR31_ecephys.nwb	sub-VR32/sub-VR32_ecephys.nwb	sub-VR33/sub-VR33_ecephys.nwb	sub-VR34/sub-VR34_ecephys.nwb	sub-VR35/sub-VR35_ecephys.nwb	sub-VR36/sub-VR36_ecephys.nwb
2023-11-13	331049714507	342153853722	321161747543	436760755974	245915614409	368662544384
2023-11-20	0	195543675	0	0	0	0
2023-11-27	0	1422472	0	0	0	0
2023-12-04	0	44030967	0	0	0	0
2023-12-11	39374311	44038591	42951847	36700160	40601277	46566315
2024-01-22	27865629	29613116	49054047	43213252	46354570	39577585
2024-03-04	0	77082926	0	231963828	0	0
2024-03-11	2161764	15591604	7336896	736302344	7926468	0
2024-03-18	24109044	26813812	22071478	242689696	14733372	17288313
2024-03-25	25304040	13623276	9952498	297358852	7777593	15237662
2024-04-01	1228800	11288416	0	193460792	7336896	10763215
2024-04-08	0	0	0	376124840	0	0
2024-04-15	3995988	0	6354276	554440240	5633688	6550800
2024-04-22	0	0	0	515608792	0	0
2024-04-29	0	0	0	626895152	0	0
2024-05-06	0	0	0	720734968	0	0
2024-05-13	0	0	0	405641868	0	0
2024-05-20	0	0	0	503302008	0	0
2024-05-27	0	0	0	718901216	0	0
2024-06-03	0	0	0	679887920	0	0
2024-06-10	0	0	0	224141296	0	0
2024-07-08	2025759079	0	8843580	0	16088013	13142955
2024-07-22	10088232	11725932	11856948	13167108	0	0
2024-08-26	9564168	28631476	8843580	10219248	0	17032080
2024-09-09	433205007826	483320206777	435918190419	589792829222	407797637977	522729555347
2024-09-16	23643823	17889396	12149927	22282240	6354276	0
2024-09-23	28888551	0	0	0	19629757	0
2024-10-21	0	22812823	0	0	0	0
2024-10-28	4127004	6288768	0	0	7926468	8254008
2024-11-18	0	0	7729944	0	0	0
2024-12-16	0	0	0	0	398179665597	0
2025-02-03	23189832	11201868	51554796	61446504	16245984	0
2025-03-10	4061496	0	512000	0	0	0
2025-04-21	238000196172	257698496316	291975375228	0	48258937652	249089797764
2025-05-12	31457280	41943040	62914560	30273656	41943040	31457280
2025-06-23	2370897	4574100	3555099	3434520	3646124	4813341
2025-07-14	3650472	4623901	4030959	4689175	4399219	4585636
2025-07-28	492983971407	364256640088	370064533256	17032080	398223293925	20971520
2025-08-04	458080559928	1066033906840	357397318832	0	0	0
2025-08-11	0	0	488126269664	642281961694	0	379217510400
2025-09-01	0	0	298310395047	0	0	0
2025-09-08	333552025600	0	0	0	241941841597	0
2025-09-29	0	4192512	0	0	0	0
2025-10-06	0	18539604	0	0	0	0
2025-12-01	0	0	0	0	29740632	0
2025-12-15	25024056	7140372	9891708	8319516	0	0
2025-12-22	492188519911	510590195863	0	0	398179665597	0
2025-12-29	0	510590195863	467655419047	0	0	555860003755
2026-01-05	178137767	0	0	0	0	0
2026-01-12	0	0	0	0	9683005756	0
2026-01-19	0	337773592576	0	411351072770	0	0
2026-01-26	256025559040	0	0	0	0	340692208555
2026-02-02	0	0	305099924647	0	237281969853	0
2026-02-16	15837084	4806912	10879895	4872420	4127004	5427314
2026-02-23	5515436	614400	5411406	8254008	9944926	0
2026-03-02	4258020	232615435	4127004	0	0	0
2026-03-16	5568180	0	0	0	0	0
2026-03-23	0	2947860	0	0	0	409600
