week_start	sub-11-YAaLR/sub-11-YAaLR_ophys.nwb	sub-20-YAaLR/sub-20-YAaLR_ophys.nwb	sub-38-YAaDV/sub-38-YAaDV_ophys.nwb	sub-55-YAaDV/sub-55-YAaDV_ophys.nwb	sub-56-YAaDV/sub-56-YAaDV_ophys.nwb	sub-62-YAaLR/sub-62-YAaLR_ophys.nwb	sub-64-YAaDV/sub-64-YAaDV_ophys.nwb	sub-7-YAaLR/sub-7-YAaLR_ophys.nwb	sub-70-YAaLR/sub-70-YAaLR_ophys.nwb	sub-76-YAaDV/sub-76-YAaDV_ophys.nwb
2024-04-08	339945116	202562098	189909620	185749934	191316882	938257868	213037583	196754958	191952625	190173391
2024-04-15	160641456	12551836	14058392	18287508	20617524	1163179876	9848794	15785856	7700162	8332120
2024-04-22	451283934	569691773	298607958	355419879	348062483	1560783002	266873511	288401353	237441116	303021119
2024-04-29	139993284	119868148	93587000	0	77073624	1675788502	84373218	74056092	77639362	70951868
2024-05-06	61711488	41326472	36922560	31318848	198821116	1249538340	43439582	18240048	33148094	29171940
2024-05-13	140911872	28720720	100191332	89403388	115131184	1081334130	109493652	85943436	93416938	98284364
2024-05-20	0	0	81468020	77215888	77073624	972495934	72843810	67636308	0	0
2024-05-27	0	0	0	0	0	1395412970	0	17425128	0	0
2024-06-03	0	0	0	0	0	784096668	0	0	0	0
2024-06-10	0	0	81468020	77215888	0	315730524	0	0	7860960	0
2024-06-17	159776700	119868148	162936040	77215888	173537616	0	72843810	0	71117178	141903736
2024-07-01	13363632	0	0	0	0	0	0	0	0	0
2024-07-08	133524724	109364524	4992544	244567388	15659868	90212984	492066	68032680	9640490	4061496
2024-07-22	10088232	0	11070852	0	13036092	10022724	11070852	12118980	12512028	5437164
2024-08-19	120864948	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	8916184	0	0	13625664	0	0
2024-09-02	0	0	0	94304516	0	0	0	0	0	0
2024-09-09	0	70504784	0	0	56102104	117783030	41943040	4721748	0	87712956
2024-09-16	13249348	7339896	4651068	4469192	6947304	6354276	6943848	7012680	6823646	6854916
2024-09-23	254962512	359604444	252789084	158951828	184787968	238444698	152303928	80803416	84452194	219144372
2024-09-30	120864948	246942176	88280852	84028720	160698048	80136646	82801026	6747324	149411620	152516032
2024-10-07	6354276	119868148	81468020	156593540	154147248	0	84897282	6812832	75739630	75406412
2024-10-14	120864948	0	0	0	0	0	0	0	0	0
2024-10-21	362594844	239736296	244404060	231647664	77073624	152019284	145687620	202908924	142234356	141903736
2024-10-28	491189736	127729108	81468020	154431776	77073624	235889886	153745104	278799240	221736558	223009344
2024-11-04	241729896	239736296	162936040	154431776	166266228	76009642	145687620	0	142234356	141903736
2024-11-11	4061496	144499156	86446628	0	77073624	76009642	72843810	0	0	0
2024-11-18	0	0	0	0	0	76009642	0	0	0	0
2024-11-25	0	119868148	81468020	77215888	154147248	76009642	0	0	71117178	141903736
2024-12-02	315520576	599340740	81468020	77215888	0	76009642	72843810	135272616	113060218	0
2024-12-09	120864948	239736296	0	77215888	154147248	0	72843810	67636308	142234356	70951868
2025-01-20	120864948	0	81468020	77215888	77073624	76009642	72843810	67636308	71117178	70951868
2025-01-27	120864948	119868148	81468020	77215888	77073624	76009642	0	0	0	70951868
2025-02-03	129561504	125057388	85857056	154431776	81707668	76448084	72843810	72188328	77930010	75739172
2025-02-10	246364956	248881716	4494224	81955304	162728796	85377286	77614348	8875548	79371186	150687028
2025-02-17	362594844	119868148	0	77215888	77073624	0	72843810	67636308	71117178	0
2025-02-24	0	0	0	0	0	0	0	0	8450532	0
2025-03-10	120864948	0	81468020	0	77449648	76009642	73086020	0	71117178	70951868
2025-03-17	16509492	18134124	9486684	16052472	291883836	11292656	9475568	13296552	10038866	9050544
2025-06-09	0	0	0	0	106115324	0	0	0	0	0
2025-06-16	120864948	0	0	0	0	0	0	0	0	0
2025-06-23	57978184	0	0	0	0	0	0	0	0	0
2025-06-30	0	119868148	81468020	77215888	0	0	0	67636308	142234356	70951868
2025-07-28	0	0	0	0	77073624	52428800	0	0	0	0
2025-08-04	0	104857600	0	77215888	0	0	0	0	0	0
2025-08-11	68436148	0	81468020	0	0	0	0	0	0	0
2025-08-18	0	0	0	0	0	0	0	67636308	0	0
2025-08-25	0	119868148	0	0	52428800	0	0	0	8254008	0
2025-09-08	0	0	0	0	0	0	0	0	0	70951868
2025-09-15	134687136	0	81468020	77215888	77073624	0	72843810	0	0	70951868
2025-09-22	0	0	0	0	154147248	0	0	0	0	0
2025-09-29	0	0	0	0	376024	0	0	0	0	0
2025-10-06	0	0	0	0	6816288	0	0	0	0	0
2025-10-13	120864948	119868148	81468020	77215888	77073624	76009642	72843810	0	71117178	70951868
2025-10-20	120864948	0	0	0	0	0	0	0	0	0
2025-11-24	120864948	0	0	0	0	0	0	0	0	0
2025-12-15	247953156	130021888	94897160	154431776	162597780	101557762	155710344	74187108	201537016	167451856
2025-12-29	0	0	0	0	0	65523882	0	0	0	0
2026-01-05	0	0	70982260	57671680	0	0	0	0	0	0
2026-01-12	252215656	0	0	108673168	0	141533524	0	135272616	152720116	0
2026-01-19	120864948	239736296	162936040	77215888	0	152019284	72843810	114301096	142234356	70951868
2026-01-26	0	0	0	0	47185920	0	36143650	0	0	0
2026-02-02	89128960	77925108	0	0	0	0	0	0	0	55223228
