week_start	sub-000/sub-000_ophys.nwb	sub-000/sub-000_ses-20230311T080000_ophys.nwb	sub-001/sub-001_ophys.nwb	sub-001/sub-001_ses-20230311T120000_ophys.nwb	sub-0010/sub-0010_ses-20230311T120000_ophys.nwb	sub-0011/sub-0011_ses-20230226T130000_ophys.nwb	sub-002/sub-002_ses-20230226T130000_ophys.nwb	sub-003/sub-003_ses-20230311T120000_ophys.nwb	sub-004/sub-004_ses-20230306T110000_ophys.nwb	sub-005/sub-005_ses-20230311T120000_ophys.nwb	sub-006/sub-006_ses-20230306T110000_ophys.nwb	sub-007/sub-007_ses-20230311T120000_ophys.nwb	sub-008/sub-008_ses-20230311T080000_ophys.nwb	sub-009/sub-009_ses-20230311T120000_ophys.nwb
2023-03-13	0	0	0	1843106	0	1678691	2093402	0	0	0	0	0	0	0
2023-03-20	1339544	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	0	0	0	0	0	1678691	0	0	0	0	0	0	0	0
2023-04-10	0	0	1811597	0	0	0	0	0	1972721	0	1723295	0	0	0
2023-05-22	427080	0	0	0	0	0	0	0	0	0	1723295	0	0	0
2023-05-29	661440	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	501360	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	470592	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	1677296	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	3677348	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	1248844	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	679992	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	297744	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	543864	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	511776	0	0	0	0	0	0	1333091	0	1325354	0	0	0	0
2023-08-07	391512	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	729120	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	541560	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	778584	0	0	0	0	1678691	0	2666182	0	0	0	0	0	0
2023-09-04	534600	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	337752	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-18	302208	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-25	429384	0	0	0	0	0	0	1333091	0	1325354	0	0	0	0
2023-10-02	183264	0	0	0	0	1678691	0	0	0	0	0	0	0	0
2023-10-09	49296	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-16	241512	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-23	190056	0	0	0	0	0	0	2666182	0	1325354	0	0	0	0
2023-10-30	0	0	0	0	0	0	0	1333091	0	0	0	0	0	0
2023-11-13	58392	0	0	0	0	0	0	1333091	0	0	0	0	0	0
2023-11-20	1798212	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	147720	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-12-04	815164	3075316	3623194	1843106	1822535	3357382	4186804	2666182	3945442	2650708	3446590	4105780	3679984	0
2023-12-11	0	0	0	0	0	0	0	0	0	1325354	0	0	0	0
2024-01-01	0	0	0	0	0	0	0	1333091	0	1325354	0	0	0	0
2024-01-22	2064688	4921832	2189594	1843106	777870	2721164	6632808	4926546	6586805	602708	3446590	2052890	3983976	3997608
2024-02-12	0	0	0	0	0	0	0	0	0	1325354	1723295	0	0	0
2024-03-04	1339544	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-11	362572	0	2200909	2041976	587805	0	198870	0	2505912	500224	392095	2364980	502862	2197674
2024-03-18	669772	4921832	2567591	3993318	2211470	3704873	2093402	1951273	334321	1626708	5561980	6782850	2447976	3997608
2024-03-25	3711432	3075316	5135182	4300424	4422940	8740946	6632808	1642182	10197926	3554770	1723295	14682320	4287968	10991418
2024-04-01	669772	0	9435982	13208848	9112675	0	2446004	618182	3945442	301354	1723295	0	1839992	1665002
2024-04-08	2679088	7688290	0	20274166	0	0	10467010	5332364	0	6626770	0	0	0	0
2024-04-15	5050976	308858	2567591	1843106	388935	10419637	352602	6665455	7890884	7952124	9008570	14370230	5622376	231402
2024-04-22	3348860	4612974	5434791	0	7290140	1678691	20934020	0	3945442	0	8616475	0	0	0
2024-04-29	0	0	0	0	7290140	15108219	0	7998546	0	2650708	0	18607026	0	0
2024-05-06	669772	0	0	0	0	13429528	8373608	2666182	3945442	0	5169885	0	3679984	14985018
2024-05-13	0	13838922	7246388	16587954	0	0	0	0	17754489	0	0	0	0	4995006
2024-05-20	3348860	0	0	7372424	10935210	5036073	8373608	0	0	0	0	12317340	0	0
2024-05-27	0	0	10869582	12901742	0	0	0	0	9863605	7952124	0	0	14719936	13320016
2024-06-03	669772	9225948	16304373	0	0	5036073	0	5332364	0	0	8616475	14370230	0	0
2024-06-10	3348860	0	0	0	0	0	0	0	0	0	0	0	5519976	0
2024-07-08	407628	0	1811597	1843106	1822535	2046662	2482868	415587	0	1325354	412575	0	398200	0
2024-07-15	1339544	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-22	0	0	0	0	0	0	0	0	0	0	0	0	0	1665002
2024-07-29	0	1537658	1811597	1843106	0	0	0	1333091	0	1325354	0	4105780	1839992	0
2024-08-19	0	0	0	0	1822535	0	0	0	0	0	0	0	0	0
2024-08-26	1339544	1537658	3623194	1843106	1822535	3357382	0	2666182	1972721	0	3446590	0	3679984	1665002
2024-09-02	669772	0	7246388	0	0	0	0	0	0	0	0	0	0	0
2024-09-09	2009316	4612974	0	0	1822535	16786910	6280206	0	0	0	0	6158670	5519976	0
2024-09-16	407628	0	369805	0	1822535	1678691	2482868	1333091	2372578	0	1723295	2401844	0	2019284
2024-10-14	669772	1537658	0	0	0	0	0	0	0	0	0	0	0	0
2024-10-21	0	1537658	0	0	1822535	1678691	2093402	0	1972721	1325354	0	2052890	0	0
2024-11-18	1208472	1537658	3623194	3686212	0	3226310	0	1333091	1972721	3976062	1723295	5634382	5257832	3198932
2024-12-02	0	3075316	1811597	0	0	0	0	0	0	0	1723295	0	0	0
2025-03-10	0	0	0	0	0	0	0	0	0	0	0	209690	0	0
2025-03-31	2375984	1846516	0	1843106	0	1678691	0	1333091	2307042	0	0	2052890	0	1665002
2025-07-21	0	0	1811597	0	0	0	0	0	0	0	1723295	0	0	0
2025-07-28	0	0	0	0	0	0	0	1333091	0	0	0	0	0	0
2025-08-04	1339544	0	0	0	0	0	0	0	0	0	0	0	1839992	0
2025-08-11	0	1537658	0	0	0	0	0	0	1972721	1325354	0	0	0	0
2025-08-18	0	0	0	1843106	0	0	0	0	0	0	0	0	0	0
2025-08-25	0	0	0	0	1822535	0	0	0	0	0	0	0	0	0
2025-09-08	0	0	0	0	0	0	0	0	0	0	0	2052890	0	0
2025-10-06	1339544	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	1339544	3075316	7246388	1843106	3645070	6714764	6280206	3999273	3945442	2650708	3446590	4105780	7359968	1665002
2025-12-22	0	0	0	0	0	0	0	0	1972721	0	0	0	0	0
2026-01-12	2009316	3075316	5434791	0	0	0	0	1333091	1972721	0	3446590	0	0	3330004
2026-01-26	0	0	0	1843106	0	0	2093402	0	0	0	0	0	0	0
2026-02-16	1599716	3075316	3898791	0	0	490182	0	1642182	231921	602708	392095	4729960	2143984	0
2026-02-23	0	0	0	307106	0	0	0	1333091	0	1325354	1723295	0	0	0
2026-03-02	0	0	0	0	388935	347491	2093402	0	0	0	0	2052890	1839992	0
2026-03-09	0	0	1811597	0	0	0	0	0	0	0	0	0	0	0
2026-03-16	669772	1537658	0	0	0	0	0	2666182	1972721	0	0	0	0	0
2026-03-23	260172	0	0	0	0	0	0	0	0	1325354	0	0	0	0
