week_start	sub-1/sub-1_ses-2_ecephys+image.nwb	sub-10/sub-10_ses-1_ecephys+image.nwb	sub-11/sub-11_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-1_ecephys+image.nwb	sub-12/sub-12_ses-2_ecephys+image.nwb	sub-13/sub-13_ses-1_ecephys+image.nwb	sub-14/sub-14_ses-1_ecephys+image.nwb	sub-15/sub-15_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-1_ecephys+image.nwb	sub-16/sub-16_ses-2_ecephys+image.nwb	sub-17/sub-17_ses-1_ecephys+image.nwb	sub-18/sub-18_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-1_ecephys+image.nwb	sub-19/sub-19_ses-2_ecephys+image.nwb	sub-2/sub-2_ses-1_ecephys+image.nwb	sub-2/sub-2_ses-2_ecephys+image.nwb	sub-20/sub-20_ses-1_ecephys+image.nwb	sub-21/sub-21_ses-1_ecephys+image.nwb	sub-22/sub-22_ses-1_ecephys+image.nwb	sub-23/sub-23_ses-1_ecephys+image.nwb	sub-24/sub-24_ses-2_ecephys+image.nwb	sub-24/sub-24_ses-3_ecephys+image.nwb	sub-25/sub-25_ses-1_ecephys+image.nwb	sub-26/sub-26_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-1_ecephys+image.nwb	sub-27/sub-27_ses-2_ecephys+image.nwb	sub-28/sub-28_ses-1_ecephys+image.nwb	sub-29/sub-29_ses-1_ecephys+image.nwb	sub-3/sub-3_ses-2_ecephys+image.nwb	sub-30/sub-30_ses-1_ecephys+image.nwb	sub-31/sub-31_ses-1_ecephys+image.nwb	sub-32/sub-32_ses-2_ecephys+image.nwb	sub-33/sub-33_ses-1_ecephys+image.nwb	sub-34/sub-34_ses-1_ecephys+image.nwb	sub-35/sub-35_ses-1_ecephys+image.nwb	sub-36/sub-36_ses-1_ecephys+image.nwb	sub-37/sub-37_ses-1_ecephys+image.nwb	sub-38/sub-38_ses-1_ecephys+image.nwb	sub-39/sub-39_ses-1_ecephys+image.nwb	sub-4/sub-4_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-1_ecephys+image.nwb	sub-5/sub-5_ses-2_ecephys+image.nwb	sub-6/sub-6_ses-1_ecephys+image.nwb	sub-7/sub-7_ses-1_ecephys+image.nwb	sub-8/sub-8_ses-1_ecephys+image.nwb	sub-9/sub-9_ses-1_ecephys+image.nwb
2024-09-02	2017921859	3823133148	1509837472	2190791134	840802493	1267602208	2580358424	1347041773	1690278515	668086032	2105357604	3228986032	6249004508	3316096204	3042259089	3651335263	7183067068	2411538060	2321605576	823273721	1707329444	2133428816	1095222773	1884781115	2715286482	2187870043	2802101560	2916804471	2509273828	3366562144	1405216884	2230389988	2035461952	2622819878	959585036	1994563106	2099740414	754018742	1309678872	2655651912	3044231272	1434623240	5855073676	1124605621	3903142120	1691335949
2024-09-09	163758252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646103212	0	0	146800640	0	0	0	0	0	194598355	245361717	233107415	0	0	0	0	0	0	130718484	0	0	0	0	146800640	0	0	0	0	0	0
2024-09-16	19134496	557495908	360609008	369896985	13762560	240521856	27970676	4389036	27152919	220856644	23740597	607148612	6878340	614014812	0	367714348	251162892	45900672	9764112	18753785	13107200	0	34075976	0	16674170	20575112	17496236	10497611	6747324	7767129	4913100	13107200	10602464	15885122	4716576	17234204	18001594	6419784	19658000	19723508	6878340	6812832	7827460	5502672	8038173	7858607
2024-09-23	0	0	0	0	0	0	0	172511595	182866455	0	157286400	0	183068084	0	58604657	183378665	186494288	179269148	155516176	142223609	181178416	183316810	178257920	148602825	182873466	182818115	182447157	179973707	178527929	180520025	152043520	0	0	0	0	0	0	0	0	0	31919462	0	0	0	0	178776495
2024-09-30	437534103	557495908	457328	0	195230083	228460864	474862648	209211755	0	189664196	0	597143280	0	614014812	567164017	0	0	0	0	0	301764656	0	0	0	496312918	296892183	0	413193287	148957028	229803097	36881004	256295531	361351136	377793396	176675432	305628238	244562262	0	414763778	266900100	0	257869024	93181048	0	519350045	0
2024-10-07	0	15828972	17877484	0	196581344	0	0	0	0	95997892	0	0	0	0	0	0	0	0	0	97766608	102221152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102024628	0
2024-10-14	1771408097	2229983632	682787904	1109690955	780920332	913843456	949725296	627635265	696668695	189664196	620711241	0	0	1842044436	567164017	0	1261284688	630156828	719976992	1133793778	603529312	801608670	1248445941	279674825	952949492	564865670	0	0	2140175076	728041650	1188688404	256295531	1084053408	1217844860	176675432	611256476	733686786	175025854	1514675480	710050322	965614284	515738048	685338628	949542747	519350045	1527233805
2024-10-21	438056172	0	0	369896985	0	0	0	0	0	0	620711241	597143280	0	0	0	0	0	0	0	566896889	301764656	0	0	0	476474746	0	748678197	510275147	535043769	0	297172101	0	0	0	176675432	305628238	0	0	0	0	482807142	257869024	0	316514249	0	0
2024-10-28	180632983	190096780	178864672	181153305	145419363	181274944	181261368	189613663	153416948	189463192	19914432	0	183068084	80671708	179190897	191239625	196517012	179269148	155516176	142223609	191135632	189474562	185987864	155808705	36700160	10022724	10088232	7860960	10088232	0	0	0	83478496	147548990	2161764	0	6223260	85896894	0	182010121	178720102	179225824	182022148	188060329	178562845	178776495
2024-11-04	437534103	557495908	341393952	369896985	195230083	228460864	474862648	209211755	696668695	189664196	620711241	597143280	1048143284	614014812	567164017	587080425	1261284688	630156828	359988496	566896889	301764656	267202890	416148647	279674825	476474746	282432835	748678197	510275147	535043769	364020825	297172101	256295531	361351136	608922430	176675432	305628238	244562262	175025854	378668870	355025161	482807142	257869024	685338628	316514249	519350045	509077935
