week_start	sub-MonkeyX-held-in-calib/sub-MonkeyX-held-in-calib_ses-20121206_behavior+ecephys.nwb	sub-MonkeyX-held-in-calib/sub-MonkeyX-held-in-calib_ses-20121207_behavior+ecephys.nwb	sub-MonkeyX-held-in-calib/sub-MonkeyX-held-in-calib_ses-20121210_behavior+ecephys.nwb	sub-MonkeyX-held-in-calib/sub-MonkeyX-held-in-calib_ses-20121212_behavior+ecephys.nwb	sub-MonkeyX-held-in-minival/sub-MonkeyX-held-in-minival_ses-20121206_behavior+ecephys.nwb	sub-MonkeyX-held-in-minival/sub-MonkeyX-held-in-minival_ses-20121207_behavior+ecephys.nwb	sub-MonkeyX-held-in-minival/sub-MonkeyX-held-in-minival_ses-20121210_behavior+ecephys.nwb	sub-MonkeyX-held-in-minival/sub-MonkeyX-held-in-minival_ses-20121212_behavior+ecephys.nwb	sub-MonkeyX-held-out-calib/sub-MonkeyX-held-out-calib_ses-20121213_behavior+ecephys.nwb	sub-MonkeyX-held-out-calib/sub-MonkeyX-held-out-calib_ses-20121214_behavior+ecephys.nwb	sub-MonkeyX-held-out-calib/sub-MonkeyX-held-out-calib_ses-20121218_behavior+ecephys.nwb	sub-MonkeyX-held-out-calib/sub-MonkeyX-held-out-calib_ses-20121219_behavior+ecephys.nwb
2024-10-14	25798386	26317244	48221612	35350614	480958	945614	0	0	1457914	4877376	2287906	1215936
2024-10-21	2161764	20110956	131016	14346252	1442874	945614	0	530957	1588986	0	2287906	0
2024-10-28	45970482	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	0	0	55430880	0	480958	0	451074	530957	1588986	3370972	1143953	1215936
2024-11-11	58444754	0	0	0	480958	472807	0	0	0	0	0	0
2024-11-18	14001906	34745988	34969224	40294204	0	945614	902148	1592871	4766958	5532736	0	1215936
2024-12-09	118705636	52469272	55430880	0	961916	945614	0	0	0	6741944	1143953	1215936
2024-12-30	59352818	64719268	63553872	69361250	480958	945614	0	0	0	6741944	0	1215936
2025-01-20	0	52469272	0	0	480958	0	0	0	0	3370972	1143953	0
2025-02-10	0	0	0	57045746	961916	472807	0	0	0	3370972	0	1215936
2025-04-07	59352818	52469272	55430880	0	480958	0	451074	530957	0	3370972	1143953	1215936
2025-05-05	196267108	167891732	165298908	273329718	1923832	3782456	1353222	1592871	4766958	13483888	3431859	1215936
2025-05-26	0	0	55430880	57045746	480958	472807	451074	1061914	1588986	3370972	1143953	2431872
2025-06-09	59352818	52469272	55430880	57045746	480958	472807	451074	530957	1588986	3370972	1143953	1215936
2025-06-16	59352818	52469272	55430880	57045746	480958	472807	451074	530957	1588986	3370972	1143953	1215936
2025-06-23	34645248	33940944	37328800	41060864	0	0	0	0	762000	1937952	616424	593920
2025-06-30	59352818	52469272	0	0	480958	0	0	0	0	0	0	0
2025-07-14	44750112	27655584	48913600	42385408	0	0	0	0	640080	2368608	573912	491520
2025-07-21	0	0	0	0	480958	0	451074	530957	1588986	0	0	0
2025-07-28	0	52469272	0	57045746	0	0	0	0	0	0	0	0
2025-08-04	59352818	52469272	55430880	57045746	3366706	0	0	0	0	3370972	0	1215936
2025-08-11	59352818	0	55430880	0	0	0	0	0	0	0	0	0
2025-08-18	3073536	0	0	0	1442874	0	0	0	0	3370972	0	0
2025-08-25	0	0	0	0	0	0	0	530957	0	0	0	1215936
2025-09-01	59352818	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	0	0	0	1442874	0	0	0	0	0	0	0
2025-10-20	59352818	0	55430880	57045746	480958	472807	451074	530957	1588986	3370972	1143953	1215936
2025-12-15	14357204	115157792	64864032	124201272	1923832	945614	1353222	1061914	4766958	6741944	3431859	2431872
2025-12-22	0	0	0	0	10240	0	0	0	0	0	0	0
2025-12-29	118705636	10874328	31177240	114091492	961916	945614	451074	530957	1588986	6741944	1143953	1215936
2026-01-05	59352818	94412312	0	88503026	961916	945614	451074	530957	1588986	0	1143953	0
2026-01-12	118705636	0	55430880	0	961916	1418421	0	1592871	0	0	1143953	0
2026-01-19	0	52469272	55430880	0	480958	0	451074	1061914	1588986	10112916	1143953	1215936
2026-01-26	59352818	0	0	0	0	0	451074	530957	3177972	3370972	1143953	1215936
2026-02-02	43624178	0	0	0	10240	0	0	0	0	0	0	1215936
2026-02-16	4434204	15263364	16561460	10796756	1340474	472807	758274	1881114	1896186	3882972	0	0
2026-02-23	0	0	0	0	0	0	0	0	1588986	0	0	0
2026-03-02	0	3144384	57920960	0	961916	472807	1353222	530957	3177972	3370972	4473412	4863744
2026-03-09	0	0	0	0	0	0	0	0	0	8986516	0	0
2026-03-16	0	11594916	25810152	11070852	480958	0	0	0	0	3370972	1143953	0
2026-03-23	3013368	0	0	0	0	0	0	0	0	3370972	0	0
2026-03-30	0	0	0	0	0	0	451074	0	1588986	3370972	1143953	1215936
