week_start	sub-c5-1-0V/sub-c5-1-0V_ses-2kHz-stimulation-1-0V_image.nwb	sub-c5-1-5V/sub-c5-1-5V_ses-2kHz-stimulation-1-5V_image.nwb	sub-c5-2-0V/sub-c5-2-0V_ses-2kHz-stimulation-2-0V_image.nwb	sub-c6-1-0V/sub-c6-1-0V_ses-2kHz-stimulation-1-0V_image.nwb	sub-c6-1-25V/sub-c6-1-25V_ses-2kHz-stimulation-1-25V_image.nwb	sub-c6-1-45V/sub-c6-1-45V_ses-2kHz-stimulation-1-45V_image.nwb	sub-c7-1-0V/sub-c7-1-0V_ses-2kHz-stimulation-1-0V_image.nwb	sub-c7-1-25V/sub-c7-1-25V_ses-2kHz-stimulation-1-25V_image.nwb	sub-c7-1-45V/sub-c7-1-45V_ses-2kHz-stimulation-1-45V_image.nwb	sub-c7-1-7V/sub-c7-1-7V_ses-2kHz-stimulation-1-7V_image.nwb	sub-c7-2-0V/sub-c7-2-0V_ses-2kHz-stimulation-2-0V_image.nwb	sub-c7-2-3V/sub-c7-2-3V_ses-2kHz-stimulation-2-3V_image.nwb	sub-c8-1-0V/sub-c8-1-0V_ses-2kHz-stimulation-1-0V_image.nwb	sub-c8-1-25V/sub-c8-1-25V_ses-2kHz-stimulation-1-25V_image.nwb	sub-c8-1-5V/sub-c8-1-5V_ses-2kHz-stimulation-1-5V_image.nwb	sub-c8-1-75V/sub-c8-1-75V_ses-2kHz-stimulation-1-75V_image.nwb	sub-c8-2-0V/sub-c8-2-0V_ses-2kHz-stimulation-2-0V_image.nwb
2024-05-20	11471886	6485292	13102576	61121956	9892564	10521644	5324001	8123258	10304902	3818686	9643802	10285774	8358372	14091680	5211338	7335741	7326051
2024-05-27	0	0	0	117920384	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-03	0	0	0	102404544	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-10	0	0	0	58960192	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-07-08	613006	602817	621898	11471268	0	2161764	2882352	3145049	664621	2825923	2829906	2816821	2769700	705278	3114186	652917	774299
2024-07-22	2161764	2161764	2161764	0	2161764	2161764	2161764	0	0	2161764	0	3145425	2161764	0	2161764	0	0
2024-07-29	0	0	0	3103168	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3002523
2024-09-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3049574	0	0
2024-09-09	0	2699969	0	0	0	3099058	0	0	0	0	3158510	0	0	0	0	0	3002523
2024-09-16	0	2764581	2161764	3103168	2767129	608690	671869	4454411	0	3154527	2161764	2161764	607936	0	0	0	2936063
2024-09-23	3103374	2699969	2719050	3103168	3095733	3099058	3162237	3145049	3154989	3154527	3158510	3145425	3098304	3064630	3049574	3012213	3002523
2024-10-07	0	0	0	0	0	0	3162237	0	0	0	0	0	0	0	0	0	0
2024-10-14	0	0	2719050	0	3095733	0	0	0	0	6309054	0	0	0	0	0	0	0
