week_start	sub-Han/sub-Han_desc-test_ecephys.nwb	sub-Han/sub-Han_desc-train_behavior+ecephys.nwb
2021-08-30	985152	1093067338
2021-09-06	492576	189764396
2021-09-13	985152	5468628702
2021-09-20	1970304	5514187119
2021-09-27	5910912	13819127794
2021-10-04	985152	5468628702
2021-10-11	985152	3645752468
2021-10-18	1477728	5468628702
2021-10-25	1970304	7291504936
2021-11-01	1477728	5468628702
2021-11-08	1477728	1822876234
2021-11-15	985152	1822876234
2021-11-22	492576	2842283795
2021-11-29	3448032	15489104365
2021-12-06	4925760	18228762340
2021-12-13	492576	3645752468
2021-12-20	1477728	5468628702
2021-12-27	492576	1822876234
2022-01-03	492576	1822876234
2022-01-10	1970304	3645752468
2022-01-17	492576	3645752468
2022-01-24	985152	1822876234
2022-01-31	1477728	1822876234
2022-02-07	1970304	9114381170
2022-02-14	0	1822876234
2022-02-21	492576	5468628702
2022-02-28	985152	5441015983
2022-03-14	492576	1822876234
2022-03-21	1970304	9114381170
2022-03-28	9851520	29166019744
2022-04-11	0	8579235
2022-04-18	985152	63211241
2022-04-25	492576	3645752468
2022-05-09	492576	1822876234
2022-05-16	2054272	9478992922
2022-05-23	492576	3645752468
2022-05-30	0	1822876234
2022-06-06	985152	1822876234
2022-06-13	492576	674559198
2022-06-20	492576	1822876234
2022-06-27	492576	84728037
2022-07-11	492576	587202560
2022-07-18	1477728	0
2022-07-25	492576	3645752468
2022-08-01	9358944	3645752468
2022-08-08	6403488	212263498
2022-08-15	3940608	0
2022-08-22	985152	1822876234
2022-08-29	985152	0
2022-09-05	0	1822876234
2022-10-03	492576	0
2022-10-10	1477728	5468628702
2022-10-17	985152	1822876234
2022-10-31	492576	1822876234
2022-11-21	2955456	18228762340
2022-11-28	4925760	11218169292
2022-12-05	492576	5468628702
2022-12-12	985152	7488501311
2022-12-19	492576	1863231515
2023-01-02	985152	5623485868
2023-01-09	985152	1822876234
2023-01-16	492576	5468628702
2023-01-23	492576	1822876234
2023-02-06	1477728	3775691304
2023-02-13	492576	0
2023-02-27	985152	2350043142
2023-03-13	985152	3645752468
2023-03-20	1970304	10937257404
2023-03-27	492576	1372471977
2023-04-03	0	966360896
2023-04-10	492576	270093093
2023-04-17	492576	2475081155
2023-04-24	492576	3095971483
2023-05-01	0	1175671959
2023-05-08	3940608	12849275842
2023-05-15	2462880	3567937000
2023-05-22	3074208	4662252718
2023-05-29	823880	1814200378
2023-06-05	1597344	3160234505
2023-06-12	2380640	2969478057
2023-06-19	4001728	1822876234
2023-06-26	6965920	6471746189
2023-07-03	6003776	13614687460
2023-07-10	3904704	10579836470
2023-07-17	3960896	12269822356
2023-07-24	1698368	10762719104
2023-07-31	1350688	101934166
2023-08-07	1670848	1207025948
2023-08-14	1312512	5405871030
2023-08-21	1189440	5266952000
2023-08-28	1451456	5345192672
2023-09-04	1206304	1412026000
2023-09-11	1131920	2862292600
2023-09-18	2247168	6486237926
2023-09-25	1254592	1205054933
2023-10-02	2480704	11966428660
2023-10-09	985152	1338689640
2023-10-16	45568	881046808
2023-10-23	2015872	4576869292
2023-10-30	580480	1066598068
2023-11-06	85440	1665798624
2023-11-13	2061440	2512198274
2023-11-20	1828512	5468628702
2023-11-27	6739776	20051638574
2023-12-04	901184	3916973912
2023-12-11	492576	7291504936
2023-12-18	492576	3645752468
2023-12-25	985152	1499833106
2024-01-15	985152	1947307906
2024-01-22	1970304	2284505104
2024-01-29	985152	3645752468
2024-02-05	0	1822876234
2024-02-12	492576	1771176972
2024-02-26	1970304	1822876234
2024-03-04	985152	187012924
2024-03-11	492576	914865114
2024-03-18	9851520	4356573960
2024-03-25	14777280	2788394374
2024-04-01	10836672	283890564
2024-04-08	38913504	340119476
2024-04-15	37435776	1148500416
2024-04-22	25613952	2771353796
2024-04-29	53198208	647014696
2024-05-06	31032288	1243945922
2024-05-13	18717888	582490098
2024-05-20	23643648	3784045396
2024-05-27	33002592	2850115798
2024-06-03	14130360	5058618364
2024-06-10	5910912	397699350
2024-06-17	985152	1822876234
2024-06-24	492576	293480436
2024-07-01	492576	0
2024-07-08	1477728	5477285800
2024-07-22	492576	9888236
2024-07-29	492576	3645752468
2024-08-26	985152	0
2024-09-02	1477728	3645752468
2024-09-09	2955456	5242880
2024-09-16	1477728	1887625370
2024-09-23	985152	4360932624
2024-09-30	492576	45539914
2024-10-07	1477728	5468628702
2024-10-14	1477728	3645752468
2024-10-21	985152	1822876234
2024-10-28	2955456	2563726592
2024-11-04	985152	1857143956
2024-11-11	1970304	5468628702
2024-11-18	2955456	5487471204
2024-11-25	4433184	5601836110
2024-12-02	2955456	7337296096
2024-12-09	4925760	1822876234
2024-12-16	492576	0
2024-12-23	492576	3645752468
2024-12-30	492576	1822876234
2025-01-06	3035224	10139075494
2025-01-20	492576	3645752468
2025-02-03	1970304	5468628702
2025-02-10	492576	29797436
2025-02-17	492576	0
2025-02-24	1477728	3084263191
2025-03-17	1970304	3645752468
2025-03-24	985152	5141472990
2025-03-31	492576	1958553970
2025-04-07	985152	1868416148
2025-04-14	492576	0
2025-05-05	2462880	2054597538
2025-05-12	1477728	9114381170
2025-05-19	985152	5468628702
2025-05-26	492576	7343891884
2025-06-02	1477728	0
2025-06-09	1970304	5300057198
2025-06-16	1477728	5468628702
2025-06-23	492576	5468628702
2025-06-30	3448032	7291504936
2025-07-07	985152	69099784
2025-07-14	1477728	73811628
2025-07-28	0	984015434
2025-08-04	4925760	3645752468
2025-08-11	0	4512752
2025-08-18	2462880	36168782382
2025-08-25	0	774300234
2025-09-01	1477728	12861799294
2025-09-08	0	1822876234
2025-09-15	3940608	24217978
2025-09-22	7388640	60768340
2025-09-29	492576	5468628702
2025-10-06	7126496	3682153900
2025-10-13	10836672	53589708
2025-10-20	1970304	12355024
2025-10-27	13792128	3721287576
2025-11-03	8866368	1867319030
2025-11-10	6403488	3686611608
2025-11-17	1477728	33481416
2025-11-24	5418336	3328427225
2025-12-01	3448032	30389830
2025-12-08	985152	18377946
2025-12-15	6896064	3676341390
2025-12-22	492576	0
2025-12-29	985152	6011602
2026-01-05	6896064	1973315350
2026-01-12	2462880	3645752468
2026-01-19	3940608	5474319804
2026-01-26	2955456	2785956844
2026-02-02	94557248	5339668702
2026-02-09	1477728	1824773268
2026-02-16	1887328	1840054112
2026-02-23	1970304	9116278204
2026-03-02	0	2134887364
2026-03-09	1477728	3705081884
2026-03-16	1970304	1826670302
2026-03-23	492576	5953848
2026-04-06	492576	0
