week_start	sub-mouse6/sub-mouse6_ses-20241205_ecephys.nwb	sub-mouse9/sub-mouse9_ses-20250530_ecephys.nwb	sub-mouse9/sub-mouse9_ses-20250606_ecephys.nwb
2025-06-23	99332268	100841212	108711844
2025-06-30	15937300	0	0
2025-07-07	15937300	0	0
2025-07-14	15719440	27419088	29989776
2025-07-28	0	27647058	30217256
2025-08-18	15937300	0	0
2025-08-25	0	27647058	30217256
2025-10-06	39037396	0	0
2025-12-15	30283552	45530742	44498000
2026-01-12	47811900	0	0
2026-01-19	15937300	0	0
2026-01-26	0	0	30217256
2026-02-02	0	27647058	0
2026-02-09	15937300	0	0
2026-02-16	31364784	46611974	46758376
2026-02-23	19108280	9363856	14339656
2026-03-02	15937300	4965602	0
2026-03-16	20831544	0	0
2026-03-23	0	17161912	11352096
2026-03-30	0	1027788	1224312
2026-04-06	20670428	55294116	120869024
2026-04-13	10702424	124735279	30217256
2026-04-20	0	55294116	0
2026-04-27	15937300	82941174	107880372
2026-05-11	15937300	0	44855548
2026-05-18	5306148	10205012	0
2026-05-25	50403684	30963838	3513304
2026-06-01	6381204	0	29151060
2026-06-08	12756104	1326712	31347444
2026-06-22	63664776	27647058	30217256
2026-06-29	2894700	38077222	26269928
2026-07-06	120605746	93634076	96388250
2026-07-13	0	0	101556104
2026-07-20	15937300	0	0
2026-07-27	0	57673716	0
2026-08-03	17169888	43560484	30217256
