week_start	sub-10F-0/sub-10F-0_ses-20240928T165427_ecephys.nwb	sub-10F-1/sub-10F-1_ses-20240928T165018_ecephys.nwb	sub-10F-2/sub-10F-2_ses-20240928T165008_ecephys.nwb	sub-10F-3/sub-10F-3_ses-20240928T165423_ecephys.nwb	sub-10F-4/sub-10F-4_ses-20240928T165229_ecephys.nwb	sub-10F-5/sub-10F-5_ses-20240928T165424_ecephys.nwb	sub-10F-6/sub-10F-6_ses-20240928T165427_ecephys.nwb	sub-10F-7/sub-10F-7_ses-20240928T165426_ecephys.nwb	sub-10F-8/sub-10F-8_ses-20240928T165425_ecephys.nwb	sub-11G-0/sub-11G-0_ses-20240928T192015_ecephys.nwb	sub-11G-1/sub-11G-1_ses-20240928T165430_ecephys.nwb	sub-11G-2/sub-11G-2_ses-20240928T165427_ecephys.nwb	sub-11G-3/sub-11G-3_ses-20240928T165427_ecephys.nwb	sub-11G-4/sub-11G-4_ses-20240928T165426_ecephys.nwb	sub-12G-0/sub-12G-0_ses-20240928T165425_ecephys.nwb	sub-12G-1/sub-12G-1_ses-20240928T165245_ecephys.nwb	sub-12G-2/sub-12G-2_ses-20240928T165429_ecephys.nwb	sub-12G-3/sub-12G-3_ses-20240928T165243_ecephys.nwb	sub-1A-0/sub-1A-0_ses-20240928T165245_ecephys.nwb	sub-2B-0/sub-2B-0_ses-20240928T165049_ecephys.nwb	sub-2B-1/sub-2B-1_ses-20240928T165427_ecephys.nwb	sub-2B-2/sub-2B-2_ses-20240928T165424_ecephys.nwb	sub-3C-0/sub-3C-0_ses-20240928T165422_ecephys.nwb	sub-3C-1/sub-3C-1_ses-20240928T165241_ecephys.nwb	sub-3C-2/sub-3C-2_ses-20240928T192008_ecephys.nwb	sub-3C-3/sub-3C-3_ses-20240928T165421_ecephys.nwb	sub-3C-4/sub-3C-4_ses-20240928T165422_ecephys.nwb	sub-3C-5/sub-3C-5_ses-20240928T165422_ecephys.nwb	sub-3C-6/sub-3C-6_ses-20240928T165423_ecephys.nwb	sub-3C-7/sub-3C-7_ses-20240928T165425_ecephys.nwb	sub-4C-0/sub-4C-0_ses-20240928T165242_ecephys.nwb	sub-4C-1/sub-4C-1_ses-20240928T165426_ecephys.nwb	sub-4C-2/sub-4C-2_ses-20240928T164959_ecephys.nwb	sub-4C-3/sub-4C-3_ses-20240928T165423_ecephys.nwb	sub-4C-4/sub-4C-4_ses-20240928T165427_ecephys.nwb	sub-4C-5/sub-4C-5_ses-20240928T192016_ecephys.nwb	sub-5C-0/sub-5C-0_ses-20240928T165424_ecephys.nwb	sub-5C-1/sub-5C-1_ses-20240928T165106_ecephys.nwb	sub-5C-2/sub-5C-2_ses-20240928T165241_ecephys.nwb	sub-5C-3/sub-5C-3_ses-20240928T165243_ecephys.nwb	sub-5C-4/sub-5C-4_ses-20240928T165050_ecephys.nwb	sub-5C-5/sub-5C-5_ses-20240928T165426_ecephys.nwb	sub-6C-0/sub-6C-0_ses-20240928T165425_ecephys.nwb	sub-6C-1/sub-6C-1_ses-20240928T165420_ecephys.nwb	sub-6C-2/sub-6C-2_ses-20240928T165241_ecephys.nwb	sub-6C-3/sub-6C-3_ses-20240928T165422_ecephys.nwb	sub-6C-4/sub-6C-4_ses-20240928T192014_ecephys.nwb	sub-7D-0/sub-7D-0_ses-20240928T165425_ecephys.nwb	sub-7D-1/sub-7D-1_ses-20240928T165425_ecephys.nwb	sub-7D-2/sub-7D-2_ses-20240928T165426_ecephys.nwb	sub-7D-3/sub-7D-3_ses-20240928T165424_ecephys.nwb	sub-7D-4/sub-7D-4_ses-20240928T165241_ecephys.nwb	sub-7D-5/sub-7D-5_ses-20240928T165048_ecephys.nwb	sub-7D-6/sub-7D-6_ses-20240928T165421_ecephys.nwb	sub-7D-7/sub-7D-7_ses-20240928T165241_ecephys.nwb	sub-8D-0/sub-8D-0_ses-20240928T165424_ecephys.nwb	sub-8D-1/sub-8D-1_ses-20240928T165423_ecephys.nwb	sub-8D-2/sub-8D-2_ses-20240928T165045_ecephys.nwb	sub-8D-3/sub-8D-3_ses-20240928T165422_ecephys.nwb	sub-8D-4/sub-8D-4_ses-20240928T165242_ecephys.nwb	sub-9E-0/sub-9E-0_ses-20240928T165047_ecephys.nwb	sub-9E-1/sub-9E-1_ses-20240928T165422_ecephys.nwb	sub-9E-2/sub-9E-2_ses-20240928T165423_ecephys.nwb	sub-9E-3/sub-9E-3_ses-20240928T165423_ecephys.nwb	sub-9E-4/sub-9E-4_ses-20240928T165422_ecephys.nwb	sub-9E-5/sub-9E-5_ses-20240928T165423_ecephys.nwb	sub-9E-6/sub-9E-6_ses-20240928T165422_ecephys.nwb	sub-9E-7/sub-9E-7_ses-20240928T165425_ecephys.nwb	sub-9E-8/sub-9E-8_ses-20240928T165424_ecephys.nwb
2024-09-23	2639012400	1408218013	2206203904	2105683532	2826653104	2961178624	3388997632	3003121664	2986344448	1848037039	3569066917	4727502128	2466369593	2172649472	1258291200	2415919104	3171248258	2424307712	3660396802	645922816	2571382942	2058316332	522128850	310378496	369098752	369098752	377487360	800799391	1568669696	2818572288	1291845632	1686700858	1477147081	738728950	4580971231	2259636487	1508325705	447715160	1023410176	2499805184	3942638430	4279780930	2811030324	916407359	914358272	906483358	735341069	2933655269	2541748224	2529251017	1673056804	2154193807	2517638378	739618701	815388756	1958235201	2137586080	2331105734	2323631036	2979849205	1660796947	1115684864	1174405120	1456983419	1147560314	956301312	805306368	3480404351	3117870327
2024-09-30	14817144	11493434	10593636	9906024	906503337	13662696	701649	37268945	11197624	19969639	17602489	14150240	13551957	23124264	4258020	18558600	27611642	7009356	24796308	16812157	536734	22891796	8262820	8745641	8215348	14838598	8956286	12494145	18320362	11922456	8470005	16969162	14739674	6165806	20583430	11617871	12922401	11267376	20640272	19826056	17021900	23707946	19647296	17331686	3102730	15759678	13420394	13300113	6419784	13429140	16620872	6054799	0	14935824	15572832	13059421	17034136	35156166	25253676	27304287	19390368	20287904	9355410	25461674	31353852	37738059	27597189	26764858	17743538
2024-10-07	3790522995	0	0	97832116	0	0	0	0	95801368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101959120	0	0	0	0	0	0	0	0	0	0	0	93836128	0	0	0	0	0	0	0	0	0	0	0	0	0	98487196	0	101566072	0	0	0	0	0	0	0	0	0	0	0	0	0	97373560
2024-10-21	47213385	0	0	0	10088232	7205880	0	10743312	11070852	9957216	0	6616308	0	8516040	9957216	0	27251328	13625664	0	6616308	10088232	0	0	8516040	0	7271388	0	6616308	10874328	12184488	0	10088232	0	3209892	7074864	0	10546788	0	7074864	0	7402404	10022724	0	0	0	10153740	0	7467912	10153740	0	14346252	0	10284756	10874328	0	0	23189832	0	8254008	10022724	12970584	10153740	0	131016	0	6616308	0	8712564	10153740
2024-10-28	483888	6354276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-04	0	17228604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44086884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-11-18	6616308	7860960	10153740	7860960	0	10153740	4323528	4389036	0	7533420	7860960	0	15721920	2161764	158941114	10022724	7860960	10284756	8843580	6616308	7860960	6747324	10153740	5437164	24631008	343182135	81913388	7860960	7860960	10153740	7860960	9760692	6878340	0	8450532	0	6550800	8516040	7140372	0	0	7860960	7860960	7860960	7860960	7664436	10153740	0	0	0	8319516	8122992	9891708	10219248	13756680	0	61769208	0	10153740	6812832	5437164	10022724	0	393048	9040104	42252660	0	10153740	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66506629	111218093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164536509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-02	4111207793	719961544	838076121	547670819	90219372	350858513	125689490	109583420	192931964	160183448	0	0	0	0	165157432	0	0	0	0	0	0	0	133013258	96062556	146808188	494927872	0	0	0	0	0	0	0	0	0	0	27039554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-12-09	0	0	0	0	0	0	334484608	893481115	724740063	884987502	1330138721	504815159	270693841	513774766	662117321	311185279	397040188	1043391572	577299229	410478101	509062685	0	1448727506	1204240799	418289527	305345958	500088692	321488331	243511427	594036993	412009650	457206694	330251510	96046509	87952490	449866573	577557256	546764391	616964510	392475011	352746976	336368918	269514472	1691283027	197418970	132585159	412418314	0	355121432	771454331	0	0	0	0	0	0	33957107	0	244695974	0	0	0	0	0	0	0	0	751894616	642960666
