week_start	sub-002/sub-002_ses-20240822_obj-101kino_image.nwb	sub-002/sub-002_ses-20240822_obj-154quuy_image.nwb	sub-002/sub-002_ses-20240822_obj-15apia2_image.nwb	sub-002/sub-002_ses-20240822_obj-18c7m5e_image.nwb	sub-002/sub-002_ses-20240822_obj-196amh7_image.nwb	sub-002/sub-002_ses-20240822_obj-19wyaa3_image.nwb	sub-002/sub-002_ses-20240822_obj-1av0ptb_image.nwb	sub-002/sub-002_ses-20240822_obj-1elbj85_image.nwb	sub-002/sub-002_ses-20240822_obj-1jf8tmz_image.nwb	sub-002/sub-002_ses-20240822_obj-1m2c0zp_image.nwb	sub-002/sub-002_ses-20240822_obj-1twu99s_image.nwb	sub-002/sub-002_ses-20240822_obj-1uy4mtb_image.nwb	sub-002/sub-002_ses-20240822_obj-36pfoh_image.nwb	sub-002/sub-002_ses-20240822_obj-4hfc61_image.nwb	sub-002/sub-002_ses-20240822_obj-8ppygp_image.nwb	sub-002/sub-002_ses-20240822_obj-l2yefd_image.nwb	sub-002/sub-002_ses-20240822_obj-rae7sk_image.nwb	sub-002/sub-002_ses-20240822_obj-soj0jc_image.nwb	sub-002/sub-002_ses-20240822_obj-um6j88_image.nwb	sub-002/sub-002_ses-20240822_obj-umrv3r_image.nwb	sub-002/sub-002_ses-20240822_obj-uuohmh_image.nwb	sub-002/sub-002_ses-20240822_obj-z4vx6k_image.nwb
2025-07-21	38578780	42771292	37278140	92634136	38513272	38709796	55355996	42836800	59220968	47432608	34855072	54055356	49928352	56076584	45666748	49793752	41539744	42902308	45794180	55745460	51356424	47294928
2025-07-28	49928352	0	0	49928352	0	0	49928352	0	49928352	0	0	0	0	49928352	49928352	49928352	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	0	0	0	0	49928352	0	0	0	0	0	0	0	49928352	0	49928352
2025-08-11	0	0	0	0	0	0	0	0	0	49928352	0	0	49928352	0	0	0	49928352	0	0	0	0	0
2025-08-25	0	49928352	49928352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49928352	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	0	49928352	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-08	0	68074068	99856704	99856704	49928352	49928352	99856704	99856704	49928352	20172880	49928352	49928352	49928352	49928352	10939836	99856704	99856704	49928352	49928352	0	49928352	99856704
2025-12-08	0	0	0	18471072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	7991976	49928352	62374872	13953204	5830212	6812832	4585560	10088232	56544660	8385024	12446520	0	60737172	4258020	65781288	64143588	22141704	55693056	61916316	61787540	8516040	17097588
2025-12-29	18471072	0	0	0	28956832	0	0	0	0	0	0	0	0	0	0	44685472	0	0	0	0	0	0
2026-01-05	0	0	0	49928352	0	26214400	0	0	0	0	20971520	39442592	0	0	0	0	0	0	0	0	0	0
2026-01-12	0	0	0	49928352	49928352	0	0	0	99856704	0	0	0	99856704	0	0	0	31457280	0	99856704	99856704	0	0
2026-01-19	0	0	0	0	0	0	28956832	0	26214400	0	0	0	36700160	0	0	0	0	0	0	0	28956832	0
2026-01-26	0	0	23713952	0	0	0	0	10485760	0	0	0	0	0	0	28956832	0	0	39442592	23713952	0	0	23713952
2026-02-02	0	39442592	0	0	0	0	0	0	0	10485760	0	0	0	34199712	0	0	0	0	0	0	0	0
2026-02-23	8188500	0	0	0	5108156	0	981152	0	981152	0	0	981152	0	0	0	0	0	0	0	0	0	0
2026-03-02	0	0	981152	981152	0	0	0	0	0	0	0	0	0	4192512	0	4127004	4127004	981152	0	0	4585560	0
2026-03-09	0	0	0	0	0	0	0	0	0	0	0	0	5173664	0	0	0	0	0	0	4192512	0	0
2026-03-16	9760692	0	0	8974596	0	8974596	0	0	0	0	0	10743312	0	0	0	9695184	1179144	0	0	11267376	0	0
