week_start	README	dataset_description.json	derivatives/dataset_description.json	derivatives/dwi/sub-I58/sub-I58_dwi_from-HIPCT-to-DWI_xfm.lta	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-preproc_dwi.bvals	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-preproc_dwi.bvecs	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-preproc_dwi.nii.gz	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-preproc_dwi.nii.zarr	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-rms_dwi.nii.gz	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_desc-rms_dwi.nii.zarr	derivatives/dwi/sub-I58/sub-I58_dwi_space-dwi_model-CSD_tractography.trk
2023-12-11	1104	664	904	17369	0	0	0	0	0	0	7506917184
2024-01-22	552	332	452	1579	832	11780	2654141113	0	0	0	1803598441
2024-01-29	0	332	0	3158	0	0	0	0	0	0	7598928
2024-02-12	276	332	452	0	416	0	3443711302	0	0	0	111622892
2024-02-26	552	0	0	1579	0	0	0	0	0	0	0
2024-03-04	0	0	0	0	0	0	0	0	0	0	115365360
2024-03-11	276	0	0	0	0	0	0	0	0	0	26417228485
2024-03-25	0	0	0	0	0	0	0	0	0	0	20975520
2024-04-01	0	0	0	0	0	0	0	0	0	0	10487760
2024-04-15	276	0	0	1579	0	0	378124520	0	34311982	32399311	0
2024-04-22	276	0	452	0	0	0	99011260	949847651	0	51210431	93836128
2024-04-29	0	0	0	0	0	0	0	0	0	30723058	0
2024-05-06	0	0	0	0	0	0	0	0	0	1247	0
2024-05-13	0	0	0	0	0	0	0	13916205	0	59374487	0
2024-05-20	0	0	0	3158	0	0	0	0	43599908	12660566	4323528
2024-05-27	0	0	0	0	0	0	0	0	32769	15901588	0
2024-06-03	0	0	0	0	0	0	0	352019619	88512519	55203260	0
2024-06-10	0	0	0	0	0	0	0	0	21799954	74	0
2024-06-17	0	0	0	0	0	0	0	0	0	398202	0
2024-06-24	0	0	0	0	0	0	0	0	43599908	71428373	0
2024-07-01	0	0	0	0	0	0	0	0	0	11038996	0
2024-07-08	0	332	0	0	0	0	0	0	0	11016556	0
2024-07-15	0	0	0	0	0	0	0	0	0	1176	0
2024-07-22	276	0	0	0	0	0	0	0	0	899631	0
2024-07-29	0	0	0	0	416	2945	0	497349583	12053472	12521603	813353568
2024-08-05	552	664	0	0	1248	0	0	0	0	0	0
2024-08-12	0	0	0	0	0	0	0	0	0	202811	216460784
2024-08-19	0	332	0	0	0	0	0	0	0	6514705	9891708
2024-08-26	276	0	452	3158	832	0	1784870265	814552	0	4670977	1948089556
2024-09-02	0	0	0	0	0	0	2844704681	1111682	0	1848690	5793197494
2024-09-09	0	0	0	0	416	0	0	1073811099	0	14875216	7855467028
2024-09-16	0	0	0	0	0	0	0	0	0	511759	7771058207
2024-09-23	0	0	0	0	0	0	0	0	0	0	1541648534
2024-09-30	0	0	0	0	0	0	0	307348843	0	460047	1120626956
2024-10-07	0	0	0	0	0	0	0	0	21799954	23116849	1970005176
2024-10-14	0	0	0	0	0	0	0	87920	0	594762	4103201265
2024-10-21	0	332	452	1579	0	2945	8254008	593904816	13298124	15455792	1121475800
2024-10-28	0	0	0	0	0	0	0	0	0	5411115	2045749901
2024-11-04	0	0	0	0	0	0	0	0	0	74	223245784
2024-11-11	0	0	0	0	0	0	0	0	0	1720281	0
2024-11-18	1104	0	0	0	0	0	0	0	6157752	2061	0
2024-11-25	0	0	0	0	0	0	0	0	43599908	4484	0
2024-12-02	0	0	0	0	0	0	0	0	0	4706	0
2024-12-09	276	332	452	0	0	0	0	0	0	2774770	432921568
2024-12-16	0	0	0	0	0	0	0	0	0	3089308	0
2024-12-23	0	0	0	0	0	0	0	0	0	848227	0
2025-01-06	276	332	452	1579	416	2945	1778712513	2070487645	21799954	27542909	111622892
2025-01-13	276	332	0	0	0	0	0	0	0	0	0
2025-01-20	0	0	0	0	0	0	0	6058886	0	0	0
2025-01-27	0	0	0	0	0	0	0	0	0	0	232192424
2025-02-03	0	996	0	0	0	0	0	0	0	0	0
2025-02-17	0	0	0	0	0	0	0	0	0	0	4127004
2025-03-31	0	0	0	0	832	2945	53389020	0	120543388	0	0
2025-04-07	276	0	0	0	0	0	0	0	0	0	0
2025-04-21	276	0	0	0	0	0	0	0	566798804	0	0
2025-05-05	0	332	0	0	0	0	0	0	0	0	0
2025-06-02	0	0	0	0	0	0	0	1422	0	0	0
2025-06-09	0	0	0	0	0	0	0	372	0	0	0
2025-06-23	0	0	0	0	0	0	0	0	0	9842	0
2025-07-14	276	0	0	0	0	0	0	414	0	0	0
2025-07-28	0	0	0	1579	832	0	1058387864	20466121	21799954	0	0
2025-08-04	1656	0	0	0	0	0	76607524	0	0	0	0
2025-08-11	0	332	0	0	416	0	0	58659915	0	0	6765292
2025-08-25	0	0	0	0	0	0	0	114053569	0	0	111622892
2025-09-01	0	0	452	0	0	0	0	0	0	0	0
2025-09-08	276	332	0	0	0	0	0	90	21804672	0	0
2025-09-15	0	0	0	0	0	0	3554264647	8902671	4718	4753956	0
2025-09-22	0	0	0	1579	0	0	0	564	0	0	111622892
2025-09-29	0	0	0	0	0	0	367845482	138824004	65409298	13899721	906218492
2025-10-06	0	0	0	0	0	0	500	0	21805172	11556410	223245784
2025-10-20	0	0	0	0	0	0	0	1075396025	21809790	14665271	0
2025-11-03	0	0	0	0	0	0	0	0	0	0	111623392
2025-11-17	0	0	0	0	0	0	0	0	2898398320	0	3881814056
2025-11-24	0	0	0	0	0	0	0	0	152599678	0	223245784
2025-12-01	0	0	0	0	832	0	0	0	21799954	0	211747788
2025-12-15	552	332	904	3158	416	8835	0	0	32019202	0	0
2025-12-22	0	0	0	0	0	0	744488960	0	0	0	0
2025-12-29	0	0	452	0	0	0	0	0	11314194	0	97439068
2026-01-05	0	0	0	0	0	2945	0	126133127	5718	19076575	0
2026-01-12	828	1660	1356	4737	832	8835	1416201320	0	32285714	0	0
2026-01-19	0	0	0	0	0	0	0	0	25136246	0	0
2026-01-26	276	332	0	0	0	0	137214937	50776834	0	13980281	52428800
2026-02-02	0	0	0	0	0	0	0	1161802	0	0	59153724
2026-02-09	0	0	0	0	0	0	0	1688947	0	0	0
2026-02-23	0	0	0	0	0	0	0	2022460	0	0	0
2026-03-02	0	664	0	0	0	0	0	1993980	0	0	59808804
2026-03-09	0	332	452	1579	0	0	0	756761	0	0	0
2026-03-16	0	0	452	0	0	0	6747324	0	13822188	406513	65536
2026-03-23	0	0	0	0	0	0	0	0	21799954	1587740	0
2026-03-30	0	0	0	0	0	2945	0	0	21799954	544867	0
2026-04-06	0	0	0	0	0	0	0	0	0	559222	0
