week_start	sub-460654/sub-460654_ses-20190611T181840_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190612T185927_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190613T181526_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190614T201428_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190617T191008_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190618T184442_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190619T180008_behavior+ophys.nwb	sub-460654/sub-460654_ses-20190620T173807_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190624T154032_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190625T153257_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190626T152535_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190701T152503_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190702T152854_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190703T153507_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190708T154702_behavior+ophys.nwb	sub-463813/sub-463813_ses-20190710T153603_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190624T221613_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190625T201821_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190626T213653_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190627T221333_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190628T212611_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190701T220738_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190702T214625_behavior+ophys.nwb	sub-465226/sub-465226_ses-20190703T211800_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190617T212633_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190618T203328_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190620T193953_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190621T173835_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190624T194816_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190625T181149_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190626T183405_behavior+ophys.nwb	sub-465231/sub-465231_ses-20190627T183555_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190701T200429_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190702T183035_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190703T180758_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190708T200043_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190711T194954_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190715T213604_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190716T180208_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190725T203411_behavior+ophys.nwb	sub-467422/sub-467422_ses-20190730T175632_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190710T171718_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190711T170344_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190715T193503_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190716T160002_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190724T204608_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190725T190134_behavior+ophys.nwb	sub-467950/sub-467950_ses-20190726T161008_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200529T151754_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200530T170807_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200601T172917_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200602T194453_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200603T150102_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200604T154209_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200605T170925_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200606T162845_behavior+ophys.nwb	sub-503930/sub-503930_ses-20200608T181441_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200511T173947_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200512T202616_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200514T161907_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200515T152153_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200516T145452_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200518T192438_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200519T174538_behavior+ophys.nwb	sub-505560/sub-505560_ses-20200522T153100_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200511T193455_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200512T184544_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200513T150449_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200514T144329_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200515T170548_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200516T164515_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200518T174917_behavior+ophys.nwb	sub-509510/sub-509510_ses-20200519T192322_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200603T162840_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200604T171342_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200605T145323_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200606T145700_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200608T194134_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200609T184141_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200610T160754_behavior+ophys.nwb	sub-509641/sub-509641_ses-20200611T155409_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200615T193944_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200616T194553_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200618T171453_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200619T184329_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200620T162300_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200622T194523_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200623T194053_behavior+ophys.nwb	sub-509643/sub-509643_ses-20200624T175436_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200615T180232_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200616T175628_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200618T154659_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200620T143237_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200622T181344_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200623T180624_behavior+ophys.nwb	sub-510077/sub-510077_ses-20200624T160203_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200523T144437_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200526T203917_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200528T150433_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200529T164742_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200530T153552_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200602T175831_behavior+ophys.nwb	sub-510078/sub-510078_ses-20200604T191336_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200630T155637_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200701T145251_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200702T175643_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200706T162903_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200707T162242_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200708T190015_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200710T174533_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200713T183238_behavior+ophys.nwb	sub-525492/sub-525492_ses-20200717T171906_behavior+ophys.nwb	sub-529404/sub-529404_ses-20200720T161939_behavior+ophys.nwb	sub-529404/sub-529404_ses-20200721T200624_behavior+ophys.nwb	sub-529404/sub-529404_ses-20200723T162052_behavior+ophys.nwb
2023-05-22	23423576	0	11711228	12201644	30560260	15479476	19652400	18342240	33478136	19252028	17995380	0	16739332	93405684	0	25537044	134870796	90883636	99674404	0	185110916	0	198943956	0	147415996	69507372	93394164	182248500	0	178845076	108464052	0	132350748	74548308	1403658704	0	198961428	16738804	7941204	15480916	17995956	16738276	12968628	16739684	16739244	10454004	15481076	16738628	0	10454964	0	11710668	210279756	0	59467836	0	0	20510004	20508772	20509556	28050676	26793404	26792492	19252444	21766836	20508548	23023412	20509892	23023412	24279684	34333356	21766236	23022004	124815420	136124980	20512132	53189236	7941204	35590740	186420004	59476116	19252964	16738452	0	0	99681796	0	17995668	12969588	28052596	0	23025588	17995572	19252860	19253692	30966472	20509444	21765036	25536612	65750756	49415364	45641476	94646156	10455924	10455540	7941844	14226060	10455780	48164628	95931764	16739332	89644044	251790316	15483556	19255148
2023-05-29	0	0	0	799968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1518475440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7941204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	11711788	0	0	830288	14831620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1195586508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-12	454527508	0	0	12388452	0	0	0	0	0	0	0	0	0	0	0	9808404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1385428692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	382027516	0	0	12540676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	1191747196	0	0	84970228	0	0	0	0	0	57756084	0	0	0	0	0	0	0	0	0	19163076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1236004944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	41956211	0	0	12424828	0	0	0	0	0	0	0	0	0	0	0	0	230485192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1457684016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	498336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1233515640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	11711788	11712292	11711228	12720300	0	15479476	24276828	137379972	0	0	0	25535748	16739332	0	26793404	25537044	134870796	90883636	0	0	185110916	0	198943956	0	147415996	69507372	93394164	123553332	0	178845076	108464052	95897428	132350748	74548308	1860118448	455082351	0	0	0	0	17995956	0	12968628	16739684	16739244	10454004	0	16738628	11712236	10454964	0	11710668	210279756	299506100	0	0	0	20510004	20508772	20509556	0	26793404	26792492	0	0	20508548	0	20509892	23023412	24279684	34333356	21766236	23022004	124815420	136124980	0	0	0	35590740	186420004	59476116	19252964	16738452	16739332	121049796	99681796	19251196	0	12969588	28052596	0	0	0	19252860	19253692	15483236	0	21765036	25536612	65750756	49415364	45641476	94646156	0	0	7941844	0	10455780	48164628	95931764	16739332	89644044	0	15483556	0
2023-07-24	0	0	0	816744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30041208	0	0	0	0	0	0	0	1232664036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-31	11711788	0	0	854352	30560260	15479476	0	137379972	16739068	0	0	0	16739332	93405684	0	0	134870796	90883636	99674404	164155272	0	192653708	198943956	165020916	0	0	0	0	131095716	178845076	0	0	0	0	274871568	354812752	198961428	16738804	7941204	15480916	17995956	0	0	16739684	0	10454004	15481076	16738628	11712236	0	12968500	11710668	210279756	299506100	59467836	0	11712404	20510004	20508772	0	0	0	26792492	19252444	21766836	0	0	20509892	0	24279684	0	0	0	124815420	0	0	53189236	0	35590740	0	0	19252964	0	0	121049796	0	19251196	17995668	12969588	28052596	0	0	17995572	0	19253692	15483236	0	21765036	0	65750756	0	0	0	0	0	0	0	10455780	0	95931764	0	89644044	251790316	15483556	0
2023-08-07	39163300	0	0	20487004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1296337812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	42944960	0	0	688272	0	0	0	0	9939589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1399250880	0	0	0	0	3291120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	545744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1449954072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
