week_start	sub-JenkinsC/sub-JenkinsC_ses-20150924T154125_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20150925T151743_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151001T150307_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151002T143706_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151009T150007_behavior+ecephys+image.nwb	sub-JenkinsC/sub-JenkinsC_ses-20151015T151424_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20160127T110630_behavior+ecephys.nwb	sub-JenkinsC/sub-JenkinsC_ses-20160128T160749_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170115T125333_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170116T102856_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170117T104643_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170118T094022_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170119T123128_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170124T094957_behavior+ecephys.nwb	sub-Reggie/sub-Reggie_ses-20170125T100800_behavior+ecephys.nwb
2021-08-02	30106683627	29376905216	1662144192	2522725424	27632074752	1400390181	1266679808	2869896875	2005793644	2361535554	1619001344	1393007730	921104437	1828684550	1174405120
2021-08-09	0	0	0	0	0	2297971237	0	0	168059756	0	0	0	0	0	0
2021-08-16	0	0	0	0	0	4595942474	0	0	0	0	0	0	0	0	0
2021-08-30	0	0	0	0	0	7054875193	0	0	0	0	0	0	0	0	0
2021-10-11	0	0	0	0	0	27939244	12243689	0	0	0	0	0	0	0	0
2021-10-25	0	0	2958561041	0	0	38292028	3800349931	5285815979	3454386103	0	2880141464	0	3001479221	0	0
2021-11-08	296872	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-15	131888	0	0	0	0	0	0	0	0	0	0	3030764160	271875234	0	0
2021-11-22	54841857	0	0	0	0	0	0	0	0	0	0	606476288	0	0	0
2021-12-13	0	0	0	0	0	0	0	0	0	12177325	0	0	0	0	0
2022-01-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3037103600
2022-01-10	0	16575575441	0	3562912816	19324417956	0	0	5285815979	3454386103	0	5771564808	9136690518	3001479221	3187639046	6074207200
2022-01-17	31197709584	31400429820	2786217664	0	53184625662	0	0	5285815979	0	0	0	0	0	0	0
2022-01-24	0	0	0	0	0	0	0	0	0	0	346029832	0	0	344171640	372807237
2022-01-31	32718216978	54536678528	5572435328	3562912816	22698457936	2297971237	7600699862	5285815979	25815596	6283352196	5847152466	26976497	3001479221	0	3150766341
2022-02-07	0	0	3001812516	0	0	0	0	0	0	0	0	0	0	0	0
2022-02-14	30917052	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-03-28	0	0	5572435328	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	3604753706	67651826957	2786353976	5612317384	58062603709	2898369539	4926931646	3041240122	4679090620	2393793560	1106939422	2502371936	1059371085	1108255327	314800
2022-04-25	41607800008	22829216	2786217664	3934027302	895892290	2297971237	3823776423	23193749	6433195690	3870899602	11520565856	3045563506	6002958442	3187639046	9111310800
2022-05-02	40332396779	54536678528	2786217664	3562912816	53184625662	2297971237	3800349931	5285815979	6908772206	3141676098	2880141464	0	3001479221	0	1063007826
2022-05-16	14877707245	0	0	0	0	886343600	0	0	20726316618	31416760980	2880226000	0	3001479221	3187639046	0
2022-05-23	0	54536678528	5572435328	3562912816	53184625662	2297971237	0	5252261547	0	0	2880141464	0	0	3187639046	3037103600
2022-05-30	40332396779	54536678528	0	3562912816	0	0	3800349931	0	65633335957	59691845862	2880141464	0	0	3187639046	0
2022-06-06	216952	0	0	0	0	0	0	0	2661693778	2597122544	734132674	2313124261	443865228	2715397114	2654874084
2022-06-13	18672012498	19309950604	2076278069	3562917024	18716987252	0	3800349931	0	3552486955	3141676098	55844837	3064609974	3127286574	308204407	3264064549
2022-06-20	0	0	0	3562912816	0	0	3800349931	5285815979	3454386103	3141676098	0	6091127012	3001479221	6375278092	6074207200
2022-07-04	0	0	0	0	0	0	1026940344	0	0	3141676098	0	3045563506	3001479221	3187639046	3037103600
2022-07-11	17402167	554869	1711035336	2243952640	485430	1165509157	1488371711	2916034219	1986379703	1877079326	1177232769	1635326995	1673967889	1984794995	1562791628
2022-07-18	0	0	2901008593	1398017140	0	542113668	130154664	583790260	2256227500	0	2834899069	3109345279	2272406298	1487185596	2021345538
2022-07-25	0	0	1838304960	0	0	0	2986654955	0	0	0	0	0	0	0	0
2022-08-01	0	0	1551892480	1977465904	0	0	2684354560	0	0	0	0	1921490034	2306867200	0	0
2022-08-08	0	0	0	0	0	1073741824	0	3138332331	2917515191	2067934274	1269528728	0	0	1577026310	2500232688
2022-08-22	0	0	2786217664	3562912816	0	0	3800349931	0	3454386103	3141676098	2880141464	0	3001479221	0	0
2022-08-29	0	0	0	0	0	0	0	0	0	0	0	0	0	31876390460	27333932400
2022-09-12	0	0	2805472097	0	0	0	0	0	0	0	0	0	0	0	0
2022-09-19	0	0	0	0	0	0	0	0	74825933	0	23193749	38053316	39552944	84936091	81680270
2022-11-28	0	0	0	3562912816	0	0	3800349931	0	0	3141676098	2880141464	0	3001479221	0	0
2023-01-09	0	0	2786217664	0	0	0	3800349931	5285815979	4003087660	0	3210261789	3826897610	3363635505	323185756	3269554908
2023-01-30	0	0	2786217664	3562912816	0	2297971237	3800349931	5285815979	3454386103	3141676098	2880141464	0	0	3187639046	0
2023-02-06	0	0	222449344	20971520	0	0	208977131	48178859	0	0	64714904	51879026	65466421	62882566	59147760
2023-02-20	0	0	5572435328	3562912816	0	2297971237	0	5285815979	0	0	0	0	0	0	0
2023-02-27	0	0	0	0	0	2297971237	0	0	0	0	0	0	0	0	0
2023-03-06	0	0	0	0	0	2297971237	0	0	0	3141676098	2880141464	0	3001479221	3187639046	3037103600
2023-03-20	0	0	2786217664	986443444	0	1319299553	3800349931	0	2507582648	5058419042	2880141464	0	3001479221	6375278092	3037103600
2023-04-10	0	0	2786217664	3562912816	0	997736997	0	0	0	0	0	0	0	0	0
2023-05-22	0	0	0	0	0	0	0	0	0	0	2045482	0	0	0	0
2023-05-29	0	0	0	0	0	0	0	0	0	0	1354872	0	0	0	0
2023-06-05	0	0	2786217664	0	0	0	0	0	0	0	921088	0	0	0	0
2023-06-12	0	0	0	0	0	0	0	0	0	0	1330360	0	0	0	0
2023-06-19	0	0	0	0	0	0	0	0	0	0	1482936064	0	0	0	0
2023-06-26	0	0	0	0	0	0	0	0	0	0	191737856	0	0	0	0
2023-07-03	0	0	0	0	0	0	0	0	0	0	1256144	0	0	0	0
2023-07-10	0	0	0	0	0	0	0	0	0	0	1453280	0	0	0	0
2023-07-17	0	0	0	0	0	0	0	0	0	0	1006144	0	0	0	0
2023-07-24	0	0	0	0	0	929023724	0	605904332	0	3160224367	1208336	6091127012	3001479221	3187639046	3037103600
2023-07-31	0	0	0	0	0	2297971237	3800349931	0	0	3141676098	997368	0	0	3187639046	3059136448
2023-08-07	0	0	0	0	0	0	0	0	0	0	919624	0	0	0	0
2023-08-14	0	0	0	0	0	0	0	0	0	0	939792	0	0	0	0
2023-08-21	0	0	0	0	0	0	0	0	0	0	834272	0	0	0	0
2023-08-28	0	0	0	0	0	0	0	0	0	0	1418888	0	0	0	0
2023-09-04	0	0	0	0	0	0	0	0	0	0	1301912	0	0	0	0
2023-09-11	0	0	0	0	0	0	0	0	0	0	1073784	0	0	0	0
2023-09-18	0	0	2786217664	3562912816	0	0	3800349931	0	0	0	1125224	0	3001479221	3187639046	0
2023-09-25	0	0	0	0	0	0	0	0	0	0	968336	0	0	0	0
2023-10-02	0	0	0	0	0	0	93710164	0	0	0	881544	0	0	0	0
2023-10-09	0	0	0	0	0	0	0	0	0	0	265104	0	0	0	0
