week_start	sub-489/sub-489_ses-20220708.nwb	sub-503/sub-503_ses-20220902.nwb
2025-03-31	201428908	214820238
2025-04-28	38649720	0
2025-06-16	369718100	0
2025-06-23	194612256	158372176
2025-07-14	144385980	187558264
2025-07-28	163169684	0
2025-08-11	0	215585860
2025-09-01	0	268014660
2025-10-06	297562092	0
2025-12-15	15263364	10219248
2026-01-05	173015040	0
2026-01-19	0	1097645260
2026-01-26	0	262771780
2026-02-16	10722972	0
2026-02-23	4258020	8757732
2026-03-02	6475244	5987512
2026-03-16	21290100	0
2026-03-23	0	409600
2026-03-30	7271388	0
