week_start	sub-AllenCellTypes-ses-CurveDemo/sub-AllenCellTypes-ses-CurveDemo.nwb	sub-FrankenNeuron-ses-Demo/sub-FrankenNeuron-ses-Demo.nwb
2024-11-04	1687656	9572834
2024-11-18	1687656	0
2024-12-23	1125104	0
2025-02-17	562552	0
2025-03-03	52800	0
2025-03-10	21120	0
2025-03-17	31680	0
2025-03-24	10560	0
2025-03-31	10560	0
2025-04-07	42240	0
2025-04-14	42240	0
2025-04-21	31680	0
2025-04-28	42240	0
2025-05-05	10560	0
2025-08-11	10560	0
2025-08-18	10560	0
2025-08-25	21120	0
2025-09-01	562552	0
2025-09-08	10560	0
2025-09-15	10560	18621380
2025-09-22	583672	0
2025-09-29	10560	0
2025-10-06	1135664	11213523
2025-10-13	1125104	0
2025-10-20	573112	0
2025-10-27	573112	0
2025-11-03	5625520	0
2025-11-10	3958984	0
2025-11-17	3958984	0
2025-11-24	2250208	0
2025-12-01	2812760	0
2025-12-08	3375312	0
2025-12-15	5062968	0
2026-01-05	3937864	0
2026-01-12	1125104	9310690
2026-01-19	2250208	0
2026-01-26	4500416	0
2026-02-02	2250208	0
2026-02-09	1125104	0
2026-02-16	1994856	4655345
2026-02-23	1994856	4127004
2026-03-02	1125104	0
2026-03-16	1687656	0
2026-03-23	0	204800
