week_start	sub-M1/sub-M1_ses-20230323_behavior.nwb	sub-M30L/sub-M30L_ses-20230517_behavior.nwb
2024-08-12	10094680	2847632
2024-08-19	7514028	2085168
2024-08-26	2504676	2085168
2024-09-09	2504676	2085168
2024-09-16	0	2466400
2024-09-23	2504676	4170336
2024-09-30	10018704	4170336
2024-10-07	23484912	11617888
2024-10-14	7310872	4719136
2024-10-21	10018704	4170336
2024-10-28	5009352	0
2024-11-18	2504676	0
2024-11-25	5009352	0
2024-12-09	2912200	0
2024-12-16	2504676	0
2024-12-23	0	2085168
2024-12-30	0	2085168
2025-01-06	9612392	9816480
2025-01-13	0	3764096
2025-01-27	2504676	0
2025-02-17	5009352	4170336
2025-05-05	54013800	381731968
2025-05-19	7514028	4170336
2025-05-26	0	4658656
2025-06-02	0	32409984
2025-06-09	39735308	28358736
2025-06-16	0	16443168
2025-06-23	0	1966080
2025-06-30	5835240	0
2025-07-14	46030400	1023744
2025-07-21	2504676	0
2025-07-28	1491384960	7041936
2025-08-04	5009352	2085168
2025-08-11	2504676	2085168
2025-08-25	769600	627200
2025-09-01	2504676	8221584
2025-09-08	0	78820704
2025-09-22	285388480	2347312
2025-09-29	0	262144
2025-10-06	3336676	45064048
2025-10-13	0	6017328
2025-10-20	0	1966080
2025-10-27	2504676	2085168
2025-11-10	0	22222320
2025-11-17	0	16467136
2025-11-24	0	6136416
2025-12-01	0	32171808
2025-12-08	0	18409248
2025-12-15	5009352	20375328
2025-12-29	0	6017328
2026-01-05	0	30932240
2026-01-12	0	24307488
2026-01-19	0	8102496
2026-01-26	2504676	4051248
2026-02-09	0	4051248
2026-02-16	204800	10716352
2026-02-23	204800	4256048
2026-03-02	354276	14238912
2026-03-09	0	2203520
2026-03-16	0	2817796
2026-03-23	2504676	0
2026-03-30	0	4051248
