week_start	sub-001/sub-001_ecephys.nwb
2023-02-13	232080
2023-02-20	928320
2023-05-08	232080
2023-05-22	644184
2023-05-29	1106872
2023-06-05	1157136
2023-06-12	897960
2023-06-19	1792192
2023-06-26	1998968
2023-07-03	1065304
2023-07-10	802576
2023-07-17	1702152
2023-07-24	793504
2023-07-31	854488
2023-08-07	849288
2023-08-14	1268297
2023-08-21	991496
2023-08-28	1436040
2023-09-04	745088
2023-09-11	969920
2023-09-18	795096
2023-09-25	778976
2023-10-02	498480
2023-10-16	667672
2023-10-23	690840
2023-10-30	232080
2023-11-13	665648
2023-11-20	1255992
2023-11-27	291472
2023-12-04	232080
2023-12-11	352656
2024-01-01	232080
2024-01-22	696240
2024-03-04	696240
2024-03-11	666632
2024-03-18	3017040
2024-03-25	10443600
2024-04-01	4641600
2024-04-08	13460640
2024-04-15	13228560
2024-04-22	15317280
2024-04-29	14388960
2024-05-06	13228560
2024-05-13	12532320
2024-05-20	10211520
2024-05-27	13924800
2024-06-03	9747360
2024-06-10	2088720
2024-06-24	1392480
2024-07-08	232080
2024-07-29	232080
2024-08-26	928320
2024-09-02	464160
2024-09-09	5569920
2024-09-16	232080
2024-10-21	232080
2025-07-21	232080
2025-08-11	232080
2025-09-22	928320
2025-09-29	232080
2025-10-06	1160400
2025-10-13	1856640
2025-10-20	464160
2025-10-27	1856640
2025-11-03	4641600
2025-11-10	4177440
2025-11-17	2552880
2025-11-24	2320800
2025-12-01	2088720
2025-12-08	2320800
2025-12-15	3017040
2025-12-29	232080
2026-01-05	2088720
2026-01-12	1160400
2026-01-19	1392480
2026-01-26	1856640
2026-02-02	464160
2026-02-09	1856640
2026-02-16	1365200
2026-02-23	1726960
2026-03-02	232080
2026-03-16	1392480
2026-03-23	928320
2026-04-20	464160
