week_start	sub-subid012345/sub-subid012345_ecephys+ogen.nwb
2024-07-29	2141058748
2024-08-05	687219437
2024-08-12	9760692
2024-08-26	27145101
2024-09-02	320746381
2024-09-09	5817
2024-09-16	4782084
2024-09-23	27145101
2024-09-30	6056798393
2024-10-07	782034830
2024-10-21	9957216
2024-10-28	28274037
2024-11-18	84303954
2024-11-25	904503298
2024-12-02	416901907
2024-12-09	445784326
2025-03-03	192000
2025-03-10	128000
2025-03-17	128000
2025-03-24	160000
2025-03-31	64000
2025-04-07	96000
2025-04-14	677454221
2025-04-21	96000
2025-04-28	128000
2025-05-05	32000
2025-06-23	1900487
2025-07-14	14715268
2025-07-21	47558808
2025-07-28	64000
2025-08-04	362753421
2025-08-11	32000
2025-08-18	32000
2025-08-25	32000
2025-09-08	32000
2025-09-15	32000
2025-10-06	77799011
2025-10-13	7624643
2025-10-20	64000
2025-10-27	64000
2025-11-10	32000
2025-11-24	32000
2025-12-15	13232616
2026-01-05	388903821
2026-02-16	4741404
2026-02-23	4741404
2026-03-16	14608284
2026-03-23	1310160
