region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/MA	10740867926604	205304	4	351
USA	2398706542952	432185	2	66
AWS/us-east-1	6816032951160	812843	414	196
GitHub	6421343812	23725	1664	1302
VPN	6821002170348	5732	939	55
AWS/us-west-2	26775192	65	6	2
USA/WA	294119284	8	3	2
CHN	5416555080233	837127	1	197
AWS/ap-southeast-1	2008344264	366	366	0
USA/NC	1481725452	197	197	0
MEX/CMX	142082196	603	73	52
JPN/27	8767393848	1382	201	196
BGD/F	9826200	1	1	0
VNM/SG	163114920	14	14	0
JPN	470023199328	56025	2	14
USA/OH	45243686648	3	3	0
SYR	1048128	1	1	0
PRY/ASU	9105612	1	1	0
VNM/HN	148244604	9	9	0
UZB/TK	15590904	1	1	0
HUN/BZ	18866304	1	1	0
GCP/us-east1	26340104	18	4	1
CHN/GD	2037435664	101	4	3
USA/MD	45783216	40	10	5
HKG/NKT	35832876	4	4	0
USA/CA	217443973690	36	16	6
USA/NY	2842404448	59	4	2
ITA/25	14661416460	19902	30	20
FRA/IDF	3316780	13	3	3
VNM/21	21159084	3	3	0
USA/PA	42461583064	3	3	0
IRL/L	15852936	1	1	0
BRA/BA	11332884	2	2	0
IDN/YO	15132348	4	4	0
CHE/VD	4291824	22	2	1
VNM/HP	11332884	2	2	0
ARG/B	36487956	6	6	0
VNM/51	1637700	1	1	0
BRA/SP	30461220	4	4	0
USA/IL	5558156	27	2	2
JAM	10153740	1	1	0
UKR/77	8974596	1	1	0
PER/LMA	3275400	1	1	0
IRQ/BG	16180476	2	2	0
IND/CG	4323528	1	1	0
AUS/SA	110758871256	3	3	0
LBN/BA	3406416	1	1	0
FRA/GES	128055707440	8	6	1
IDN	7926468	1	1	0
PAK/PB	1703208	1	1	0
VNM/DN	15656412	2	2	0
OMN/MA	19783416	2	2	0
BOL/S	8188500	1	1	0
VNM	26203200	4	4	0
ZAF/GP	8450532	2	2	0
ETH/GA	6681816	1	1	0
CHL/RM	25875660	2	2	0
HND/FM	13232616	1	1	0
GBR/ENG	5371656	1	1	0
ARG/S	9105612	2	2	0
VNM/35	10546788	1	1	0
VNM/69	14477268	1	1	0
TGO/M	21486624	2	2	0
AZE/BA	22141704	2	2	0
KWT/KU	5895720	1	1	0
NPL/P1	13887696	1	1	0
VNM/29	3602940	1	1	0
KEN/30	1048128	1	1	0
IRQ	10153740	2	2	0
CAN/ON	13036092	1	1	0
IDN/KS	2358288	1	1	0
IDN/JB	5961228	1	1	0
VNM/54	9105612	1	1	0
JOR/AM	7991976	2	2	0
ALB/11	3995988	1	1	0
COL/SAN	7402404	2	2	0
VNM/20	10808820	1	1	0
NGA/FC	3013368	1	1	0
SAU/02	11070853	3	2	1
MAR	27840900	1	1	0
JOR	11267376	2	2	0
ZAF/WC	4127004	1	1	0
BGD	2030748	1	1	0
TUR/34	1048128	1	1	0
SGP	6812832	1	1	0
VEN/V	39370308	1	1	0
VNM/43	10284756	1	1	0
BRA/RO	3013368	1	1	0
URY/MO	3995988	1	1	0
HKG	15983952	2	2	0
BRA/DF	17163096	2	2	0
EGY/SHR	2685828	1	1	0
BRA/RJ	2030748	1	1	0
BGD/B	8778072	1	1	0
COL/VAC	4585560	1	1	0
USA/FL	6026736	1	1	0
USA/TN	13625664	1	1	0
UKR/51	15001332	1	1	0
EGY/SUZ	4323528	1	1	0
PAK/KP	4978608	1	1	0
DOM/01	10808820	1	1	0
QAT/DA	14477268	1	1	0
IND/MH	22796784	1	1	0
JPN/47	6992554472	1	1	0
USA/CT	42319271016	1	1	0
BGD/E	2685828	1	1	0
VNM/37	10874328	1	1	0
IRQ/KI	8254008	1	1	0
BHR/13	26072184	1	1	0
MYS/02	11856948	1	1	0
ARE/DU	11594916	1	1	0
BLR	1441176	1	1	0
ECU/G	1703208	1	1	0
PHL/40	16835556	1	1	0
ARM/ER	11463900	1	1	0
