week_start	sub-619293/sub-619293_ses-1184980079_ogen.nwb	sub-619296/sub-619296_ses-1187930705_ogen.nwb	sub-619296/sub-619296_ses-1187930705_probe-0_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-1_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-2_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-3_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-4_ecephys.nwb	sub-619296/sub-619296_ses-1187930705_probe-5_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_ogen.nwb	sub-620333/sub-620333_ses-1188137866_probe-0_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-1_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-2_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-3_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-4_ecephys.nwb	sub-620333/sub-620333_ses-1188137866_probe-5_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_ogen.nwb	sub-620334/sub-620334_ses-1189887297_probe-0_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-1_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-2_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-3_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-4_ecephys.nwb	sub-620334/sub-620334_ses-1189887297_probe-5_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_ogen.nwb	sub-625545/sub-625545_ses-1182865981_probe-0_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-1_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-2_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-3_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-4_ecephys.nwb	sub-625545/sub-625545_ses-1182865981_probe-5_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_ogen.nwb	sub-625554/sub-625554_ses-1181330601_probe-0_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-1_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-2_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-3_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-4_ecephys.nwb	sub-625554/sub-625554_ses-1181330601_probe-5_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_ogen.nwb	sub-625555/sub-625555_ses-1183070926_probe-0_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-1_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-2_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-3_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-4_ecephys.nwb	sub-625555/sub-625555_ses-1183070926_probe-5_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_ogen.nwb	sub-630506/sub-630506_ses-1192952695_probe-0_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-1_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-2_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-3_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-4_ecephys.nwb	sub-630506/sub-630506_ses-1192952695_probe-5_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_ogen.nwb	sub-631510/sub-631510_ses-1196157974_probe-0_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-1_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-2_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-3_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-4_ecephys.nwb	sub-631510/sub-631510_ses-1196157974_probe-5_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_ogen.nwb	sub-631570/sub-631570_ses-1194857009_probe-0_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-1_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-2_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-3_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-4_ecephys.nwb	sub-631570/sub-631570_ses-1194857009_probe-5_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_ogen.nwb	sub-633229/sub-633229_ses-1199247593_probe-0_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-1_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-2_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-3_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-4_ecephys.nwb	sub-633229/sub-633229_ses-1199247593_probe-5_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_ogen.nwb	sub-637484/sub-637484_ses-1208667752_probe-0_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-1_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-2_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-3_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-4_ecephys.nwb	sub-637484/sub-637484_ses-1208667752_probe-5_ecephys.nwb
2024-01-22	31812900	27930032	3678924	3066036	12821412	15124578	2525705	21224227	6086853002	11987964	7216316	7214024	6818141	1037064	570926	6419784	7729944	12779410	0	11721422	11710896	4637075	0	0	7605089	582893	5739661	1143496	9084033	11889489	11875106	1158566	6033128	7556726	13237338	7999910	23830710	0	7121568	13630826	6947032	5047684	527258	16792446	8284040	8161541	7798596	11146984	20261856	522753	35175440	14197262	15951497	15915746	22487633	15463260	20572774	23622749	12392852	0	3708553	3534551	6944258	6462552	65307712	25828264	21797038	20256248	5675205	17525382	21089178	10010196	512340	6853298	931934	4589090	4355558	8632402
2024-01-29	2628222256	2553844856	0	0	0	0	0	0	3098200420	0	0	0	0	0	0	127193700	0	0	0	0	0	0	79962001	0	0	0	0	0	0	77919864	0	0	0	0	0	0	83365880	0	0	0	0	0	0	118673688	0	0	0	0	0	0	73351896	0	0	0	0	0	0	81094260	0	0	0	0	0	0	126292924	0	0	0	0	0	0	43058876	0	0	0	0	0	0
2024-02-05	0	0	0	0	0	0	0	0	3036007774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-12	2464194720	0	0	2112144936	2098849816	0	2333920649	0	3036007774	0	2284155820	0	2449359865	2455288224	2429572710	2717870004	0	2119145847	2016911004	2556769901	2278433920	2478626963	5607102906	2546008811	0	2401350893	2452364621	0	2397620977	3619691457	0	1904948975	2280093748	0	0	0	0	0	0	2315010918	0	2482664956	2462530458	5419273324	2402191788	0	0	2480354314	2361574944	2454026753	2773818936	863673996	0	1622594598	2045178347	0	0	0	2433349184	2327689765	0	0	0	2412775016	3308934228	2289348696	2333926885	2033347780	2722964213	0	0	0	1890918740	4631935644	0	2424337967	1781001633	2398659229
2024-02-19	0	0	0	0	0	0	0	0	6072015548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-02-26	42419032	0	0	0	0	0	0	0	27324069966	7795452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97710372	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-03-04	0	2469141920	0	0	0	0	0	0	12144031096	0	0	0	0	0	0	0	0	0	0	0	0	0	2803551453	0	7795452	0	0	0	0	3619691457	0	0	0	0	0	0	2598789798	0	0	0	0	0	0	2728834090	0	0	0	0	0	0	2773818936	0	0	0	0	0	148965192	0	0	0	0	0	0	0	71410640	27877552	0	0	0	0	0	2557113684	0	0	0	0	0	0
2024-03-11	30798576	30490292	5242965	2161764	8668116	10517910	662865	16321730	32570490	7404728	5776387	5740160	12753079	11597244	15939017	54835356	7994305	6171025	2714368	7205880	11597239	18891533	22650598	12539907	10854200	9437075	15576461	10474058	8148906	28172936	7404733	13627976	5810314	2161764	4230978	2730654	12647540	8665518	19785748	6199806	6003636	6039123	6066822	45263968	15325874	6953781	9311984	2695278	13431465	4228093	28790860	5956292	9274999	7260414	6878340	4099231	442341894	36363602	2794148	12207789	2161764	5866549	925798	13838666	6485292	708696	9383993	14021037	12184488	14165288	13300450	25044632	17292973	12235559	22408394	4919003	13713629	5796595
2024-03-18	38492328	52144760	20361536	12406920	22852992	14645682	14411760	10578432	3055332634	8668516	32304800	12569412	1132530	21908244	27597114	65222136	21529488	15623757	23087356	17856579	14389964	33605604	36823251	16114968	32097063	9570556	2405684	10098996	20097653	64245231	24709733	14622585	21987300	21402981	13402098	14349714	6419784	11220330	14597756	566118	14189804	15162528	13902360	67142322	6616308	11559207	10697500	25838502	18202036	19818997	20340456	14388976	10295990	22556364	37210002	8236197	791202170	57791187	16679264	23610576	23039264	23226357	20717900	12446520	76543712	15034780	12853589	18595208	14217226	14700262	20321070	27493728	12391008	9546060	24478787	26804578	25936119	21080820
2024-03-25	43863984	2584747492	2205655008	2115415772	9779428	8225898	13371417	23860734	28972272	13090588	1066840	2137220	11941350	6975208	10845312	28177048	18108784	7151323	6972388	4785850	7577132	17317011	30114722	27236914	19017918	14413357	3352757	19821552	7637830	14608284	13979638	4284623	1833060	14131593	10230672	3103020	22967042	7635852	9253590	7879560	20518648	1592312	21108240	45602584	12615844	14356185	1722904	9012396	8951328	14810462	48125268	5961228	14515639	19641426	21488082	24837494	437610600	35067709	21025488	19961034	7020845	11497911	4471916	20911204	49927824	15051504	7823494	20106424	11368623	15158818	8136582	26801520	24484820	10820670	7905263	15805137	13494648	7038921
