week_start	sub-521885/sub-521885_ses-20200709_behavior+ecephys.nwb	sub-521886/sub-521886_ses-20200716_behavior+ecephys.nwb	sub-521887/sub-521887_ses-20200730_behavior+ecephys.nwb	sub-543393/sub-543393_ses-20200820_behavior+ecephys.nwb	sub-543394/sub-543394_ses-20200827_behavior+ecephys.nwb	sub-546655/sub-546655_ses-20201023_behavior+ecephys.nwb	sub-551397/sub-551397_ses-20210211_behavior+ecephys.nwb	sub-551399/sub-551399_ses-20210128_behavior+ecephys.nwb	sub-569062/sub-569062_ses-20210218_behavior+ecephys.nwb	sub-569064/sub-569064_ses-20210408_behavior+ecephys.nwb	sub-569068/sub-569068_ses-20210304_behavior+ecephys.nwb	sub-569069/sub-569069_ses-20210312_behavior+ecephys.nwb	sub-569070/sub-569070_ses-20210401_behavior+ecephys.nwb	sub-569072/sub-569072_ses-20210422_behavior+ecephys.nwb	sub-569073/sub-569073_ses-20210415_behavior+ecephys.nwb	sub-569073/sub-569073_ses-20210416_behavior+ecephys.nwb	sub-571619/sub-571619_ses-20210319_behavior+ecephys.nwb	sub-571620/sub-571620_ses-20210513_behavior+ecephys.nwb	sub-575102/sub-575102_ses-20210603_behavior+ecephys.nwb	sub-586466/sub-586466_ses-20210729_behavior+ecephys.nwb	sub-586468/sub-586468_ses-20210819_behavior+ecephys.nwb	sub-590479/sub-590479_ses-20210921_behavior+ecephys.nwb	sub-590480/sub-590480_ses-20211111_behavior+ecephys.nwb	sub-599017/sub-599017_ses-20220210_behavior+ecephys.nwb
2023-03-13	236642074	202317693	184549376	301017160	354309268	9738798955	9110028288	5804916736	11516531135	18055222264	19613014151	14343101970	570425344	8128493923	16176343131	6590300373	10108272640	10846470144	16153741564	8318319497	9647976611	10081183216	14797280780	10066329600
2023-03-20	312139546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-03-27	312139546	504307581	428192135	527509576	589190292	14872627051	15202442994	0	24829252031	25890182136	27805845819	22890234750	766038404	13652452423	206698248	0	23171959305	0	0	14282619785	0	12027340272	21088736780	22265170072
2023-04-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2302504059	0	0	0	0	0	0	0	0	0
2023-04-10	312139546	0	0	0	0	0	0	0	0	0	0	0	0	13304265059	782100012	13200523477	0	46493094184	0	0	0	0	0	0
2023-04-17	312139546	0	428192135	527509576	1178380584	0	15202442994	0	24829252031	51780364272	27288590471	0	0	13411857867	28390756907	13200523477	0	23246547092	0	0	0	0	0	22265170072
2023-04-24	312139546	0	428192135	527509576	0	0	0	11687836529	0	25890182136	27288590471	22471663122	0	13304265059	28086865295	0	0	23246547092	0	14282619785	22105059491	0	21088736780	22265170072
2023-05-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2603287920	0	0	0	0	0	0	0	0	0
2023-05-08	0	0	0	0	32199714	0	0	0	0	0	0	0	0	0	1569440664	0	0	0	0	0	0	0	0	0
2023-05-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1130930112	0	761125304	0	0	0	0	0	0	0
2023-05-22	0	226219632	0	291901436	268435456	0	0	0	0	0	0	2161764	0	0	505590744	0	0	0	0	0	0	0	0	0
2023-05-29	0	0	0	2050352	0	0	0	0	0	0	0	0	0	0	595598736	0	0	0	0	0	0	0	0	0
2023-06-05	0	0	0	1639112	0	0	0	0	0	0	0	0	0	0	274544028	0	0	0	0	0	0	0	0	0
2023-06-12	312139546	0	0	1964504	0	0	0	0	0	0	0	0	0	0	619247124	0	0	0	0	0	0	0	0	0
2023-06-19	312139546	0	0	58513712	0	0	0	0	0	0	0	0	1198004900	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	0	0	0	96350688	0	0	0	0	0	0	0	0	0	0	523146888	0	0	0	0	0	0	0	0	0
2023-07-03	0	0	0	21749936	0	0	0	0	0	0	0	0	0	0	771487716	0	0	0	0	0	0	0	0	0
2023-07-10	0	0	0	2429416	0	0	0	0	144745342	117024752	57071751	58351122	0	0	989757839	0	217060370	114577704	79499768	0	53506211	0	0	56330392
2023-07-17	45603596	10519544	0	1918192	0	0	0	0	0	0	2625940424	127307292	0	0	667329996	0	0	0	0	0	0	0	0	0
2023-07-24	0	0	67093708	2284752	0	0	0	0	0	0	91609080	0	0	0	970763052	0	0	0	0	0	0	0	0	0
2023-07-31	0	1008615162	0	1887736	0	14872627051	15202442994	0	24829252031	25890182136	30194025083	0	1124308400	13304265059	26956459247	0	23171959305	0	24332634364	14282619785	0	0	21088736780	0
2023-08-07	0	0	0	1359376	0	0	0	0	0	0	0	0	0	0	797232360	0	0	0	0	0	0	0	0	0
2023-08-14	0	0	10022724	1864544	0	0	0	0	0	0	0	0	0	0	925890072	0	0	0	0	0	0	0	0	0
2023-08-21	0	0	0	1931928	0	0	0	0	0	0	0	0	0	0	809416848	0	0	0	0	0	0	0	0	0
2023-08-28	0	0	428192135	2437504	0	0	0	0	0	0	0	0	0	0	610207020	0	0	0	0	0	0	0	0	302696140
2023-09-04	624279092	0	0	2576376	0	0	0	30939682	0	0	0	0	0	0	734475696	29450956	0	0	0	0	0	0	0	0
2023-09-11	0	0	0	123457776	0	0	0	428315796	0	1870408674	0	0	0	0	602084028	0	0	0	0	0	0	0	0	0
2023-09-18	0	0	0	2197184	0	0	0	0	0	555817316	0	0	0	0	533955708	0	0	0	0	0	0	0	0	0
2023-09-25	0	504307581	0	1751312	0	0	0	0	0	2617543004	0	0	0	0	77889012	0	0	0	0	0	0	0	0	0
2023-10-02	376930940	0	0	955648	0	0	0	46715798	0	33633523599	0	0	0	0	275854188	0	0	0	0	0	0	0	0	0
2023-10-09	0	0	0	574688	0	0	0	0	0	0	0	0	0	0	597760500	0	0	0	0	0	0	0	0	0
2023-10-16	0	0	0	758592	0	0	0	11710240265	0	0	0	22471663122	0	0	349485180	0	20045448	0	0	0	0	0	0	0
2023-10-23	0	504307581	856384270	189640	589190292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-10-30	0	335544320	0	451232	0	0	0	0	0	5242888	0	0	0	0	152371608	0	0	0	0	0	0	0	0	13499074712
2023-11-06	353737126	504307581	0	528132224	0	9193539435	15202442994	0	0	19566412032	37325547399	22471663122	1124308400	26608530118	17902704964	13200523477	20649062944	21579481428	19675933244	0	0	12027340272	21088736780	22265170072
2023-11-13	0	504307581	856384270	0	0	0	0	0	0	0	8787515527	22471663122	0	0	6419784	0	2552760841	2438604948	0	0	2303750307	0	0	0
2023-11-20	0	0	856384270	114985070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-11-27	0	0	0	797232	0	0	0	0	0	433969006	0	0	1124308400	0	0	0	0	0	0	0	0	0	0	0
