week_start	sub-L698/sub-L698_ses-Dendrite1.nwb	sub-L698/sub-L698_ses-Dendrite2.nwb	sub-L698/sub-L698_ses-Dendrite2a.nwb	sub-L698/sub-L698_ses-Dendrite2b.nwb	sub-L731/sub-L731_ses-Dendrite1b.nwb	sub-L734/sub-L734_ses-Dendrite1.nwb	sub-L736/sub-L736_ses-Dendrite1.nwb	sub-L831/sub-L831_ses-Dendrite1a.nwb	sub-L831/sub-L831_ses-Dendrite1b.nwb	sub-L831/sub-L831_ses-Dendrite2.nwb	sub-L882/sub-L882_ses-Dendrite1.nwb	sub-L882/sub-L882_ses-Dendrite2a.nwb	sub-L882/sub-L882_ses-Dendrite2b.nwb	sub-L882/sub-L882_ses-Dendrite3b.nwb	sub-L882/sub-L882_ses-Dendrite4a.nwb	sub-L882/sub-L882_ses-Dendrite4b.nwb	sub-L882/sub-L882_ses-Dendrite4c.nwb	sub-L882/sub-L882_ses-Dendrite5.nwb	sub-L882/sub-L882_ses-Dendrite5F2.nwb	sub-L882/sub-L882_ses-Dendrite5F3.nwb	sub-L882/sub-L882_ses-Dendrite6.nwb	sub-L882/sub-L882_ses-Dendrite7a.nwb	sub-L882/sub-L882_ses-Dendrite7b.nwb	sub-L882/sub-L882_ses-Dendrite7c.nwb	sub-L884/sub-L884_ses-Dendrite1a.nwb	sub-L884/sub-L884_ses-Dendrite1b.nwb	sub-L902/sub-L902_ses-Dendrite1.nwb	sub-L902/sub-L902_ses-Dendrite2.nwb	sub-l691/sub-l691_ses-dendrite1a.nwb	sub-l691/sub-l691_ses-dendrite1b.nwb
2024-07-08	2707016	608576	507672	920496	671168	766216	1502720	265640	216568	0	648728	703184	731264	799024	654560	986784	1141560	365512	399632	654320	1971288	874064	1122512	1781760	516280	1357504	1406328	937552	39081776	41943040
2024-07-15	433136	304288	507672	460248	671168	766216	751360	265640	216568	387976	648728	351592	365632	399512	654560	493392	380520	365512	399632	327160	657096	437032	0	445440	516280	0	468776	468776	97802032	97913800
2024-07-22	866272	0	0	460248	335584	766216	0	265640	216568	387976	0	0	0	0	0	0	380520	365512	399632	327160	657096	437032	561256	445440	516280	678752	468776	0	0	0
2024-07-29	0	0	0	0	335584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399632	0	0	0	0	0	0	0	0	0	0	0
2024-08-26	216568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-09-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	327280	0	0	0	0	0	0	0	0	0	0	678752	0	0	0	0
2024-09-09	433136	304288	507672	920496	335584	766216	1502720	0	0	0	648728	351592	731264	399512	327280	0	380520	0	399632	327160	657096	437032	561256	445440	0	0	0	937552	0	0
2024-09-16	216568	304288	507672	0	671168	766216	1502720	0	433136	387976	1297456	351592	0	0	327280	0	0	731024	399632	327160	1314192	437032	561256	890880	0	0	468776	937552	0	11271288
2024-09-23	649704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468776	0	0	0
2024-09-30	0	0	0	0	671168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561256	0	0	0	0	0	0	0
2024-10-07	0	0	0	0	0	0	751360	0	0	0	0	0	365632	399512	0	0	0	365512	399632	0	0	437032	0	0	0	0	0	468776	0	0
2024-10-21	216568	0	0	0	335584	0	0	0	216568	387976	0	351592	365632	399512	327280	0	380520	365512	0	0	0	0	0	445440	0	0	468776	468776	10874328	0
2024-11-11	216568	0	0	460248	335584	0	0	0	0	0	0	0	0	0	0	493392	0	0	0	0	0	0	0	445440	0	0	0	2343880	0	0
2024-11-25	0	0	0	0	0	0	0	0	0	0	0	0	731264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19848924	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50331648
