region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
CHN	133601824331	10860	38	91
AWS/us-east-1	65648760876	7842	94	54
USA	13226383256	2242	5	16
USA/CA	35196573199	207	44	10
USA/MA	95756750782	2060	4	103
VPN	40916443088	693	366	74
GitHub	1585932756	3626	642	416
AWS/ap-southeast-1	719339884	93	93	0
USA/MD	38891327832	43	43	0
AWS/us-east-2	1601535528	5	5	0
USA/NH	15349330944	18753	3380	2977
GCP/us-east1	173896043360	166	163	1
BGR/02	140000000	7	0	4
USA/WA	272801156	127	34	35
GCP/australia-southeast1	42074809412	62	62	0
AWS/us-west-2	34503021036	68	38	2
DEU/BY	34478821456	32	32	0
TUR/34	45047349932	50	27	18
JPN/13	23091922248	31	31	0
USA/NY	336470368	33	33	0
USA/OH	25991136604	8	8	0
GCP/us-central1	205092869816	231	198	8
KOR/26	34478821456	32	32	0
TUR/35	20418588044	24	24	0
USA/VT	315781424	367	67	67
USA/AZ	34601237320	33	33	0
USA/IL	11822788	14	2	2
MEX/CMX	126680104	374	79	51
ITA/82	34478821456	32	32	0
GBR/ENG	2599964376	23	23	0
FRA	7799920572	114	61	11
GBR	1776041464	15	15	0
USA/DC	64787412	20	20	0
CHE/VD	9570011936	39	31	2
VNM/52	23582880	2	2	0
CHN/GD	1208136	9	0	1
VNM/SG	48148380	5	5	0
CHL/RM	586974768	5	5	0
VNM/34	6026736	1	1	0
ECU/P	6157752	1	1	0
IDN	2358288	1	1	0
IDN/JI	7860960	1	1	0
IND/KA	332237848	1	1	0
VNM/DN	11922456	1	1	0
PHL/00	4323528	1	1	0
BGD/C	9105612	1	1	0
CHN/SH	349939216	2	2	0
IRQ/BG	25941168	4	4	0
KEN/30	14280744	1	1	0
ITA/25	23910420	1	1	0
ESP/CT	253579356	3	3	0
RUS	8057484	1	1	0
UZB/TK	20241972	3	3	0
AZE/BA	16966572	2	2	0
ARG/B	5306148	2	2	0
PAK/PB	14084220	3	3	0
VNM/CT	10808820	1	1	0
MEX/JAL	7598928	1	1	0
IRQ/NI	1506684	1	1	0
VNM	4978608	1	1	0
KOR/11	233806624	6	2	1
BHR/13	9498660	1	1	0
VNM/HN	3144384	1	1	0
JAM	4323528	1	1	0
FRA/IDF	3234720	9	3	3
ESP/AN	125402180	48	4	2
DEU/HE	7926468	1	1	0
OMN/MA	3995988	1	1	0
UKR/30	4978608	1	1	0
KOR/27	401556048	24	3	3
EST/37	112908632	1	1	0
USA/TX	26282192	50	5	1
ARE/DU	112908632	1	1	0
CAN/BC	2213016	12	2	2
ITA/45	20000000	1	0	1
CAN/ON	1236584	5	1	1
ROU/TM	27840900	1	1	0
DEU/MV	8974596	1	1	0
NGA/LA	6485292	1	1	0
NPL	44807472	2	2	0
LBN	1113636	1	1	0
ARG	3668448	1	1	0
BGD	1441176	1	1	0
IND/RJ	8319516	1	1	0
HND/CR	3275400	1	1	0
PAN/9	12970584	1	1	0
BRA/SP	3930480	1	1	0
COL/DC	3340908	1	1	0
SGP	1113636	1	1	0
COL/ANT	3995988	1	1	0
