region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	1079566914	148	64	11
CAN/ON	623584556	22	22	0
VPN	16297150410	2005	566	100
USA/CA	8232998664	346	299	11
HKG	4121254718	155	155	0
USA	2846625221	239	114	12
HKG/KKC	390217610	21	12	1
CHN	6173133514	1769	200	34
CHN/BJ	1870753668	66	66	0
USA/NY	1767047427	361	76	14
USA/PA	5467547818	354	194	6
DEU/NI	1247169112	44	44	0
GH-actions	5739690035	4016	738	582
CHE/VD	974402906	40	35	1
KOR/30	311792278	11	11	0
USA/IL	1363229832	83	54	2
TUR/34	353947174	14	12	2
USA/WA	4970199955	655	98	13
GBR/ENG	1558961390	55	55	0
USA/MI	1261981741	108	49	2
USA/FL	1083005486	105	35	1
USA/GA	2390150149	73	73	0
RUS	623584556	22	22	0
USA/VA	531386867	180	34	131
AWS/ap-southeast-1	346369484	22	22	0
GCP/us-west1	935376834	33	33	0
SGP	1934620927	77	70	2
USA/CT	623584556	22	22	0
USA/MA	3842417658	1093	68	37
IND	311792278	11	11	0
JPN/28	623584556	22	22	0
USA/KS	623584556	22	22	0
CHN/SH	830655432	29	28	1
MYS/14	935376834	33	33	0
AUT/9	623584556	22	22	0
CHN/ZJ	1887746100	682	67	10
CHE/ZH	311792278	11	11	0
MEX/CMX	540842928	682	128	51
DEU/BY	342860406	13	11	1
CAN/QC	1383843312	46	46	0
USA/MD	431810227	56	22	11
JPN/13	624555462	22	22	0
BEL/VLG	311792278	11	11	0
VNM/SG	964410059	118	34	2
AUS	623584556	22	22	0
GCP/asia-east1	311792278	11	11	0
TWN/TXG	623584556	22	22	0
AWS/ap-northeast-1	309258566	7	7	0
FRA/IDF	280699998	178	26	13
ITA/45	309258566	62	0	7
USA/AZ	800578653	25	25	0
DEU/BW	311792278	11	11	0
GCP/us-west4	623584556	22	22	0
USA/RI	311792278	11	11	0
KOR/26	311792278	11	11	0
TWN/HSQ	311792278	11	11	0
TWN/TPE	384869660	12	12	0
USA/TX	373842187	6	6	0
GCP/us-east4	302698047	8	8	0
USA/ND	311792278	11	11	0
USA/TN	311792550	45	11	1
PRT/15	623584556	22	22	0
TWN	301015939	5	5	0
HKG/NKT	1314796735	62	40	4
AWS/us-east-2	69522510	3	2	1
IDN/BA	311792278	11	11	0
USA/UT	12676296	49	11	12
USA/ID	311792278	11	11	0
GCP/us-central1	919655380	24	24	0
KOR/29	623584556	22	22	0
KOR/41	1648427048	361	13	3
TUR/48	309258566	7	7	0
JPN/26	705931559	19	18	1
KOR	311792278	11	11	0
ISL/1	623584556	22	22	0
USA/LA	311792278	11	11	0
AUS/WA	330267091	392	11	11
USA/CO	311792278	11	11	0
CHN/GD	623584556	22	22	0
CAN/BC	16732756	70	13	12
JPN	311792278	11	11	0
KOR/46	311792278	11	11	0
KOR/11	311792278	11	11	0
PRT/11	1200940	7	1	1
CHL/RM	78817486	7	7	0
ECU/P	600470	1	1	0
MAR/07	600470	1	1	0
USA/OH	15599330	76	5	2
TWN/TNN	5445194	177	1	2
CHE/AG	148760686	3	3	0
AWS/us-west-2	31173330	110	6	2
NLD/ZH	105853886	21	2	1
ESP/AN	13429140	1	1	0
VNM/26	9171120	1	1	0
VEN	1768716	1	1	0
BGD	5175132	1	1	0
NOR/50	11605197	19	0	3
EST/37	584940	1	1	0
IDN/BT	584940	1	1	0
BRA/RS	584940	1	1	0
IRQ/BA	584940	1	1	0
VNM/HN	12703920	2	2	0
USA/OR	97438814	3	1	1
ESP/PV	4706464	261	0	1
NLD	90493550	4	1	1
BLZ/BZ	14010627	27	2	1
