week_start	sub-3148/sub-3148_ses-20211006T112406_ecephys+icephys.nwb	sub-3436/sub-3436_ses-20211011T115848_ecephys+icephys.nwb
2022-07-18	3883925504	4029427333
2022-07-25	4044303178	0
2022-08-08	0	4831838208
2022-08-22	10126043978	0
2022-08-29	10126043978	8047570565
2022-10-17	0	8064047491
2022-10-31	0	461123205
2022-11-07	0	471719317
2022-11-28	0	8047570565
2023-01-02	10126043978	8047570565
2023-01-09	15561889	0
2023-02-13	0	864824965
2023-02-20	4909323924	0
2023-02-27	6437308	32151951
2023-04-03	59459385	464305933
2023-04-10	9622780	9224596
2023-04-17	54648464	52723908
2023-04-24	44662034	93834999
2023-05-01	191023670	50236610
2023-05-08	45524766	91711296
2023-05-15	185615418	50236610
2023-05-22	92643206	116364036
2023-05-29	89622237	94238517
2023-06-05	42206566	65499150
2023-06-12	106278663	35560338
2023-06-19	0	520366786
2023-06-26	26112827	1138491279
2023-07-03	40946588	162752728
2023-07-10	58267592	8220381765
2023-07-17	64803039	109540633
2023-07-24	294920327	267307501
2023-07-31	10250210084	8228844216
2023-08-07	117198824	76243364
2023-08-14	38623848	135304172
2023-08-21	99080624	85349184
2023-08-28	80300440	150030988
2023-09-04	136775376	51855056
2023-09-11	84680464	75440384
2023-09-18	70611296	56546576
2023-09-25	7100948	44583776
2023-10-02	78243156	38144444
2023-10-09	63509520	30587948
2023-10-16	5561829516	29154660
2023-10-23	0	11913132
2023-10-30	95563332	53975552
2023-11-06	25351048	49244604
2023-11-13	22203744	41689314034
2023-11-20	0	39047315868
2023-12-04	531573578	531993058
2023-12-11	0	3146808
2024-01-22	164736478	352547953
2024-02-05	6370944	0
2024-03-04	11281880	628895365
2024-03-11	256278244	194844364
2024-03-18	289636604	509634442
2024-03-25	798287508	1016278571
2024-04-01	352964774	229817989
2024-04-08	10389879940	8982482396
2024-04-15	1263423570	723792803
2024-04-22	1159153825	237623157
2024-04-29	2256304164	10240643728
2024-05-06	48848402	2168196741
2024-05-13	1469316774	414858755
2024-05-20	1511376206	10493952
2024-05-27	1142300636	2192144033
2024-06-03	984580096	348894460
2024-06-10	822191764	0
2024-06-17	10126043978	0
2024-06-24	0	25019228
2024-07-08	20847603764	94371840
2024-07-15	443177156	0
2024-07-22	53513078	8047570565
2024-07-29	10138653138	10020964
2024-08-12	39752036	8047570565
2024-08-26	11414608	193271529
2024-09-02	22407017494	0
2024-09-09	543436447	533272350
2024-09-16	119084902	699281029
2024-09-23	1057904276	366751365
2024-09-30	20971520	0
2024-10-14	9556416	0
2024-10-21	531573578	607923845
2025-02-03	371744118	0
2025-02-10	681644888	20440112
2025-03-03	0	66762184
2025-03-10	0	4114568
2025-03-31	50768460	0
2025-04-21	10126043978	42273868
2025-05-05	4457323360	18448309465
2025-06-23	320291022	537945381
2025-07-14	333528118	248787801
2025-07-21	4666163200	0
2025-07-28	9954600	2961976965
2025-08-04	87069568	0
2025-08-25	0	2044723200
2025-09-29	0	91078232
2025-10-06	0	14348084019
2025-12-01	26611250442	8047570565
2025-12-15	3602839310	15130992
2026-01-12	20971520	8047570565
2026-01-26	0	4225511045
2026-02-16	0	8051685133
2026-03-09	29491200	71002697
