week_start	sub-KI/sub-KI_ses-IEFD 1_ophys.nwb	sub-KI/sub-KI_ses-IEFD 2_ophys.nwb	sub-KI/sub-KI_ses-IEFD 3_obj-16qibz9_ophys.nwb	sub-KI/sub-KI_ses-IEFD 4_ophys.nwb	sub-KI/sub-KI_ses-IEFD 5_ophys.nwb	sub-KO/sub-KO_ses-IEFD 1_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-1l5tncd_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-3mehpf_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-nfif6m_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-r4kaq0_ophys.nwb	sub-MouseIDs/sub-MouseIDs_ses-Spreadsheet_ophys.nwb	sub-Western-Blots/sub-Western-Blots_ses-CreValidation_ophys.nwb	sub-b433-5/sub-b433-5_ses-DRG 1H9 1_ophys.nwb	sub-b433-5/sub-b433-5_ses-DRG 1H9 2_ophys.nwb	sub-b433-5/sub-b433-5_ses-Sciatic 1H9 1_ophys.nwb	sub-b433-5/sub-b433-5_ses-Sciatic 1H9 2_ophys.nwb	sub-b433-5/sub-b433-5_ses-SpinalCord 1H9 1_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 1_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 2_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 3_ophys.nwb	sub-b490-0/sub-b490-0_ses-DRG 1H9 1_ophys.nwb	sub-b490-0/sub-b490-0_ses-DRH 1H9 2_ophys.nwb	sub-b490-0/sub-b490-0_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-0/sub-b490-0_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-0/sub-b490-0_ses-SpinalCord 1H9 1_ophys.nwb	sub-b490-1/sub-b490-1_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-1/sub-b490-1_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-2/sub-b490-2_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-2/sub-b490-2_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-3/sub-b490-3_ses-DRG 1H9 1_ophys.nwb	sub-b490-3/sub-b490-3_ses-DRG 1H9 2_ophys.nwb	sub-b490-3/sub-b490-3_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-3/sub-b490-3_ses-Sciatic 1H9 2_ophys.nwb	sub-b522-3/sub-b522-3_ses-DRG 1H9 1_ophys.nwb	sub-b522-3/sub-b522-3_ses-DRG 1H9 2_ophys.nwb	sub-b522-3/sub-b522-3_ses-Sciatic 1H9 1_ophys.nwb	sub-b522-3/sub-b522-3_ses-Sciatic 1H9 2_ophys.nwb	sub-b534-0-/sub-b534-0-_ses-Sciatic 1H9 1_ophys.nwb	sub-b535-0/sub-b535-0_ses-Sciatic 1H9 1_ophys.nwb	sub-b535-0/sub-b535-0_ses-Sciatic 1H9 2_ophys.nwb	sub-b535-7/sub-b535-7_ses-Sural 1_ophys.nwb	sub-b535-7/sub-b535-7_ses-Sural 2_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 1_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 2_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 3_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 1_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 2_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 3_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 1_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 2_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 3_ophys.nwb	sub-b539-6/sub-b539-6_ses-Sural 1_ophys.nwb	sub-b539-6/sub-b539-6_ses-Sural 2.nwb	sub-b539-6/sub-b539-6_ses-Sural 3_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 1_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 2_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 3_ophys.nwb	sub-b548-2/sub-b548-2_ses-DRG 1H9 1_ophys.nwb	sub-b548-2/sub-b548-2_ses-DRG 1H9 2_ophys.nwb	sub-b553-1/sub-b553-1_ses-Sciatic 1H9 1_ophys.nwb	sub-b553-1/sub-b553-1_ses-Sciatic 1H9 2_ophys.nwb	sub-b596-0/sub-b596-0_ses-SpinalCord 1H9 1_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-DRG 1H9 2_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-Sciatic 1H9 1_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-Sciatic 1H9 2_ophys.nwb	sub-b596-1/sub-b596-1_ses-DRG 1H9 1_ophys.nwb	sub-b596-6/sub-b596-6_ses-SpinalCord 1H9 1_ophys.nwb	sub-b596-7-/sub-b596-7-_ses-DRG 1H9 1_ophys.nwb	sub-b596-7-/sub-b596-7-_ses-DRG 1H9 2_ophys.nwb	sub-b596-7/sub-b596-7_ses-SpinalCord 1H9 1_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 1_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 2_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 3_ophys.nwb	sub-b597-6/sub-b597-6_ses-DRG 1H9 1_ophys.nwb	sub-b597-6/sub-b597-6_ses-DRG 1H9 2_ophys.nwb	sub-b597-6/sub-b597-6_ses-SpinalCord 1H9 1_ophys.nwb	sub-b601-1/sub-b601-1_ses-DRG 1H9 1_ophys.nwb	sub-b601-1/sub-b601-1_ses-DRG 1H9 2_ophys.nwb	sub-b661-10/sub-b661-10_ses-DRG 1H9 1_ophys.nwb	sub-b661-10/sub-b661-10_ses-DRG 1H9 2_ophys.nwb	sub-b707-4/sub-b707-4_ses-DRG 1H9 1_ophys.nwb	sub-b707-4/sub-b707-4_ses-DRG 1H9 2_ophys.nwb	sub-b732-0/sub-b732-0_ses-DRG 1H9 1_ophys.nwb	sub-b732-0/sub-b732-0_ses-DRG 1H9 2_ophys.nwb	sub-b732-2/sub-b732-2_ses-DRG 1H9 1_ophys.nwb	sub-b732-2/sub-b732-2_ses-DRG 1H9 2_ophys.nwb
2025-11-24	21097160	8916415	0	0	0	0	0	0	0	0	0	0	61333036	73458541	36603763	23752838	276820480	8206675	11354932	5354632	53296892	34504196	34620196	31451008	180028725	25289672	52382496	65770300	45345956	32129142	21597602	40721232	31592438	35640846	39266533	21186347	27903846	29067813	30823412	32492428	8999188	6042204	2897632	9447488	7565730	7415200	8347940	7792979	10563536	9860356	3381519	2993362	372240	10159392	5991981	10930280	10336083	0	0	39160150	32542890	116699008	8188500	51781654	29443490	39362376	115307192	46542064	15651548	147076521	6495700	4355427	6185044	28024312	28324296	273393906	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	0	29935564	3201142	11300172	12515612	15862688	8581548	20055200	21472032	4506044	8450532	28319574	0	0	0	19110713	0	0	0	22421300	0	0	0	0	0	0	0	0	10001190	0	0	0	18885360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20835128	9452018	4127004	8450532	0	0	4192512	7860960	14075732	0	17807200	4192512	4127004	0	0	0	25211042	8450532	8254008	21260604	12712136	21244525	16642616	15426114	21151044	18293914	22941572	20704112	24727584
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	17612160	29826258	0	20277789	0	0	0	0	0	4921882	0	0	0	0	0	0	0	0	9775652	0	0	0	5580884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4743560	0	0	0	0	0	0	0	14010224	0	8772584	0	0	0	0	0	17738361	0	0	664768	0	18078567	0	21786054	0	4893702	0	13966824	0
2025-12-15	0	0	29740944	0	12759468	20973978	21365360	21496376	0	8385024	2253022	17375708	42682959	29615118	12708552	28257451	6878340	2845093	2838733	5683236	60193818	10153740	0	19705710	10808820	9105612	32447262	9040104	19563644	58024058	19848924	15715856	22022503	29272026	10153740	34004037	26205811	24032589	5699196	18637256	5744778	8401500	1271712	5123960	2521910	7880154	5288082	5239626	5116704	0	2529915	9797535	372240	7571085	8351277	5563906	0	26322676	13298124	8254008	10808820	22141704	14673792	0	20619257	53335579	260780090	43235180	21325798	0	6051423	5928291	1939477	51654791	44849984	10219248	57277648	23051644	30091530	10415772	37061884	20635020	36239078	6681816	37991980	24486132
2025-12-22	0	0	0	0	0	0	11539160	0	0	0	0	0	0	0	0	0	235929600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12146059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4115352	0	0	0	0	0	3870374	0	0
2025-12-29	0	16260087	0	0	0	0	0	0	0	0	0	0	0	0	0	8731587	0	0	0	0	0	0	0	0	0	9849483	0	0	14320764	0	0	5230096	0	0	0	0	0	0	0	0	0	2800500	0	0	0	2626718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8924030	0	0	10858228
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	23262806	15527031	0	0	0	0	0	0	0	38119337	0	6467572	0	199229440	0	0	0	0	17862150	0	0	9311711	27139368	0	5242880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2523695	0	0	0	28994996	0	0	5242880	0	0	0	0	14468780	0	32377068	0	0	0	0	0	9222321	0	0	15226920	0	18994585	0	26699154	0	28522692	0	23622876	0
2026-01-12	0	0	42589472	0	26093916	0	11539160	0	0	0	4506044	0	0	0	20277789	0	375758180	0	0	0	26210445	24218600	0	0	0	0	0	20442636	0	0	0	0	0	0	0	0	26728006	10406925	0	0	0	2800500	0	0	7565730	0	0	0	0	0	5059830	0	558360	0	0	5563906	0	0	0	0	33115961	0	34777878	0	0	0	0	0	0	0	0	1976097	0	0	0	0	44005152	18716464	0	0	0	0	14166910	24841894	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	5232018	17828235	17168598	0	0	0	0	0	0	4856374	0	0	0	0	0	0	0	0	13997178	0	0	0	13501000	0	0	0	0	0	0	0	0	0	0	0	0	0	2619813	2558352	0	0	0	0	0	0	0	0	9506382	0	0	0	0	0	0	0	9003106	0	13423652	0	0	0	0	0	13807881	15350128	0	18562984	0	9824559	0	19112692	0	5009348	0	9381264	0
2026-01-26	10485760	0	10485760	10485760	0	19670756	0	0	5242880	0	0	22238518	18221283	0	0	0	0	0	0	2841618	23235759	6866420	0	0	0	0	0	10485760	0	36828480	0	0	0	21087638	0	0	0	0	0	10186724	2872389	0	1271712	0	0	0	0	0	0	2448936	0	0	0	0	2783759	2781953	0	5051838	5242880	7921494	0	188464036	0	0	0	13944716	163921186	17610676	17133286	192101517	0	1976097	0	12728469	0	209715200	8984284	0	23645653	5089344	20165300	14537200	18010672	0	13770300	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	2253022	4929188	4876134	0	0	0	0	0	0	0	5511454	0	0	5242880	0	0	5242880	0	0	12381012	9872118	0	0	4984960	5242880	0	0	0	5242880	0	0	0	0	0	0	0	2644041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	10485760	19081563	0	27860512	0	0	0	0	1939477	8642287	0	0	23720780	0	5130143	0	13887696	0	13721912	0	22736892	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	16704540	9050163	0	0	0	0	0	0	0	8983378	0	0	0	0	0	0	0	0	5153598	0	0	0	726940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13652648	0	0	0	0	0	0	0	4876102	0	322052	0	0	0	0	0	5034578	0	0	9306980	0	9955575	0	340006	0	5941830	0	9315756	0
2026-02-16	0	0	0	0	0	0	0	0	11539160	8697972	2253022	17268532	0	0	7738220	375747	218471780	0	0	0	5539817	0	18547040	204800	157286400	0	8450532	8065760	0	8982076	0	6886616	10219248	8814002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24267456	0	0	0	52428800	0	0	0	8726819	104857600	4580072	0	52428800	0	0	0	9227090	0	209715200	4791772	0	23804950	0	15835212	0	19160888	0	20343952	16101108
