week_start	sub-KI/sub-KI_ses-IEFD 1_ophys.nwb	sub-KI/sub-KI_ses-IEFD 2_ophys.nwb	sub-KI/sub-KI_ses-IEFD 3_obj-16qibz9_ophys.nwb	sub-KI/sub-KI_ses-IEFD 4_ophys.nwb	sub-KI/sub-KI_ses-IEFD 5_ophys.nwb	sub-KO/sub-KO_ses-IEFD 1_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-1l5tncd_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-3mehpf_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-nfif6m_ophys.nwb	sub-KO/sub-KO_ses-IEFD 2_obj-r4kaq0_ophys.nwb	sub-MouseIDs/sub-MouseIDs_ses-Spreadsheet_ophys.nwb	sub-Western-Blots/sub-Western-Blots_ses-CreValidation_ophys.nwb	sub-b433-5/sub-b433-5_ses-DRG 1H9 1_ophys.nwb	sub-b433-5/sub-b433-5_ses-DRG 1H9 2_ophys.nwb	sub-b433-5/sub-b433-5_ses-Sciatic 1H9 1_ophys.nwb	sub-b433-5/sub-b433-5_ses-Sciatic 1H9 2_ophys.nwb	sub-b433-5/sub-b433-5_ses-SpinalCord 1H9 1_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 1_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 2_ophys.nwb	sub-b485-5/sub-b485-5_ses-Sural 3_ophys.nwb	sub-b490-0/sub-b490-0_ses-DRG 1H9 1_ophys.nwb	sub-b490-0/sub-b490-0_ses-DRH 1H9 2_ophys.nwb	sub-b490-0/sub-b490-0_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-0/sub-b490-0_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-0/sub-b490-0_ses-SpinalCord 1H9 1_ophys.nwb	sub-b490-1/sub-b490-1_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-1/sub-b490-1_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-2/sub-b490-2_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-2/sub-b490-2_ses-Sciatic 1H9 2_ophys.nwb	sub-b490-3/sub-b490-3_ses-DRG 1H9 1_ophys.nwb	sub-b490-3/sub-b490-3_ses-DRG 1H9 2_ophys.nwb	sub-b490-3/sub-b490-3_ses-Sciatic 1H9 1_ophys.nwb	sub-b490-3/sub-b490-3_ses-Sciatic 1H9 2_ophys.nwb	sub-b522-3/sub-b522-3_ses-DRG 1H9 1_ophys.nwb	sub-b522-3/sub-b522-3_ses-DRG 1H9 2_ophys.nwb	sub-b522-3/sub-b522-3_ses-Sciatic 1H9 1_ophys.nwb	sub-b522-3/sub-b522-3_ses-Sciatic 1H9 2_ophys.nwb	sub-b534-0-/sub-b534-0-_ses-Sciatic 1H9 1_ophys.nwb	sub-b535-0/sub-b535-0_ses-Sciatic 1H9 1_ophys.nwb	sub-b535-0/sub-b535-0_ses-Sciatic 1H9 2_ophys.nwb	sub-b535-7/sub-b535-7_ses-Sural 1_ophys.nwb	sub-b535-7/sub-b535-7_ses-Sural 2_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 1_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 2_ophys.nwb	sub-b539-0/sub-b539-0_ses-Sural 3_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 1_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 2_ophys.nwb	sub-b539-1/sub-b539-1_ses-Sural 3_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 1_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 2_ophys.nwb	sub-b539-2/sub-b539-2_ses-Sural 3_ophys.nwb	sub-b539-6/sub-b539-6_ses-Sural 1_ophys.nwb	sub-b539-6/sub-b539-6_ses-Sural 2.nwb	sub-b539-6/sub-b539-6_ses-Sural 3_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 1_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 2_ophys.nwb	sub-b545-0/sub-b545-0_ses-Sural 3_ophys.nwb	sub-b548-2/sub-b548-2_ses-DRG 1H9 1_ophys.nwb	sub-b548-2/sub-b548-2_ses-DRG 1H9 2_ophys.nwb	sub-b553-1/sub-b553-1_ses-Sciatic 1H9 1_ophys.nwb	sub-b553-1/sub-b553-1_ses-Sciatic 1H9 2_ophys.nwb	sub-b596-0/sub-b596-0_ses-SpinalCord 1H9 1_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-DRG 1H9 2_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-Sciatic 1H9 1_ophys.nwb	sub-b596-1-/sub-b596-1-_ses-Sciatic 1H9 2_ophys.nwb	sub-b596-1/sub-b596-1_ses-DRG 1H9 1_ophys.nwb	sub-b596-6/sub-b596-6_ses-SpinalCord 1H9 1_ophys.nwb	sub-b596-7-/sub-b596-7-_ses-DRG 1H9 1_ophys.nwb	sub-b596-7-/sub-b596-7-_ses-DRG 1H9 2_ophys.nwb	sub-b596-7/sub-b596-7_ses-SpinalCord 1H9 1_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 1_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 2_ophys.nwb	sub-b597-4/sub-b597-4_ses-Sural 3_ophys.nwb	sub-b597-6/sub-b597-6_ses-DRG 1H9 1_ophys.nwb	sub-b597-6/sub-b597-6_ses-DRG 1H9 2_ophys.nwb	sub-b597-6/sub-b597-6_ses-SpinalCord 1H9 1_ophys.nwb	sub-b601-1/sub-b601-1_ses-DRG 1H9 1_ophys.nwb	sub-b601-1/sub-b601-1_ses-DRG 1H9 2_ophys.nwb	sub-b661-10/sub-b661-10_ses-DRG 1H9 1_ophys.nwb	sub-b661-10/sub-b661-10_ses-DRG 1H9 2_ophys.nwb	sub-b707-4/sub-b707-4_ses-DRG 1H9 1_ophys.nwb	sub-b707-4/sub-b707-4_ses-DRG 1H9 2_ophys.nwb	sub-b732-0/sub-b732-0_ses-DRG 1H9 1_ophys.nwb	sub-b732-0/sub-b732-0_ses-DRG 1H9 2_ophys.nwb	sub-b732-2/sub-b732-2_ses-DRG 1H9 1_ophys.nwb	sub-b732-2/sub-b732-2_ses-DRG 1H9 2_ophys.nwb
2025-11-24	21097160	13501975	0	0	0	0	0	0	0	0	0	0	61333036	77716561	36603763	23752838	317034340	8206675	11354932	8196250	57985105	34504196	34620196	34379502	222306098	25289672	56509500	65770300	48132384	32129142	21597602	41077088	35850458	36004316	39642588	21186347	27903846	29067813	31229250	32492428	11871577	6042204	2897632	9447488	10087640	7415200	8347940	7792979	13121888	12309292	5543283	2993362	372240	10159392	5991981	13092044	10336083	0	0	55999290	36735402	141864832	20700528	51781654	38068623	52009004	144600020	46864116	24040156	147076521	6495700	8307621	10063998	46859043	32713332	273393906	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	0	29935564	15978786	13461936	19205262	19989692	8581548	20055200	21472032	4506044	8450532	28694139	0	0	0	19110713	0	0	0	26417288	0	0	0	0	0	0	0	0	10001190	0	0	0	18885360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20835128	17840626	4127004	8450532	0	8647056	4192512	7860960	18464768	0	26514276	4192512	8254008	0	0	0	25533813	8450532	8254008	21260604	12712136	21244525	16642616	15426114	21151044	18293914	22941572	20704112	24727584
2025-12-08	0	0	0	0	0	0	0	0	0	0	0	18348836	29826258	0	20277789	0	0	0	0	0	4921882	0	0	0	0	0	0	0	0	10139686	0	0	0	5580884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5051838	0	0	0	0	0	0	0	14352019	0	9094636	0	0	0	0	0	17738361	0	0	9049792	0	18078567	0	21786054	0	9282738	0	13966824	0
2025-12-15	0	8319516	39829176	0	12759468	20973978	21365360	21496376	9957216	8385024	2253022	17375708	51002475	29615118	12708552	28257451	382636520	5690186	2838733	5683236	60193818	10153740	0	19705710	10808820	9105612	32447262	9040104	19563644	58388092	34963922	15715856	32438275	29272026	10153740	34004037	26205811	24032589	13822188	24926024	8617167	8401500	1271712	5123960	5043820	7880154	7932123	5239626	7675056	2448936	5059830	9797535	558360	7571085	8351277	5563906	0	33659572	13298124	21418382	22953261	22141704	14673792	0	20619257	54019169	260780090	50894128	21325798	380845197	6051423	5928291	1939477	55781795	44849984	371043722	61404652	23051644	30876532	10415772	37401890	20635020	45244414	6681816	37991980	32412600
2025-12-22	0	0	0	0	0	0	11539160	0	0	0	0	0	0	0	0	0	262144000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12146059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4115352	0	0	0	0	0	3870374	0	0
2025-12-29	0	16260087	0	0	0	0	0	0	0	0	0	0	0	0	0	13974467	0	0	0	0	0	0	0	0	0	15092363	0	0	14320764	0	0	5230096	0	0	0	0	0	0	0	0	0	2800500	0	0	0	2626718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8924030	0	0	10858228
2026-01-05	0	0	0	0	0	0	0	0	0	0	0	28151196	15527031	0	0	0	0	0	0	0	38119337	0	11710452	0	209715200	0	0	0	0	17862150	0	0	14554591	27502838	0	10485760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2523695	0	0	0	28994996	0	0	6901561	0	0	0	0	14810575	0	32377068	0	0	0	0	0	9545092	0	0	15559304	0	18994585	0	27039160	0	33385654	0	27749880	0
2026-01-12	0	0	42589472	0	26093916	0	11539160	0	0	0	4506044	0	0	0	20277789	0	375758180	0	0	0	26210445	24218600	0	0	0	0	0	30928396	0	0	0	0	0	0	0	0	26728006	20813850	0	0	0	2800500	0	0	7565730	0	0	0	0	0	5059830	0	558360	0	0	5563906	0	0	0	0	33115961	0	34777878	0	0	0	0	0	0	0	0	1976097	0	0	0	0	44005152	18716464	0	0	0	0	14166910	28712268	0	0
2026-01-19	0	0	0	0	0	0	0	0	0	0	0	5232018	18202800	17168598	0	0	0	0	0	0	9348063	0	0	0	0	0	0	0	0	13997178	0	0	0	13501000	0	0	0	0	0	0	0	0	0	0	0	0	0	2619813	2558352	0	0	0	0	0	0	0	0	12192210	0	0	0	0	0	0	0	9003106	0	13423652	0	0	0	0	0	13807881	15350128	0	18562984	0	9824559	0	19112692	0	5009348	0	9381264	0
2026-01-26	10485760	0	10485760	10485760	0	19670756	0	0	5242880	0	0	39008566	23838728	0	0	0	0	0	0	2841618	23235759	6866420	0	0	0	0	0	10485760	0	36828480	0	0	0	21087638	0	0	0	0	0	10186724	2872389	0	1271712	0	0	0	0	0	0	2448936	0	0	0	0	2783759	2781953	0	5051838	5242880	13164374	0	214678436	0	0	0	18137228	174406946	17932728	17133286	192101517	0	1976097	0	17702308	0	225443840	9649052	0	23645653	10332224	28484816	14537200	18353582	0	22089816	0
2026-02-02	0	0	0	0	0	0	0	0	0	0	2253022	4929188	4876134	0	0	0	0	0	0	0	9703966	0	0	5242880	0	0	10565350	0	0	12745046	9872118	0	0	4984960	5242880	0	0	0	5242880	0	0	0	0	0	0	0	2644041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	10485760	19081563	0	28504616	0	0	0	0	1939477	12769291	0	0	23720780	0	5915145	0	14227702	0	14064822	0	23090808	0
2026-02-09	0	0	0	0	0	0	0	0	0	0	0	16704540	13701231	0	0	0	0	0	0	0	13175890	0	0	0	0	0	0	0	0	5153598	0	0	0	1090410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13652648	0	0	0	0	0	0	0	9344901	0	5295172	0	0	0	0	0	9423614	0	0	9639364	0	9955575	0	680012	0	5941830	0	9315756	0
2026-02-16	0	16260087	0	0	0	0	0	0	11539160	8697972	2253022	17268532	0	0	7738220	375747	218471780	0	0	0	5539817	0	18547040	204800	157286400	0	8450532	8065760	0	8982076	0	6886616	10219248	8814002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24267456	0	0	0	104857600	0	0	0	8726819	157286400	4580072	0	52428800	0	0	0	9227090	0	209715200	4791772	0	23804950	0	15835212	0	19160888	0	20343952	16101108
