week_start	sub-Temp-pref-F32-B24-5dpf-11-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-11-unsorted-nac_ses-20231024T121300_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-12-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-12-unsorted-nac_ses-20231024T124500_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-13-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-13-unsorted-nac_ses-20231024T131600_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-14-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-14-unsorted-nac_ses-20231024T134900_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-15-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-15-unsorted-nac_ses-20231024T142000_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-16-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-16-unsorted-nac_ses-20231024T145500_behavior.nwb	sub-Temp-pref-F32-B24-5dpf-17-unsorted-nac/sub-Temp-pref-F32-B24-5dpf-17-unsorted-nac_ses-20231024T152600_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-01-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-01-unsorted-nac_ses-20231019T113100_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-02-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-02-unsorted-nac_ses-20231019T120400_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-03-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-03-unsorted-nac_ses-20231019T125600_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-04-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-04-unsorted-nac_ses-20231019T132700_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-05-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-05-unsorted-nac_ses-20231019T140400_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-06-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-06-unsorted-nac_ses-20231019T150200_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-07-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-07-unsorted-nac_ses-20231019T153500_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-08-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-08-unsorted-nac_ses-20231019T161800_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-09-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-09-unsorted-nac_ses-20231019T165000_behavior.nwb	sub-Temp-pref-F32-B24-7dpf-10-unsorted-nac/sub-Temp-pref-F32-B24-7dpf-10-unsorted-nac_ses-20231019T172200_behavior.nwb
2025-03-10	2757530	4127004	4585560	6099392	6830861	8716923	4045526	11453164	7096580	0	7937964	4127004	6782139	2741063	4840878	9059982	8670042
2025-04-21	9704346	9688931	9971791	9705300	9912761	9701727	9812694	9687416	9873396	9758633	9709200	9872612	9733135	9818951	9821614	9782866	9916990
2025-06-23	128008	159242	180562	154425	187130	170545	144953	276236	159122	100740	213017	255134	170676	116884	196591	196601	154525
2025-07-14	132875	149756	192116	238725	208215	170545	233988	159198	233940	217800	149756	117020	170676	250128	196591	154429	206249
2025-07-28	9704346	0	0	0	9912761	9701727	9812694	0	0	0	0	0	0	0	0	0	0
2025-08-04	0	0	0	0	0	0	0	9687416	0	0	9709200	0	0	9818951	0	0	0
2025-08-11	0	9688931	0	0	0	0	0	0	0	0	0	0	0	0	9821614	9782866	9916990
2025-08-18	0	0	0	0	0	0	0	0	0	0	0	0	9733135	0	0	0	0
2025-08-25	0	9688931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	0	9873396	9758633	0	0	0	0	0	0	0
2025-09-08	0	0	0	9705300	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	2418531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	13232616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	18416910	4061496	8319516	0	15742973	16580067	15708414	13879928	8319516	16767989	9709200	18323144	17987143	6354276	4127004	18233398	20005222
2025-12-29	0	0	9971791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-01-05	0	0	0	0	0	0	0	0	0	0	9709200	0	0	0	0	0	0
2026-01-12	0	0	29915373	0	0	0	9812694	19374832	0	19517266	0	9872612	0	0	19643228	19565732	0
2026-01-19	0	0	0	0	0	19403454	0	0	19746792	0	0	0	0	0	0	0	0
2026-01-26	0	9688931	0	9705300	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-02	9704346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	8385024	370531	0	10012500	0	10008927	8868408	10097016	0	7754772	0	0	0	0	0	0	0
2026-02-23	6220646	2418531	0	0	4127004	0	0	0	0	0	0	0	0	0	5654218	0	0
2026-03-02	0	0	2598991	4323528	0	0	0	0	2295796	0	0	0	4127004	0	0	4127004	0
2026-03-09	0	0	0	0	0	4192512	4127004	0	0	0	0	0	0	0	0	0	2236990
2026-03-16	0	0	0	0	0	8909088	0	8254008	0	0	17504652	7533420	9733135	0	0	0	0
2026-03-23	307200	0	2164563	0	0	0	0	0	0	0	0	0	0	0	0	0	2007362
2026-04-06	0	4127004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
