week_start	sub-NR6/sub-NR6_ophys.nwb
2023-03-27	75497472
2023-04-03	509586732
2023-04-10	237400992
2023-04-17	409949064
2023-04-24	519936996
2023-05-01	810137436
2023-05-08	844660780
2023-05-15	1016487636
2023-05-22	816765280
2023-05-29	507414120
2023-06-05	424210076
2023-06-12	417235072
2023-06-19	23344696
2023-06-26	743649768
2023-07-03	606284048
2023-07-10	661591008
2023-07-17	499913812
2023-07-24	681728272
2023-07-31	426600464
2023-08-07	554973012
2023-08-14	523072508
2023-08-21	523308480
2023-08-28	730676728
2023-09-04	744643036
2023-09-11	469688984
2023-09-18	549129920
2023-09-25	462567160
2023-10-02	484165144
2023-10-09	640476468
2023-10-16	402316528
2023-10-23	218077792
2023-10-30	670938316
2023-11-06	528950028
2023-11-13	554146320
2023-11-20	11363388
2023-11-27	103944
2023-12-04	22895872
2023-12-11	128303728
2024-01-01	384599352
2024-01-22	5280792
2024-02-12	32295444
2024-03-04	109886148
2024-03-11	390558696
2024-03-18	165659172
2024-03-25	239788692
2024-04-01	140495988
2024-04-08	407920268
2024-04-15	397905504
2024-04-22	519650368
2024-04-29	402871180
2024-05-06	328799740
2024-05-13	289157764
2024-05-20	334718860
2024-05-27	349514640
2024-06-03	394379016
2024-06-10	98492956
2024-07-01	97242544
2024-07-08	404584
2024-07-22	128199784
2024-07-29	128199784
2024-08-26	11201868
2024-09-09	7613544
2024-09-16	404584
2025-07-28	23342184
2025-09-01	128199784
2025-10-06	17371156
2025-12-15	141301384
2026-01-26	78643200
2026-02-16	14411760
2026-02-23	8663608
2026-03-09	302184
2026-03-23	17032080
