week_start	sub-NR6/sub-NR6_ophys.nwb
2023-03-27	75497472
2023-04-03	509586732
2023-04-10	237400992
2023-04-17	409949064
2023-04-24	519936996
2023-05-01	810137436
2023-05-08	844660780
2023-05-15	1016487636
2023-05-22	816765280
2023-05-29	507370072
2023-06-05	424029324
2023-06-12	417191024
2023-06-19	23344696
2023-06-26	735980984
2023-07-03	606240096
2023-07-10	661535768
2023-07-17	499869764
2023-07-24	681568992
2023-07-31	426502864
2023-08-07	554968260
2023-08-14	523067756
2023-08-21	523264432
2023-08-28	730621488
2023-09-04	744506332
2023-09-11	469688984
2023-09-18	548937976
2023-09-25	462567160
2023-10-02	484121192
2023-10-09	640476468
2023-10-16	402316528
2023-10-23	218077792
2023-10-30	542738532
2023-11-06	528950028
2023-11-13	554146320
2023-11-20	11260988
2023-11-27	103944
2023-12-04	22895872
2023-12-11	48704
2024-01-01	384599352
2024-01-22	302184
2024-02-12	32295444
2024-03-04	109886148
2024-03-11	390558696
2024-03-18	165054804
2024-03-25	239788692
2024-04-01	140495988
2024-04-08	407920268
2024-04-15	397905504
2024-04-22	519650368
2024-04-29	402871180
2024-05-06	328799740
2024-05-13	289157764
2024-05-20	334718860
2024-05-27	349514640
2024-06-03	394379016
2024-06-10	98492956
2024-07-01	97242544
2024-07-08	404584
2024-07-22	128199784
2024-07-29	128199784
2024-08-26	11201868
2024-09-09	7613544
2024-09-16	404584
2025-07-28	23342184
2025-09-01	104857600
2025-10-06	17371156
2025-12-15	141301384
2026-01-26	57671680
2026-02-16	14411760
2026-02-23	8458808
2026-03-09	302184
2026-03-23	12905076
